rulename,probability,impact
"Rare User Agent strings",2,2000
"Outbound SMB Traffic",3,3000
"Multiple SMB Shares scanning",3,5000
"Possible Data Exfiltration",3,40000
"Client Connecting to Multiple DNS Servers",4,54000
"DNS Amplification Attack",2,1000
"DNS tunnels",3,500
"Internal hosts Query to non-corporate DNS",5,45000
"Excessive failed DNS Requests",5,250
"Possible Path Traversal Attack",5,2500
"Prohibited Network traffic Allowed",5,65000
"Protocol or port mismatch",5,34000
"VPN Traffic",5,7100
"Detect Web traffic to dynamic domain providers",5,2000
"Possible XSS Attack",4,3000
"SMB Self-distributing File",3,5000
"SMB Deletes",5,40000
"Data transfer growth",3,54000
"Threat Activity detected(IP)",5,1000
"Scanner's User-Agents",4,500
"SMB ML Detection",5,45000
"Dump SQL DB (statistic approach)",4,250
"Dump SQL DB Detection",4,2500
"Delete table or database",5,65000
"DGA Detection (Machine Learning)",5,34000
"Beaconing detection by packet size",5,7100
"Beaconing detection by time",5,500
"Network scan",3,45000
"New network device",4,250
"Port scan",3,2500
"Connection to the host from the high risky country",5,65000
"Scanning activity",4,34000
"HTTPS connection using weak encryption",5,7100
"SQL Injection pattern",4,2000
"Command injection",4,3000
"Excessive HTTP DELETE method usage",5,5000
"Threat Activity detected(DNS)",5,40000
"Crypto-mining Detection (DNS)",5,54000
"File upload to external server",4,1000
"[AWS] -  IAM: Group Membership Updates",5,500
"[AWS] - IAM: Create/Delete/Update Users",5,45000
"[AWS] - Instances: Reboot/Stop/Terminate Actions",5,250
"[AWS] - Instances: Run/Start Actions",5,2500
"[AWS] - Key Pairs: Create/Delete/Import Key Pairs",5,65000
"[AWS] - S3: Open Bucket",5,34000
"[AWS] - Security Groups: Create/Delete Groups",5,7100
"[AWS] - Unauthorized Actions",5,8100
