"ti_domain",context,url
"zona.pl","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"zny.coiner.site","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"zndaowjdnf.stream","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"zndaowjdnf.st","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"zminer.zaloapp.com","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"zlx.com.br","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"zjemch.ru","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"ziykrgc.ru","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"zivbxion.ru","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"zgdfz6h7po.me","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"zavzlen.ru","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"yuyyio.com","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"yrdrtzmsmt.com","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"yqaywudifu.date","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"yourloganalytics.com","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"youporn.sexy","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"you.tubetitties.com","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"yololike.space","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"yoaabgvkm.ru","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"ybjfsqcevow.ru","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xy.nullrefexcep.com","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xvideosharing.site","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xvideosharing.si","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xssrmimmnq.ru","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xsecurity.fblaster.com","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmrpool.net","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmrminingproxy.com","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmrm.pw","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmrm.browsermine.com","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmr8.crypto-pool.fr","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmr7.crypto-pool.fr","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmr6.crypto-pool.fr","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmr5.crypto-pool.fr","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmr3.crypto-pool.fr","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmr10.crypto-pool.fr","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmr1.crypto-pool.fr","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmr.omine.org","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmr.mining.best","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmr.mining.be","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmr.e-libra.ru","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmr.cryptonoter.com","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmr.crypto-pool.fr","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmr.cpufan.club","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmr.cool","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmr.coinlab.biz","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmr.co","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmr.101010.pl","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xml.mining.best","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xmg.cool","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xgmc6lu8fs.me","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xgefmxd.ru","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xdn.cpufan.club","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"xbasfbno.info","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"x.browsermine.com","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www7.2giga.link","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www6.2giga.link","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www5.2giga.link","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www49.playercdn.net","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www4.2giga.link","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www3.2giga.link","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www2.adfreetv.ch","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www2.2giga.link","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www1.2giga.link","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.zzqhsrg.ru","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.zny.coiner.site","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.zlx.com.br","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.ziykrgc.ru","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.zivbxion.ru","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.zavzlen.ru","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.youporn.sexy","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.yoaabgvkm.ru","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.ybjfsqcevow.ru","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.xy.nullrefexcep.com","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.xvideosharing.site","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.xssrmimmnq.ru","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.xmrpool.net","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.xmrm.pw","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.xmrm.browsermine.com","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.xmr.crypto-pool.fr","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.xmr.cool","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.xmg.cool","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.x.browsermine.com","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.www1.2giga.link","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.ww8.adminer.com","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.wty46.com","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.wss.nablabee.com","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.wsnew.freebitco.in","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.ws50.crypto.csgocpu.com","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
"www.ws5.bmnr.pw","Browser crypto-mining","https://zerodot1.gitlab.io/CoinBlockerLists/list_browser.txt"
