event,trigger,dataset_name,action,change_type,type,status
support_team_removed,An existing team has been deleted.,change,deleted,team,,success
syslog_server_changed,The remote syslog server setting has been changed and saved.,change,modified,service,,success
team_activity_report_generated,A team activity report has been run.,,,,,
user_account_report_generated,A user account report has been generated.,,,,,
user_added,A new local user has been created and saved. Event fields differ between /login users and /appliance users.,change,created,AAA,,success
user_changed,An existing local user has been modified and saved. Event fields differ between /login users and /appliance users.,change,modified,AAA,,success
user_removed,An existing local user has been deleted. Event fields differ between /login users and /appliance users.,change,deleted,AAA,,success
user_session_policy_added,"A session policy has been applied to a user account, and the user account has been saved.",change,modified,AAA,,success
user_session_policy_removed,"A session policy has been removed from a user account, and the user account has been saved.",change,modified,AAA,,success
vault_account_password_rotation,Vault account password has been rotated.,change,modified,AAA,,success
vendor_activity_report_generated,A vendor report was generated.,,,,,
windows_service_changed,A Windows service has been changed and saved.,change,modified,service,,success
windows_service_removed,A Windows service was removed.,change,deleted,service,,success
jump_group_added,jump_group_added,change,created,group,,success
jump_group_changed,jump_group_changed,change,modified,group,,success
tls_certificate_deleted,tls_certificate_deleted,change,deleted,certificate,,success
tls_certificate_expiration,tls_certificate_expiration,alert,,,alarm,
tls_certificate_import,tls_certificate_import,alert,,,alert,
token,,,,,,
