EventName,dataset_name,action,type
Abort Job,change,stopped,
Add,change,created,
Administrators,system,,
Approver,system,,
Assign,change,updated,
Bulk Domain Account Unlink,change,modified,
Bulk Move Credential,change,modified,
Bulk Password Change,change,modified,
Copy,change,modified,
Default,change,modified,
Delete,change,deleted,
Delete Job,change,deleted,
Download,change,started,
Edit,change,modified,
Functional,change,modified,
Generate,change,modified,
Import,change,modified,
Login,auth,,
Logout,logout,,
Managed,change,modified,
Read,change,read,
Rename,change,modified,
Requestor,system,,
Reset,change,restarted,
Schedule,change,modified,
Session End,session_end,,
System,system,,
Test,test,,
Unlock,change_alert,unlocked,event
Update,change,updated,
Validate,validate,,
