log,code,description
Microsoft-Windows-Sysmon/Operational,1,Process creation
Microsoft-Windows-Sysmon/Operational,2,A process changed a file creation time
Microsoft-Windows-Sysmon/Operational,3,Network connection
Microsoft-Windows-Sysmon/Operational,4,Sysmon service state changed
Microsoft-Windows-Sysmon/Operational,5,Process terminated
Microsoft-Windows-Sysmon/Operational,6,Driver loaded
Microsoft-Windows-Sysmon/Operational,7,Image loaded
Microsoft-Windows-Sysmon/Operational,8,CreateRemoteThread
Microsoft-Windows-Sysmon/Operational,9,RawAccessRead
Microsoft-Windows-Sysmon/Operational,10,ProcessAccess
Microsoft-Windows-Sysmon/Operational,11,FileCreate
Microsoft-Windows-Sysmon/Operational,12,RegistryEvent (Object create and delete)
Microsoft-Windows-Sysmon/Operational,13,RegistryEvent (Key and Value Rename)
Microsoft-Windows-Sysmon/Operational,14,FileCreateStreamHash
Microsoft-Windows-Sysmon/Operational,15,PipeEvent (Pipe Created)
Microsoft-Windows-Sysmon/Operational,18,PipeEvent (Pipe Connected)
Microsoft-Windows-Sysmon/Operational,19,WmiEvent (WmiEventFilter activity detected)
Microsoft-Windows-Sysmon/Operational,20,WmiEvent (WmiEventConsumer activity detected)
Microsoft-Windows-Sysmon/Operational,21,WmiEvent (WmiEventConsumerToFilter activity detected)
Microsoft-Windows-Sysmon/Operational,255,Error
Security,512,Windows NT is starting up
Security,513,Windows is shutting down
Security,514,An authentication package has been loaded by the Local Security Authority
Security,515,A trusted logon process has registered with the Local Security Authority
Security,516,Internal resources allocated for the queuing of audit messages have been exhausted; leading to the loss of some audits
Security,517,The audit log was cleared
Security,518,A notification package has been loaded by the Security Account Manager
Security,519,A process is using an invalid local procedure call (LPC) port
Security,520,The system time was changed
Security,521,Unable to log events to security log
Security,528,Successful Logon
Security,529,Logon Failure - Unknown user name or bad password
Security,530,Logon Failure - Account logon time restriction violation
Security,531,Logon Failure - Account currently disabled
Security,532,Logon Failure - The specified user account has expired
Security,533,Logon Failure - User not allowed to logon at this computer
Security,534,Logon Failure - The user has not been granted the requested logon type at this machine
Security,535,Logon Failure - The specified account's password has expired
Security,536,Logon Failure - The NetLogon component is not active
Security,537,Logon failure - The logon attempt failed for other reasons.
Security,538,User Logoff
Security,539,Logon Failure - Account locked out
Security,540,Successful Network Logon
Security,551,User initiated logoff
Security,552,Logon attempt using explicit credentials
Security,560,Object Open
Security,561,Handle Allocated
Security,562,Handle Closed
Security,563,Object Open for Delete
Security,564,Object Deleted
Security,565,Object Open (Active Directory)
Security,566,Object Operation (W3 Active Directory)
Security,567,Object Access Attempt
Security,576,Special privileges assigned to new logon
Security,577,Privileged Service Called
Security,578,Privileged object operation
Security,592,A new process has been created
Security,593,A process has exited
Security,594,A handle to an object has been duplicated
Security,595,Indirect access to an object has been obtained
Security,596,Backup of data protection master key
Security,600,A process was assigned a primary token
Security,601,Attempt to install service
Security,602,Scheduled Task created
Security,608,User Right Assigned
Security,609,User Right Removed
Security,610,New Trusted Domain
Security,611,Removing Trusted Domain
Security,612,Audit Policy Change
Security,613,IPSec policy agent started
Security,614,IPSec policy agent disabled
Security,615,IPSEC PolicyAgent Service
Security,616,IPSec policy agent encountered a potentially serious failure.
Security,617,Kerberos Policy Changed
Security,618,Encrypted Data Recovery Policy Changed
Security,619,Quality of Service Policy Changed
Security,620,Trusted Domain Information Modified
Security,621,System Security Access Granted
Security,622,System Security Access Removed
Security,623,Per User Audit Policy was refreshed
Security,624,User Account Created
Security,625,User Account Type Changed
Security,626,User Account Enabled
Security,627,Change Password Attempt
Security,628,User Account password set
Security,629,User Account Disabled
Security,630,User Account Deleted
Security,631,Security Enabled Global Group Created
Security,632,Security Enabled Global Group Member Added
Security,633,Security Enabled Global Group Member Removed
Security,634,Security Enabled Global Group Deleted
Security,635,Security Enabled Local Group Created
Security,636,Security Enabled Local Group Member Added
Security,637,Security Enabled Local Group Member Removed
Security,638,Security Enabled Local Group Deleted
Security,639,Security Enabled Local Group Changed
Security,640,General Account Database Change
Security,641,Security Enabled Global Group Changed
Security,642,User Account Changed
Security,643,Domain Policy Changed
Security,644,User Account Locked Out
Security,645,Computer Account Created
Security,646,Computer Account Changed
Security,647,Computer Account Deleted
Security,648,Security Disabled Local Group Created
Security,649,Security Disabled Local Group Changed
Security,650,Security Disabled Local Group Member Added
Security,651,Security Disabled Local Group Member Removed
Security,652,Security Disabled Local Group Deleted
Security,653,Security Disabled Global Group Created
Security,654,Security Disabled Global Group Changed
Security,655,Security Disabled Global Group Member Added
Security,656,Security Disabled Global Group Member Removed
Security,657,Security Disabled Global Group Deleted
Security,658,Security Enabled Universal Group Created
Security,659,Security Enabled Universal Group Changed
Security,660,Security Enabled Universal Group Member Added
Security,661,Security Enabled Universal Group Member Removed
Security,662,Security Enabled Universal Group Deleted
Security,663,Security Disabled Universal Group Created
Security,664,Security Disabled Universal Group Changed
Security,665,Security Disabled Universal Group Member Added
Security,666,Security Disabled Universal Group Member Removed
Security,667,Security Disabled Universal Group Deleted
Security,668,Group Type Changed
Security,669,Add SID History
Security,670,Add SID History
Security,671,User Account Unlocked
Security,672,Authentication Ticket Granted
Security,673,Service Ticket Granted
Security,674,Ticket Granted Renewed
Security,675,Pre-authentication failed
Security,676,Authentication Ticket Request Failed
Security,677,Service Ticket Request Failed
Security,678,Account Mapped for Logon by
Security,679,The name: %2 could not be mapped for logon by: %1
Security,680,Account Used for Logon by
Security,681,The logon to account: %2 by: %1 from workstation: %3 failed.
Security,682,Session reconnected to winstation
Security,683,Session disconnected from winstation
Security,684,Set ACLs of members in administrators groups
Security,685,Account Name Changed
Security,686,Password of the following user accessed
Security,687,Basic Application Group Created
Security,688,Basic Application Group Changed
Security,689,Basic Application Group Member Added
Security,690,Basic Application Group Member Removed
Security,691,Basic Application Group Non-Member Added
Security,692,Basic Application Group Non-Member Removed
Security,693,Basic Application Group Deleted
Security,694,LDAP Query Group Created
Security,695,LDAP Query Group Changed
Security,696,LDAP Query Group Deleted
Security,697,Password Policy Checking API is called
Security,806,Per User Audit Policy was refreshed
Security,807,Per user auditing policy set for user
Security,808,A security event source has attempted to register
Security,809,A security event source has attempted to unregister
Security,848,The following policy was active when the Windows Firewall started
Security,849,An application was listed as an exception when the Windows Firewall started
Security,850,A port was listed as an exception when the Windows Firewall started
Security,851,A change has been made to the Windows Firewall application exception list
Security,852,A change has been made to the Windows Firewall port exception list
Security,853,The Windows Firewall operational mode has changed
Security,854,The Windows Firewall logging settings have changed
Security,855,A Windows Firewall ICMP setting has changed
Security,856,The Windows Firewall setting to allow unicast responses to multicast/broadcast traffic has changed
Security,857,The Windows Firewall setting to allow remote administration; allowing port TCP 135 and DCOM/RPC; has changed
Security,858,Windows Firewall group policy settings have been applied
Security,859,The Windows Firewall group policy settings have been removed
Security,860,The Windows Firewall has switched the active policy profile
Security,861,The Windows Firewall has detected an application listening for incoming traffic
Security,1100,The event logging service has shut down
Security,1101,Audit events have been dropped by the transport.
Security,1102,The audit log was cleared
Security,1104,The security Log is now full
Security,1105,Event log automatic backup
Security,1108,The event logging service encountered an error
Security,4608,Windows is starting up
Security,4609,Windows is shutting down
Security,4610,An authentication package has been loaded by the Local Security Authority
Security,4611,A trusted logon process has been registered with the Local Security Authority
Security,4612,Internal resources allocated for the queuing of audit messages have been exhausted; leading to the loss of some audits.
Security,4614,A notification package has been loaded by the Security Account Manager.
Security,4615,Invalid use of LPC port
Security,4616,The system time was changed.
Security,4618,A monitored security event pattern has occurred
Security,4621,Administrator recovered system from CrashOnAuditFail
Security,4622,A security package has been loaded by the Local Security Authority.
Security,4624,An account was successfully logged on
Security,4625,An account failed to log on
Security,4626,User/Device claims information
Security,4627,Group membership information.
Security,4634,An account was logged off
Security,4646,IKE DoS-prevention mode started
Security,4647,User initiated logoff
Security,4648,A logon was attempted using explicit credentials
Security,4649,A replay attack was detected
Security,4650,An IPsec Main Mode security association was established
Security,4651,An IPsec Main Mode security association was established
Security,4652,An IPsec Main Mode negotiation failed
Security,4653,An IPsec Main Mode negotiation failed
Security,4654,An IPsec Quick Mode negotiation failed
Security,4655,An IPsec Main Mode security association ended
Security,4656,A handle to an object was requested
Security,4657,A registry value was modified
Security,4658,The handle to an object was closed
Security,4659,A handle to an object was requested with intent to delete
Security,4660,An object was deleted
Security,4661,A handle to an object was requested
Security,4662,An operation was performed on an object
Security,4663,An attempt was made to access an object
Security,4664,An attempt was made to create a hard link
Security,4665,An attempt was made to create an application client context.
Security,4666,An application attempted an operation
Security,4667,An application client context was deleted
Security,4668,An application was initialized
Security,4670,Permissions on an object were changed
Security,4671,An application attempted to access a blocked ordinal through the TBS
Security,4672,Special privileges assigned to new logon
