"EVENT_DESCRIPTION","EVENT_ID","EVENT_SOURCE"
"Issued revoke schema type permissions command (action_id R class_type TY)",24260,"SQL Server"
"Issued revoke schema type permissions with grant command (action_id RWG class_type TY)",24261,"SQL Server"
"Issued revoke schema type permissions with cascade command (action_id RWC class_type TY)",24262,"SQL Server"
"Issued grant XML schema collection permissions command (action_id G class_type SX)",24263,"SQL Server"
"Issued grant XML schema collection permissions with grant command (action_id GWG class_type SX)",24264,"SQL Server"
"Issued deny XML schema collection permissions command (action_id D class_type SX)",24265,"SQL Server"
"Issued deny XML schema collection permissions with cascade command (action_id DWC class_type SX)",24266,"SQL Server"
"Issued revoke XML schema collection permissions command (action_id R class_type SX)",24267,"SQL Server"
"Issued revoke XML schema collection permissions with grant command (action_id RWG class_type SX)",24268,"SQL Server"
"Issued revoke XML schema collection permissions with cascade command (action_id RWC class_type SX)",24269,"SQL Server"
"Issued reference database object permissions command (action_id RF)",24270,"SQL Server"
"Issued send service request command (action_id SN)",24271,"SQL Server"
"Issued check permissions with schema command (action_id VWCT)",24272,"SQL Server"
"Issued use service broker transport security command (action_id LGB)",24273,"SQL Server"
"Issued use database mirroring transport security command (action_id LGM)",24274,"SQL Server"
"Issued alter trace command (action_id ALTR)",24275,"SQL Server"
"Issued start trace command (action_id TASA)",24276,"SQL Server"
"Issued stop trace command (action_id TASP)",24277,"SQL Server"
"Issued enable trace C2 audit mode command (action_id C2ON)",24278,"SQL Server"
"Issued disable trace C2 audit mode command (action_id C2OF)",24279,"SQL Server"
"Issued server full-text command (action_id FT)",24280,"SQL Server"
"Issued select command (action_id SL)",24281,"SQL Server"
"Issued update command (action_id UP)",24282,"SQL Server"
"Issued insert command (action_id IN)",24283,"SQL Server"
"Issued delete command (action_id DL)",24284,"SQL Server"
"Issued execute command (action_id EX)",24285,"SQL Server"
"Issued receive command (action_id RC)",24286,"SQL Server"
"Issued check references command (action_id RF)",24287,"SQL Server"
"Issued a create user-defined server role command (action_id CR class_type SG)",24288,"SQL Server"
"Issued a change user-defined server role command (action_id AL class_type SG)",24289,"SQL Server"
"Issued a delete user-defined server role command (action_id DR class_type SG)",24290,"SQL Server"
"Issued grant user-defined server role permissions command (action_id G class_type SG)",24291,"SQL Server"
"Issued grant user-defined server role permissions with grant command (action_id GWG class_type SG)",24292,"SQL Server"
"Issued deny user-defined server role permissions command (action_id D class_type SG)",24293,"SQL Server"
"Issued deny user-defined server role permissions with cascade command (action_id DWC class_type SG)",24294,"SQL Server"
"Issued revoke user-defined server role permissions command (action_id R class_type SG)",24295,"SQL Server"
"Issued revoke user-defined server role permissions with grant command (action_id RWG class_type SG)",24296,"SQL Server"
"Issued revoke user-defined server role permissions with cascade command (action_id RWC class_type SG)",24297,"SQL Server"
"Database login succeeded (action_id DBAS)",24298,"SQL Server"
"Database login failed (action_id DBAF)",24299,"SQL Server"
"Database logout successful (action_id DAGL)",24300,"SQL Server"
"Change password succeeded (action_id PWC; class_type US)",24301,"SQL Server"
"Change password failed (action_id PWC; class_type US)",24302,"SQL Server"
"Change own password succeeded (action_id PWCS; class_type US)",24303,"SQL Server"
"Change own password failed (action_id PWCS; class_type US)",24304,"SQL Server"
"Reset own password succeeded (action_id PWRS; class_type US)",24305,"SQL Server"
"Reset own password failed (action_id PWRS; class_type US)",24306,"SQL Server"
"Reset password succeeded (action_id PWR; class_type US)",24307,"SQL Server"
"Reset password failed (action_id PWR; class_type US)",24308,"SQL Server"
"Copy password (action_id USTC)",24309,"SQL Server"
"User-defined SQL audit event (action_id UDAU)",24310,"SQL Server"
"Issued a change database audit command (action_id AL class_type DU)",24311,"SQL Server"
"Issued a create database audit command (action_id CR class_type DU)",24312,"SQL Server"
"Issued a delete database audit command (action_id DR class_type DU)",24313,"SQL Server"
"Issued a begin transaction command (action_id TXBG)",24314,"SQL Server"
"Issued a commit transaction command (action_id TXCM)",24315,"SQL Server"
"Issued a rollback transaction command (action_id TXRB)",24316,"SQL Server"
"Issued a create column master key command (action_id CR; class_type CM)",24317,"SQL Server"
"Issued a delete column master key command (action_id DR; class_type CM)",24318,"SQL Server"
"A column master key was viewed (action_id VW; class_type CM)",24319,"SQL Server"
"Issued a create column encryption key command (action_id CR; class_type CK)",24320,"SQL Server"
"Issued a change column encryption key command (action_id AL; class_type CK)",24321,"SQL Server"
"Issued a delete column encryption key command (action_id DR; class_type CK)",24322,"SQL Server"
"A column encryption key was viewed (action_id VW; class_type CK)",24323,"SQL Server"
"Issued a create database credential command (action_id CR; class_type DC)",24324,"SQL Server"
"Issued a change database credential command (action_id AL; class_type DC)",24325,"SQL Server"
"Issued a delete database credential command (action_id DR; class_type DC)",24326,"SQL Server"
"Issued a change database scoped configuration command (action_id AL; class_type DS)",24327,"SQL Server"
"Issued a create external data source command (action_id CR; class_type ED)",24328,"SQL Server"
"Issued a change external data source command (action_id AL; class_type ED)",24329,"SQL Server"
"Issued a delete external data source command (action_id DR; class_type ED)",24330,"SQL Server"
"Issued a create external file format command (action_id CR; class_type EF)",24331,"SQL Server"
"Issued a delete external file format command (action_id DR; class_type EF)",24332,"SQL Server"
"Issued a create external resource pool command (action_id CR; class_type ER)",24333,"SQL Server"
"Issued a change external resource pool command (action_id AL; class_type ER)",24334,"SQL Server"
"Issued a delete external resource pool command (action_id DR; class_type ER)",24335,"SQL Server"
"Global transaction login (action_id LGG)",24337,"SQL Server"
"Grant permissions on a database scoped credential succeeded (action_id G; class_type DC)",24338,"SQL Server"
"Grant permissions on a database scoped credential failed (action_id G; class_type DC)",24339,"SQL Server"
"Grant permissions on a database scoped credential with grant succeeded (action_id GWG; class_type DC)",24340,"SQL Server"
"Grant permissions on a database scoped credential with grant failed (action_id GWG; class_type DC)",24341,"SQL Server"
"Deny permissions on a database scoped credential succeeded (action_id D; class_type DC)",24342,"SQL Server"
"Deny permissions on a database scoped credential failed (action_id D; class_type DC)",24343,"SQL Server"
"Deny permissions on a database scoped credential with cascade succeeded (action_id DWC; class_type DC)",24344,"SQL Server"
"Deny permissions on a database scoped credential with cascade failed (action_id DWC; class_type DC)",24345,"SQL Server"
"Revoke permissions on a database scoped credential succeeded (action_id R; class_type DC)",24346,"SQL Server"
"Revoke permissions on a database scoped credential failed (action_id R; class_type DC)",24347,"SQL Server"
"Revoke permissions with cascade on a database scoped credential succeeded (action_id RWC; class_type DC)",24348,"SQL Server"
"Issued a change assembly owner command (action_id TO class_type AS)",24349,"SQL Server"
"Revoke permissions with cascade on a database scoped credential failed (action_id RWC; class_type DC)",24350,"SQL Server"
"Revoke permissions with grant on a database scoped credential succeeded (action_id RWG; class_type DC)",24351,"SQL Server"
"Revoke permissions with grant on a database scoped credential failed (action_id RWG; class_type DC)",24352,"SQL Server"
"Issued a change database scoped credential owner command (action_id TO; class_type DC)",24353,"SQL Server"
"Issued a create external library command (action_id CR; class_type EL)",24354,"SQL Server"
"Issued a change external library command (action_id AL; class_type EL)",24355,"SQL Server"
"Issued a drop external library command (action_id DR; class_type EL)",24356,"SQL Server"
"Grant permissions on an external library succeeded (action_id G; class_type EL)",24357,"SQL Server"
"Grant permissions on an external library failed (action_id G; class_type EL)",24358,"SQL Server"
"Grant permissions on an external library with grant succeeded (action_id GWG; class_type EL)",24359,"SQL Server"
"Grant permissions on an external library with grant failed (action_id GWG; class_type EL)",24360,"SQL Server"
"Deny permissions on an external library succeeded (action_id D; class_type EL)",24361,"SQL Server"
"Deny permissions on an external library failed (action_id D; class_type EL)",24362,"SQL Server"
"Deny permissions on an external library with cascade succeeded (action_id DWC; class_type EL)",24363,"SQL Server"
"Deny permissions on an external library with cascade failed (action_id DWC; class_type EL)",24364,"SQL Server"
"Revoke permissions on an external library succeeded (action_id R; class_type EL)",24365,"SQL Server"
"Revoke permissions on an external library failed (action_id R; class_type EL)",24366,"SQL Server"
"Revoke permissions with cascade on an external library succeeded (action_id RWC; class_type EL)",24367,"SQL Server"
"Revoke permissions with cascade on an external library failed (action_id RWC; class_type EL)",24368,"SQL Server"
"Revoke permissions with grant on an external library succeeded (action_id RWG; class_type EL)",24369,"SQL Server"
"Revoke permissions with grant on an external library failed (action_id RWG; class_type EL)",24370,"SQL Server"
"Issued a create database scoped resource governor command (action_id CR; class_type DR)",24371,"SQL Server"
"Issued a change database scoped resource governor command (action_id AL; class_type DR)",24372,"SQL Server"
"Issued a drop database scoped resource governor command (action_id DR; class_type DR)",24373,"SQL Server"
"Issued a database bulk administration command (action_id DABO; class_type DB)",24374,"SQL Server"
"Command to change permission failed (action_id D, DWC, G, GWG, R, RWC, RWG; class_type DC, EL)",24375,"SQL Server"
"Undocumented Exchange mailbox operation",25000,Exchange
"Operation Copy - Copy item to another Exchange mailbox folder",25001,Exchange
"Operation Create - Create item in Exchange mailbox",25002,Exchange
"Operation FolderBind - Access Exchange mailbox folder",25003,Exchange
"Operation HardDelete - Delete Exchange mailbox item permanently from Recoverable Items folder",25004,Exchange
"Operation MessageBind - Access Exchange mailbox item",25005,Exchange
"Operation Move - Move item to another Exchange mailbox folder",25006,Exchange
"Operation MoveToDeletedItems - Move Exchange mailbox item to Deleted Items folder",25007,Exchange
"Operation SendAs - Send message using Send As Exchange mailbox permissions",25008,Exchange
"Operation SendOnBehalf - Send message using Send on Behalf Exchange mailbox permissions",25009,Exchange
"Operation SoftDelete - Delete Exchange mailbox item from Deleted Items folder",25010,Exchange
"Operation Update - Update Exchange mailbox item's properties",25011,Exchange
"Information Event - Mailbox audit policy applied",25100,Exchange
"Undocumented Exchange admin operation",25100,Exchange
"Add-ADPermission Exchange cmdlet issued",25101,Exchange
"Add-AvailabilityAddressSpace Exchange cmdlet issued",25102,Exchange
"Add-ContentFilterPhrase Exchange cmdlet issued",25103,Exchange
"Add-DatabaseAvailabilityGroupServer Exchange cmdlet issued",25104,Exchange
"Add-DistributionGroupMember Exchange cmdlet issued",25105,Exchange
"Add-FederatedDomain Exchange cmdlet issued",25106,Exchange
"Add-IPAllowListEntry Exchange cmdlet issued",25107,Exchange
"Add-IPAllowListProvider Exchange cmdlet issued",25108,Exchange
"Add-IPBlockListEntry Exchange cmdlet issued",25109,Exchange
"Add-IPBlockListProvider Exchange cmdlet issued",25110,Exchange
"Add-MailboxDatabaseCopy Exchange cmdlet issued",25111,Exchange
"Add-MailboxFolderPermission Exchange cmdlet issued",25112,Exchange
"Add-MailboxPermission Exchange cmdlet issued",25113,Exchange
"Add-ManagementRoleEntry Exchange cmdlet issued",25114,Exchange
"Add-PublicFolderAdministrativePermission Exchange cmdlet issued",25115,Exchange
"Add-PublicFolderClientPermission Exchange cmdlet issued",25116,Exchange
"Add-RoleGroupMember Exchange cmdlet issued",25117,Exchange
"Clean-MailboxDatabase Exchange cmdlet issued",25118,Exchange
"Clear-ActiveSyncDevice Exchange cmdlet issued",25119,Exchange
"Clear-TextMessagingAccount Exchange cmdlet issued",25120,Exchange
"Compare-TextMessagingVerificationCode Exchange cmdlet issued",25121,Exchange
"Connect-Mailbox Exchange cmdlet issued",25122,Exchange
"Disable-AddressListPaging Exchange cmdlet issued",25123,Exchange
"Disable-CmdletExtensionAgent Exchange cmdlet issued",25124,Exchange
"Disable-DistributionGroup Exchange cmdlet issued",25125,Exchange
"Disable-InboxRule Exchange cmdlet issued",25126,Exchange
"Disable-JournalRule Exchange cmdlet issued",25127,Exchange
"Disable-Mailbox Exchange cmdlet issued",25128,Exchange
"Disable-MailContact Exchange cmdlet issued",25129,Exchange
"Disable-MailPublicFolder Exchange cmdlet issued",25130,Exchange
"Disable-MailUser Exchange cmdlet issued",25131,Exchange
"Disable-OutlookAnywhere Exchange cmdlet issued",25132,Exchange
"Disable-OutlookProtectionRule Exchange cmdlet issued",25133,Exchange
"Disable-RemoteMailbox Exchange cmdlet issued",25134,Exchange
"Disable-ServiceEmailChannel Exchange cmdlet issued",25135,Exchange
"Disable-TransportAgent Exchange cmdlet issued",25136,Exchange
"Disable-TransportRule Exchange cmdlet issued",25137,Exchange
"Disable-UMAutoAttendant Exchange cmdlet issued",25138,Exchange
"Disable-UMIPGateway Exchange cmdlet issued",25139,Exchange
"Disable-UMMailbox Exchange cmdlet issued",25140,Exchange
"Disable-UMServer Exchange cmdlet issued",25141,Exchange
"Dismount-Database Exchange cmdlet issued",25142,Exchange
"Enable-AddressListPaging Exchange cmdlet issued",25143,Exchange
"Enable-AntispamUpdates Exchange cmdlet issued",25144,Exchange
"Enable-CmdletExtensionAgent Exchange cmdlet issued",25145,Exchange
"Enable-DistributionGroup Exchange cmdlet issued",25146,Exchange
"Enable-ExchangeCertificate Exchange cmdlet issued",25147,Exchange
"Enable-InboxRule Exchange cmdlet issued",25148,Exchange
"Enable-JournalRule Exchange cmdlet issued",25149,Exchange
"Enable-Mailbox Exchange cmdlet issued",25150,Exchange
"Enable-MailContact Exchange cmdlet issued",25151,Exchange
"Enable-MailPublicFolder Exchange cmdlet issued",25152,Exchange
"Enable-MailUser Exchange cmdlet issued",25153,Exchange
"Enable-OutlookAnywhere Exchange cmdlet issued",25154,Exchange
"Enable-OutlookProtectionRule Exchange cmdlet issued",25155,Exchange
"Enable-RemoteMailbox Exchange cmdlet issued",25156,Exchange
"Enable-ServiceEmailChannel Exchange cmdlet issued",25157,Exchange
"Enable-TransportAgent Exchange cmdlet issued",25158,Exchange
"Enable-TransportRule Exchange cmdlet issued",25159,Exchange
"Enable-UMAutoAttendant Exchange cmdlet issued",25160,Exchange
"Enable-UMIPGateway Exchange cmdlet issued",25161,Exchange
"Enable-UMMailbox Exchange cmdlet issued",25162,Exchange
"Enable-UMServer Exchange cmdlet issued",25163,Exchange
"Export-ActiveSyncLog Exchange cmdlet issued",25164,Exchange
"Export-AutoDiscoverConfig Exchange cmdlet issued",25165,Exchange
"Export-ExchangeCertificate Exchange cmdlet issued",25166,Exchange
"Export-JournalRuleCollection Exchange cmdlet issued",25167,Exchange
"Export-MailboxDiagnosticLogs Exchange cmdlet issued",25168,Exchange
"Export-Message Exchange cmdlet issued",25169,Exchange
"Export-RecipientDataProperty Exchange cmdlet issued",25170,Exchange
"Export-TransportRuleCollection Exchange cmdlet issued",25171,Exchange
"Export-UMCallDataRecord Exchange cmdlet issued",25172,Exchange
"Export-UMPrompt Exchange cmdlet issued",25173,Exchange
"Import-ExchangeCertificate Exchange cmdlet issued",25174,Exchange
"Import-JournalRuleCollection Exchange cmdlet issued",25175,Exchange
"Import-RecipientDataProperty Exchange cmdlet issued",25176,Exchange
"Import-TransportRuleCollection Exchange cmdlet issued",25177,Exchange
"Import-UMPrompt Exchange cmdlet issued",25178,Exchange
"Install-TransportAgent Exchange cmdlet issued",25179,Exchange
"Mount-Database Exchange cmdlet issued",25180,Exchange
"Move-ActiveMailboxDatabase Exchange cmdlet issued",25181,Exchange
"Move-AddressList Exchange cmdlet issued",25182,Exchange
"Move-DatabasePath Exchange cmdlet issued",25183,Exchange
"Move-OfflineAddressBook Exchange cmdlet issued",25184,Exchange
"New-AcceptedDomain Exchange cmdlet issued",25185,Exchange
"New-ActiveSyncDeviceAccessRule Exchange cmdlet issued",25186,Exchange
"New-ActiveSyncMailboxPolicy Exchange cmdlet issued",25187,Exchange
"New-ActiveSyncVirtualDirectory Exchange cmdlet issued",25188,Exchange
"New-AddressList Exchange cmdlet issued",25189,Exchange
"New-AdminAuditLogSearch Exchange cmdlet issued",25190,Exchange
"New-AutodiscoverVirtualDirectory Exchange cmdlet issued",25191,Exchange
"New-AvailabilityReportOutage Exchange cmdlet issued",25192,Exchange
"New-ClientAccessArray Exchange cmdlet issued",25193,Exchange
"New-DatabaseAvailabilityGroup Exchange cmdlet issued",25194,Exchange
"New-DatabaseAvailabilityGroupNetwork Exchange cmdlet issued",25195,Exchange
"New-DeliveryAgentConnector Exchange cmdlet issued",25196,Exchange
"New-DistributionGroup Exchange cmdlet issued",25197,Exchange
"New-DynamicDistributionGroup Exchange cmdlet issued",25198,Exchange
"New-EcpVirtualDirectory Exchange cmdlet issued",25199,Exchange
"New-EdgeSubscription Exchange cmdlet issued",25200,Exchange
"New-EdgeSyncServiceConfig Exchange cmdlet issued",25201,Exchange
"New-EmailAddressPolicy Exchange cmdlet issued",25202,Exchange
"New-ExchangeCertificate Exchange cmdlet issued",25203,Exchange
"New-FederationTrust Exchange cmdlet issued",25204,Exchange
"New-ForeignConnector Exchange cmdlet issued",25205,Exchange
"New-GlobalAddressList Exchange cmdlet issued",25206,Exchange
"New-InboxRule Exchange cmdlet issued",25207,Exchange
"New-JournalRule Exchange cmdlet issued",25208,Exchange
"New-Mailbox Exchange cmdlet issued",25209,Exchange
"New-MailboxAuditLogSearch Exchange cmdlet issued",25210,Exchange
"New-MailboxDatabase Exchange cmdlet issued",25211,Exchange
"New-MailboxFolder Exchange cmdlet issued",25212,Exchange
"New-MailboxRepairRequest Exchange cmdlet issued",25213,Exchange
"New-MailboxRestoreRequest Exchange cmdlet issued",25214,Exchange
"New-MailContact Exchange cmdlet issued",25215,Exchange
"New-MailMessage Exchange cmdlet issued",25216,Exchange
"New-MailUser Exchange cmdlet issued",25217,Exchange
"New-ManagedContentSettings Exchange cmdlet issued",25218,Exchange
"New-ManagedFolder Exchange cmdlet issued",25219,Exchange
"New-ManagedFolderMailboxPolicy Exchange cmdlet issued",25220,Exchange
"New-ManagementRole Exchange cmdlet issued",25221,Exchange
"New-ManagementRoleAssignment Exchange cmdlet issued",25222,Exchange
"New-ManagementScope Exchange cmdlet issued",25223,Exchange
"New-MessageClassification Exchange cmdlet issued",25224,Exchange
"New-MoveRequest Exchange cmdlet issued",25225,Exchange
"New-OabVirtualDirectory Exchange cmdlet issued",25226,Exchange
"New-OfflineAddressBook Exchange cmdlet issued",25227,Exchange
"New-OrganizationRelationship Exchange cmdlet issued",25228,Exchange
"New-OutlookProtectionRule Exchange cmdlet issued",25229,Exchange
"New-OutlookProvider Exchange cmdlet issued",25230,Exchange
"New-OwaMailboxPolicy Exchange cmdlet issued",25231,Exchange
"New-OwaVirtualDirectory Exchange cmdlet issued",25232,Exchange
"New-PublicFolder Exchange cmdlet issued",25233,Exchange
"New-PublicFolderDatabase Exchange cmdlet issued",25234,Exchange
"New-PublicFolderDatabaseRepairRequest Exchange cmdlet issued",25235,Exchange
"New-ReceiveConnector Exchange cmdlet issued",25236,Exchange
"New-RemoteDomain Exchange cmdlet issued",25237,Exchange
"New-RemoteMailbox Exchange cmdlet issued",25238,Exchange
"New-RetentionPolicy Exchange cmdlet issued",25239,Exchange
"New-RetentionPolicyTag Exchange cmdlet issued",25240,Exchange
"New-RoleAssignmentPolicy Exchange cmdlet issued",25241,Exchange
"New-RoleGroup Exchange cmdlet issued",25242,Exchange
"New-RoutingGroupConnector Exchange cmdlet issued",25243,Exchange
"New-RpcClientAccess Exchange cmdlet issued",25244,Exchange
"New-SendConnector Exchange cmdlet issued",25245,Exchange
"New-SharingPolicy Exchange cmdlet issued",25246,Exchange
"New-SystemMessage Exchange cmdlet issued",25247,Exchange
"New-ThrottlingPolicy Exchange cmdlet issued",25248,Exchange
"New-TransportRule Exchange cmdlet issued",25249,Exchange
"New-UMAutoAttendant Exchange cmdlet issued",25250,Exchange
"New-UMDialPlan Exchange cmdlet issued",25251,Exchange
"New-UMHuntGroup Exchange cmdlet issued",25252,Exchange
"New-UMIPGateway Exchange cmdlet issued",25253,Exchange
"New-UMMailboxPolicy Exchange cmdlet issued",25254,Exchange
"New-WebServicesVirtualDirectory Exchange cmdlet issued",25255,Exchange
"New-X400AuthoritativeDomain Exchange cmdlet issued",25256,Exchange
"Remove-AcceptedDomain Exchange cmdlet issued",25257,Exchange
"Remove-ActiveSyncDevice Exchange cmdlet issued",25258,Exchange
"Remove-ActiveSyncDeviceAccessRule Exchange cmdlet issued",25259,Exchange
"Remove-ActiveSyncDeviceClass Exchange cmdlet issued",25260,Exchange
"Remove-ActiveSyncMailboxPolicy Exchange cmdlet issued",25261,Exchange
"Remove-ActiveSyncVirtualDirectory Exchange cmdlet issued",25262,Exchange
"Remove-AddressList Exchange cmdlet issued",25263,Exchange
"Remove-ADPermission Exchange cmdlet issued",25264,Exchange
"Remove-AutodiscoverVirtualDirectory Exchange cmdlet issued",25265,Exchange
"Remove-AvailabilityAddressSpace Exchange cmdlet issued",25266,Exchange
"Remove-AvailabilityReportOutage Exchange cmdlet issued",25267,Exchange
"Remove-ClientAccessArray Exchange cmdlet issued",25268,Exchange
"Remove-ContentFilterPhrase Exchange cmdlet issued",25269,Exchange
"Remove-DatabaseAvailabilityGroup Exchange cmdlet issued",25270,Exchange
"Remove-DatabaseAvailabilityGroupNetwork Exchange cmdlet issued",25271,Exchange
"Remove-DatabaseAvailabilityGroupServer Exchange cmdlet issued",25272,Exchange
"Remove-DeliveryAgentConnector Exchange cmdlet issued",25273,Exchange
"Remove-DistributionGroup Exchange cmdlet issued",25274,Exchange
"Remove-DistributionGroupMember Exchange cmdlet issued",25275,Exchange
"Remove-DynamicDistributionGroup Exchange cmdlet issued",25276,Exchange
"Remove-EcpVirtualDirectory Exchange cmdlet issued",25277,Exchange
"Remove-EdgeSubscription Exchange cmdlet issued",25278,Exchange
"Remove-EmailAddressPolicy Exchange cmdlet issued",25279,Exchange
"Remove-ExchangeCertificate Exchange cmdlet issued",25280,Exchange
"Remove-FederatedDomain Exchange cmdlet issued",25281,Exchange
"Remove-FederationTrust Exchange cmdlet issued",25282,Exchange
"Remove-ForeignConnector Exchange cmdlet issued",25283,Exchange
"Remove-GlobalAddressList Exchange cmdlet issued",25284,Exchange
"Remove-InboxRule Exchange cmdlet issued",25285,Exchange
"Remove-IPAllowListEntry Exchange cmdlet issued",25286,Exchange
"Remove-IPAllowListProvider Exchange cmdlet issued",25287,Exchange
"Remove-IPBlockListEntry Exchange cmdlet issued",25288,Exchange
"Remove-IPBlockListProvider Exchange cmdlet issued",25289,Exchange
"Remove-JournalRule Exchange cmdlet issued",25290,Exchange
"Remove-Mailbox Exchange cmdlet issued",25291,Exchange
"Remove-MailboxDatabase Exchange cmdlet issued",25292,Exchange
"Remove-MailboxDatabaseCopy Exchange cmdlet issued",25293,Exchange
"Remove-MailboxFolderPermission Exchange cmdlet issued",25294,Exchange
"Remove-MailboxPermission Exchange cmdlet issued",25295,Exchange
"Remove-MailboxRestoreRequest Exchange cmdlet issued",25296,Exchange
"Remove-MailContact Exchange cmdlet issued",25297,Exchange
"Remove-MailUser Exchange cmdlet issued",25298,Exchange
"Remove-ManagedContentSettings Exchange cmdlet issued",25299,Exchange
"Remove-ManagedFolder Exchange cmdlet issued",25300,Exchange
"Remove-ManagedFolderMailboxPolicy Exchange cmdlet issued",25301,Exchange
"Remove-ManagementRole Exchange cmdlet issued",25302,Exchange
"Remove-ManagementRoleAssignment Exchange cmdlet issued",25303,Exchange
"Remove-ManagementRoleEntry Exchange cmdlet issued",25304,Exchange
"Remove-ManagementScope Exchange cmdlet issued",25305,Exchange
"Remove-Message Exchange cmdlet issued",25306,Exchange
"Remove-MessageClassification Exchange cmdlet issued",25307,Exchange
"Remove-MoveRequest Exchange cmdlet issued",25308,Exchange
"Remove-OabVirtualDirectory Exchange cmdlet issued",25309,Exchange
"Remove-OfflineAddressBook Exchange cmdlet issued",25310,Exchange
"Remove-OrganizationRelationship Exchange cmdlet issued",25311,Exchange
"Remove-OutlookProtectionRule Exchange cmdlet issued",25312,Exchange
"Remove-OutlookProvider Exchange cmdlet issued",25313,Exchange
"Remove-OwaMailboxPolicy Exchange cmdlet issued",25314,Exchange
"Remove-OwaVirtualDirectory Exchange cmdlet issued",25315,Exchange
"Remove-PublicFolder Exchange cmdlet issued",25316,Exchange
"Remove-PublicFolderAdministrativePermission Exchange cmdlet issued",25317,Exchange
"Remove-PublicFolderClientPermission Exchange cmdlet issued",25318,Exchange
"Remove-PublicFolderDatabase Exchange cmdlet issued",25319,Exchange
"Remove-ReceiveConnector Exchange cmdlet issued",25320,Exchange
"Remove-RemoteDomain Exchange cmdlet issued",25321,Exchange
"Remove-RemoteMailbox Exchange cmdlet issued",25322,Exchange
"Remove-RetentionPolicy Exchange cmdlet issued",25323,Exchange
"Remove-RetentionPolicyTag Exchange cmdlet issued",25324,Exchange
"Remove-RoleAssignmentPolicy Exchange cmdlet issued",25325,Exchange
"Remove-RoleGroup Exchange cmdlet issued",25326,Exchange
"Remove-RoleGroupMember Exchange cmdlet issued",25327,Exchange
"Remove-RoutingGroupConnector Exchange cmdlet issued",25328,Exchange
"Remove-RpcClientAccess Exchange cmdlet issued",25329,Exchange
"Remove-SendConnector Exchange cmdlet issued",25330,Exchange
"Remove-SharingPolicy Exchange cmdlet issued",25331,Exchange
"Remove-StoreMailbox Exchange cmdlet issued",25332,Exchange
"Remove-SystemMessage Exchange cmdlet issued",25333,Exchange
"Remove-ThrottlingPolicy Exchange cmdlet issued",25334,Exchange
"Remove-TransportRule Exchange cmdlet issued",25335,Exchange
"Remove-UMAutoAttendant Exchange cmdlet issued",25336,Exchange
"Remove-UMDialPlan Exchange cmdlet issued",25337,Exchange
"Remove-UMHuntGroup Exchange cmdlet issued",25338,Exchange
"Remove-UMIPGateway Exchange cmdlet issued",25339,Exchange
"Remove-UMMailboxPolicy Exchange cmdlet issued",25340,Exchange
"Remove-WebServicesVirtualDirectory Exchange cmdlet issued",25341,Exchange
"Remove-X400AuthoritativeDomain Exchange cmdlet issued",25342,Exchange
"Restore-DatabaseAvailabilityGroup Exchange cmdlet issued",25343,Exchange
"Restore-DetailsTemplate Exchange cmdlet issued",25344,Exchange
"Restore-Mailbox Exchange cmdlet issued",25345,Exchange
"Resume-MailboxDatabaseCopy Exchange cmdlet issued",25346,Exchange
"Resume-MailboxExportRequest Exchange cmdlet issued",25347,Exchange
"Resume-MailboxRestoreRequest Exchange cmdlet issued",25348,Exchange
"Resume-Message Exchange cmdlet issued",25349,Exchange
"Resume-MoveRequest Exchange cmdlet issued",25350,Exchange
"Resume-PublicFolderReplication Exchange cmdlet issued",25351,Exchange
"Resume-Queue Exchange cmdlet issued",25352,Exchange
"Retry-Queue Exchange cmdlet issued",25353,Exchange
"Send-TextMessagingVerificationCode Exchange cmdlet issued",25354,Exchange
"Set-AcceptedDomain Exchange cmdlet issued",25355,Exchange
"Set-ActiveSyncDeviceAccessRule Exchange cmdlet issued",25356,Exchange
"Set-ActiveSyncMailboxPolicy Exchange cmdlet issued",25357,Exchange
"Set-ActiveSyncOrganizationSettings Exchange cmdlet issued",25358,Exchange
"Set-ActiveSyncVirtualDirectory Exchange cmdlet issued",25359,Exchange
"Set-AddressList Exchange cmdlet issued",25360,Exchange
"Set-AdminAuditLogConfig Exchange cmdlet issued",25361,Exchange
"Set-ADServerSettings Exchange cmdlet issued",25362,Exchange
"Set-ADSite Exchange cmdlet issued",25363,Exchange
"Set-AdSiteLink Exchange cmdlet issued",25364,Exchange
"Set-AutodiscoverVirtualDirectory Exchange cmdlet issued",25365,Exchange
"Set-AvailabilityConfig Exchange cmdlet issued",25366,Exchange
"Set-AvailabilityReportOutage Exchange cmdlet issued",25367,Exchange
"Set-CalendarNotification Exchange cmdlet issued",25368,Exchange
"Set-CalendarProcessing Exchange cmdlet issued",25369,Exchange
"Set-CASMailbox Exchange cmdlet issued",25370,Exchange
"Set-ClientAccessArray Exchange cmdlet issued",25371,Exchange
"Set-ClientAccessServer Exchange cmdlet issued",25372,Exchange
"Set-CmdletExtensionAgent Exchange cmdlet issued",25373,Exchange
"Set-Contact Exchange cmdlet issued",25374,Exchange
"Set-ContentFilterConfig Exchange cmdlet issued",25375,Exchange
"Set-DatabaseAvailabilityGroup Exchange cmdlet issued",25376,Exchange
"Set-DatabaseAvailabilityGroupNetwork Exchange cmdlet issued",25377,Exchange
"Set-DeliveryAgentConnector Exchange cmdlet issued",25378,Exchange
"Set-DetailsTemplate Exchange cmdlet issued",25379,Exchange
