assessment_objective,assessment_objective_id,assessment_objective_letter,control,control_ace,control_ccm,control_cmmc_level,control_dod_weight,control_evidence_found,control_family,control_group,control_operator,control_owner,control_prereq_met,control_review_due,control_review_message,control_review_overdue,control_review_status,control_review_time,control_status,control_supercedes_until,control_update_message,control_update_time,cui_system_id,cui_system_name,cui_system_splunk_id,status_type
authorized users are identified.,3.1.1[a],a,AC.L1-3.1.1,TRUE,FALSE,1,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
processes acting on behalf of authorized users are identified.,3.1.1[b],b,AC.L1-3.1.1,TRUE,FALSE,1,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
devices (and other systems) authorized to connect to the system are identified.,3.1.1[c],c,AC.L1-3.1.1,TRUE,FALSE,1,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
system access is limited to authorized users.,3.1.1[d],d,AC.L1-3.1.1,TRUE,TRUE,1,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
system access is limited to processes acting on behalf of authorized users.,3.1.1[e],e,AC.L1-3.1.1,TRUE,TRUE,1,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
system access is limited to authorized devices (including other systems).,3.1.1[f],f,AC.L1-3.1.1,TRUE,TRUE,1,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the types of transactions and functions that authorized users are permitted to execute are defined.,3.1.2[a],a,AC.L1-3.1.2,TRUE,FALSE,1,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
system access is limited to the defined types of transactions and functions for authorized users.,3.1.2[b],b,AC.L1-3.1.2,TRUE,TRUE,1,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
information flow control policies are defined.,3.1.3[a],a,AC.L2-3.1.3,FALSE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
methods and enforcement mechanisms for controlling the flow of CUI are defined.,3.1.3[b],b,AC.L2-3.1.3,FALSE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
designated sources and destinations (e.g.,3.1.3[c],c,AC.L2-3.1.3,TRUE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
authorizations for controlling the flow of CUI are defined.,3.1.3[d],d,AC.L2-3.1.3,FALSE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
approved authorizations for controlling the flow of CUI are enforced.,3.1.3[e],e,AC.L2-3.1.3,FALSE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the duties of individuals requiring separation are defined.,3.1.4[a],a,AC.L2-3.1.4,TRUE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
responsibilities for duties that require separation are assigned to separate individuals.,3.1.4[b],b,AC.L2-3.1.4,FALSE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
access privileges that enable individuals to exercise the duties that require separation are granted to separate individuals.,3.1.4[c],c,AC.L2-3.1.4,TRUE,TRUE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
privileged accounts are identified.,3.1.5[a],a,AC.L2-3.1.5,TRUE,FALSE,2,3,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
access to privileged accounts is authorized in accordance with the principle of least privilege.,3.1.5[b],b,AC.L2-3.1.5,FALSE,FALSE,2,3,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
security functions are identified.,3.1.5[c],c,AC.L2-3.1.5,FALSE,FALSE,2,3,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
access to security functions is authorized in accordance with the principle of least privilege.,3.1.5[d],d,AC.L2-3.1.5,FALSE,FALSE,2,3,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
