"assessment_objective","assessment_objective_id","nist_control","raw_list","status_type"
"the use of nonessential ports is defined.","3.4.7[h]","3.4.7","3.4.7[h] the use of nonessential ports is defined.",objective
"the use of nonessential ports is restricted","3.4.7[i]","3.4.7","3.4.7[i] the use of nonessential ports is restricted",objective
"essential protocols are defined.","3.4.7[j]","3.4.7","3.4.7[j] essential protocols are defined.",objective
"the use of nonessential protocols is defined.","3.4.7[k]","3.4.7","3.4.7[k] the use of nonessential protocols is defined.",objective
"the use of nonessential protocols is restricted","3.4.7[l]","3.4.7","3.4.7[l] the use of nonessential protocols is restricted",objective
"essential services are defined.","3.4.7[m]","3.4.7","3.4.7[m] essential services are defined.",objective
"the use of nonessential services is defined.","3.4.7[n]","3.4.7","3.4.7[n] the use of nonessential services is defined.",objective
"the use of nonessential services is restricted","3.4.7[o]","3.4.7","3.4.7[o] the use of nonessential services is restricted",objective
"a policy specifying whether whitelisting or blacklisting is to be implemented is specified.","3.4.8[a]","3.4.8","3.4.8[a] a policy specifying whether whitelisting or blacklisting is to be implemented is specified.",objective
"the software allowed to execute under whitelisting or denied use under blacklisting is specified.","3.4.8[b]","3.4.8","3.4.8[b] the software allowed to execute under whitelisting or denied use under blacklisting is specified.",objective
"whitelisting to allow the execution of authorized software or blacklisting to prevent the use of unauthorized software is implemented as specified.","3.4.8[c]","3.4.8","3.4.8[c] whitelisting to allow the execution of authorized software or blacklisting to prevent the use of unauthorized software is implemented as specified.",objective
"a policy for controlling the installation of software by users is established.","3.4.9[a]","3.4.9","3.4.9[a] a policy for controlling the installation of software by users is established.",objective
"installation of software by users is controlled based on the established policy.","3.4.9[b]","3.4.9","3.4.9[b] installation of software by users is controlled based on the established policy.",objective
"installation of software by users is monitored.","3.4.9[c]","3.4.9","3.4.9[c] installation of software by users is monitored.",objective
"system users are identified.","3.5.1[a]","3.5.1","3.5.1[a] system users are identified.",objective
"processes acting on behalf of users are identified.","3.5.1[b]","3.5.1","3.5.1[b] processes acting on behalf of users are identified.",objective
"devices accessing the system are identified.","3.5.1[c]","3.5.1","3.5.1[c] devices accessing the system are identified.",objective
"the identity of each user is authenticated or verified as a prerequisite to system access.","3.5.2[a]","3.5.2","3.5.2[a] the identity of each user is authenticated or verified as a prerequisite to system access.",objective
"the identity of each process acting on behalf of a user is authenticated or verified as a prerequisite to system access.","3.5.2[b]","3.5.2","3.5.2[b] the identity of each process acting on behalf of a user is authenticated or verified as a prerequisite to system access.",objective
"the identity of each device accessing or connecting to the system is authenticated or verified as a prerequisite to system access.","3.5.2[c]","3.5.2","3.5.2[c] the identity of each device accessing or connecting to the system is authenticated or verified as a prerequisite to system access.",objective
"privileged accounts are identified.","3.5.3[a]","3.5.3","3.5.3[a] privileged accounts are identified.",objective
"multifactor authentication is implemented for local access to privileged accounts.","3.5.3[b]","3.5.3","3.5.3[b] multifactor authentication is implemented for local access to privileged accounts.",objective
"multifactor authentication is implemented for network access to privileged accounts.","3.5.3[c]","3.5.3","3.5.3[c] multifactor authentication is implemented for network access to privileged accounts.",objective
"multifactor authentication is implemented for network access to non-privileged accounts.","3.5.3[d]","3.5.3","3.5.3[d] multifactor authentication is implemented for network access to non-privileged accounts.",objective
"Determine if replay-resistant authentication mechanisms are implemented for network account access to privileged and non-privileged accounts.","3.5.4[a]","3.5.4","3.5.4 Determine if replay-resistant authentication mechanisms are implemented for network account access to privileged and non-privileged accounts.",objective
"a period within which identifiers cannot be reused is defined.","3.5.5[a]","3.5.5","3.5.5[a] a period within which identifiers cannot be reused is defined.",objective
"reuse of identifiers is prevented within the defined period.","3.5.5[b]","3.5.5","3.5.5[b] reuse of identifiers is prevented within the defined period.",objective
"a period of inactivity after which an identifier is disabled is defined.","3.5.6[a]","3.5.6","3.5.6[a] a period of inactivity after which an identifier is disabled is defined.",objective
"identifiers are disabled after the defined period of inactivity.","3.5.6[b]","3.5.6","3.5.6[b] identifiers are disabled after the defined period of inactivity.",objective
"password complexity requirements are defined.","3.5.7[a]","3.5.7","3.5.7[a] password complexity requirements are defined.",objective
"password change of character requirements are defined.","3.5.7[b]","3.5.7","3.5.7[b] password change of character requirements are defined.",objective
"minimum password complexity requirements as defined are enforced when new passwords are created.","3.5.7[c]","3.5.7","3.5.7[c] minimum password complexity requirements as defined are enforced when new passwords are created.",objective
"minimum password change of character requirements as defined are enforced when new passwords are created.","3.5.7[d]","3.5.7","3.5.7[d] minimum password change of character requirements as defined are enforced when new passwords are created.",objective
"the number of generations during which a password cannot be reused is specified.","3.5.8[a]","3.5.8","3.5.8[a] the number of generations during which a password cannot be reused is specified.",objective
"reuse of passwords is prohibited during the specified number of generations.","3.5.8[b]","3.5.8","3.5.8[b] reuse of passwords is prohibited during the specified number of generations.",objective
"Determine if an immediate change to a permanent password is required when a temporary password is used for system logon.","3.5.9[a]","3.5.9","3.5.9 Determine if an immediate change to a permanent password is required when a temporary password is used for system logon.",objective
"passwords are cryptographically protected in storage.","3.5.10[a]","3.5.10","3.5.10[a] passwords are cryptographically protected in storage.",objective
"passwords are cryptographically protected in transit.","3.5.10[b]","3.5.10","3.5.10[b] passwords are cryptographically protected in transit.",objective
"Determine if authentication information is obscured during the authentication process.","3.5.11[a]","3.5.11","3.5.11 Determine if authentication information is obscured during the authentication process.",objective
"an operational incident-handling capability is established.","3.6.1[a]","3.6.1","3.6.1[a] an operational incident-handling capability is established.",objective
"the operational incident-handling capability includes preparation.","3.6.1[b]","3.6.1","3.6.1[b] the operational incident-handling capability includes preparation.",objective
"the operational incident-handling capability includes detection.","3.6.1[c]","3.6.1","3.6.1[c] the operational incident-handling capability includes detection.",objective
"the operational incident-handling capability includes analysis.","3.6.1[d]","3.6.1","3.6.1[d] the operational incident-handling capability includes analysis.",objective
"the operational incident-handling capability includes containment.","3.6.1[e]","3.6.1","3.6.1[e] the operational incident-handling capability includes containment.",objective
"the operational incident-handling capability includes recovery.","3.6.1[f]","3.6.1","3.6.1[f] the operational incident-handling capability includes recovery.",objective
"the operational incident-handling capability includes user response activities.","3.6.1[g]","3.6.1","3.6.1[g] the operational incident-handling capability includes user response activities.",objective
"incidents are tracked.","3.6.2[a]","3.6.2","3.6.2[a] incidents are tracked.",objective
"incidents are documented.","3.6.2[b]","3.6.2","3.6.2[b] incidents are documented.",objective
"authorities to whom incidents are to be reported are identified.","3.6.2[c]","3.6.2","3.6.2[c] authorities to whom incidents are to be reported are identified.",objective
"organizational officials to whom incidents are to be reported are identified.","3.6.2[d]","3.6.2","3.6.2[d] organizational officials to whom incidents are to be reported are identified.",objective
"identified authorities are notified of incidents.","3.6.2[e]","3.6.2","3.6.2[e] identified authorities are notified of incidents.",objective
"identified organizational officials are notified of incidents.","3.6.2[f]","3.6.2","3.6.2[f] identified organizational officials are notified of incidents.",objective
"Determine if the incident response capability is tested.","3.6.3[a]","3.6.3","3.6.3 Determine if the incident response capability is tested.",objective
"Determine if system maintenance is performed.","3.7.1[a]","3.7.1","3.7.1 Determine if system maintenance is performed.",objective
"tools used to conduct system maintenance are controlled.","3.7.2[a]","3.7.2","3.7.2[a] tools used to conduct system maintenance are controlled.",objective
"techniques used to conduct system maintenance are controlled.","3.7.2[b]","3.7.2","3.7.2[b] techniques used to conduct system maintenance are controlled.",objective
"mechanisms used to conduct system maintenance are controlled.","3.7.2[c]","3.7.2","3.7.2[c] mechanisms used to conduct system maintenance are controlled.",objective
"personnel used to conduct system maintenance are controlled.","3.7.2[d]","3.7.2","3.7.2[d] personnel used to conduct system maintenance are controlled.",objective
"Determine if equipment to be removed from organizational spaces for off-site maintenance is sanitized of any CUI.","3.7.3[a]","3.7.3","3.7.3 Determine if equipment to be removed from organizational spaces for off-site maintenance is sanitized of any CUI.",objective
"Determine if media containing diagnostic and test programs are checked for malicious code before being used in organizational systems that process","3.7.4[a]","3.7.4","3.7.4 Determine if media containing diagnostic and test programs are checked for malicious code before being used in organizational systems that process",objective
"multifactor authentication is used to establish nonlocal maintenance sessions via external network connections.","3.7.5[a]","3.7.5","3.7.5[a] multifactor authentication is used to establish nonlocal maintenance sessions via external network connections.",objective
"nonlocal maintenance sessions established via external network connections are terminated when nonlocal maintenance is complete.","3.7.5[b]","3.7.5","3.7.5[b] nonlocal maintenance sessions established via external network connections are terminated when nonlocal maintenance is complete.",objective
"Determine if maintenance personnel without required access authorization are supervised during maintenance activities.","3.7.6[a]","3.7.6","3.7.6 Determine if maintenance personnel without required access authorization are supervised during maintenance activities.",objective
"paper media containing CUI is physically controlled.","3.8.1[a]","3.8.1","3.8.1[a] paper media containing CUI is physically controlled.",objective
"digital media containing CUI is physically controlled.","3.8.1[b]","3.8.1","3.8.1[b] digital media containing CUI is physically controlled.",objective
"paper media containing CUI is securely stored.","3.8.1[c]","3.8.1","3.8.1[c] paper media containing CUI is securely stored.",objective
"digital media containing CUI is securely stored.","3.8.1[d]","3.8.1","3.8.1[d] digital media containing CUI is securely stored.",objective
"Determine if access to CUI on system media is limited to authorized users.","3.8.2[a]","3.8.2","3.8.2 Determine if access to CUI on system media is limited to authorized users.",objective
"system media containing CUI is sanitized or destroyed before disposal.","3.8.3[a]","3.8.3","3.8.3[a] system media containing CUI is sanitized or destroyed before disposal.",objective
"system media containing CUI is sanitized before it is released for reuse.","3.8.3[b]","3.8.3","3.8.3[b] system media containing CUI is sanitized before it is released for reuse.",objective
"media containing CUI is marked with applicable CUI markings.","3.8.4[a]","3.8.4","3.8.4[a] media containing CUI is marked with applicable CUI markings.",objective
"media containing CUI is marked with distribution limitations.","3.8.4[b]","3.8.4","3.8.4[b] media containing CUI is marked with distribution limitations.",objective
"access to media containing CUI is controlled.","3.8.5[a]","3.8.5","3.8.5[a] access to media containing CUI is controlled.",objective
"accountability for media containing CUI is maintained during transport outside of controlled areas.","3.8.5[b]","3.8.5","3.8.5[b] accountability for media containing CUI is maintained during transport outside of controlled areas.",objective
"Determine if the confidentiality of CUI stored on digital media is protected during transport using cryptographic mechanisms or alternative physical safeguards.","3.8.6[a]","3.8.6","3.8.6 Determine if the confidentiality of CUI stored on digital media is protected during transport using cryptographic mechanisms or alternative physical safeguards.",objective
"Determine if the use of removable media on system components is controlled.","3.8.7[a]","3.8.7","3.8.7 Determine if the use of removable media on system components is controlled.",objective
"Determine if the use of portable storage devices is prohibited when such devices have no identifiable owner.","3.8.8[a]","3.8.8","3.8.8 Determine if the use of portable storage devices is prohibited when such devices have no identifiable owner.",objective
"Determine if the confidentiality of backup CUI is protected at storage locations.","3.8.9[a]","3.8.9","3.8.9 Determine if the confidentiality of backup CUI is protected at storage locations.",objective
"Determine if individuals are screened prior to authorizing access to organizational systems containing CUI.","3.9.1[a]","3.9.1","3.9.1 Determine if individuals are screened prior to authorizing access to organizational systems containing CUI.",objective
"a policy and/or process for terminating system access and any credentials coincident with personnel actions is established.","3.9.2[a]","3.9.2","3.9.2[a] a policy and/or process for terminating system access and any credentials coincident with personnel actions is established.",objective
"system access and credentials are terminated consistent with personnel actions such as termination or transfer.","3.9.2[b]","3.9.2","3.9.2[b] system access and credentials are terminated consistent with personnel actions such as termination or transfer.",objective
"the system is protected during and after personnel transfer actions.","3.9.2[c]","3.9.2","3.9.2[c] the system is protected during and after personnel transfer actions.",objective
"authorized individuals allowed physical access are identified.","3.10.1[a]","3.10.1","3.10.1[a] authorized individuals allowed physical access are identified.",objective
"physical access to organizational systems is limited to authorized individuals.","3.10.1[b]","3.10.1","3.10.1[b] physical access to organizational systems is limited to authorized individuals.",objective
"physical access to equipment is limited to authorized individuals.","3.10.1[c]","3.10.1","3.10.1[c] physical access to equipment is limited to authorized individuals.",objective
"physical access to operating environments is limited to authorized individuals.","3.10.1[d]","3.10.1","3.10.1[d] physical access to operating environments is limited to authorized individuals.",objective
"the physical facility where organizational systems reside is protected.","3.10.2[a]","3.10.2","3.10.2[a] the physical facility where organizational systems reside is protected.",objective
"the support infrastructure for organizational systems is protected.","3.10.2[b]","3.10.2","3.10.2[b] the support infrastructure for organizational systems is protected.",objective
"the physical facility where organizational systems reside is monitored.","3.10.2[c]","3.10.2","3.10.2[c] the physical facility where organizational systems reside is monitored.",objective
"the support infrastructure for organizational systems is monitored.","3.10.2[d]","3.10.2","3.10.2[d] the support infrastructure for organizational systems is monitored.",objective
"visitors are escorted.","3.10.3[a]","3.10.3","3.10.3[a] visitors are escorted.",objective
"visitor activity is monitored.","3.10.3[b]","3.10.3","3.10.3[b] visitor activity is monitored.",objective
"Determine if audit logs of physical access are maintained.","3.10.4[a]","3.10.4","3.10.4 Determine if audit logs of physical access are maintained.",objective
"physical access devices are identified.","3.10.5[a]","3.10.5","3.10.5[a] physical access devices are identified.",objective
"physical access devices are controlled.","3.10.5[b]","3.10.5","3.10.5[b] physical access devices are controlled.",objective
"physical access devices are managed.","3.10.5[c]","3.10.5","3.10.5[c] physical access devices are managed.",objective
"safeguarding measures for CUI are defined for alternate work sites.","3.10.6[a]","3.10.6","3.10.6[a] safeguarding measures for CUI are defined for alternate work sites.",objective
"safeguarding measures for CUI are enforced for alternate work sites.","3.10.6[b]","3.10.6","3.10.6[b] safeguarding measures for CUI are enforced for alternate work sites.",objective
"the frequency to assess risk to organizational operations","3.11.1[a]","3.11.1","3.11.1[a] the frequency to assess risk to organizational operations",objective
"risk to organizational operations","3.11.1[b]","3.11.1","3.11.1[b] risk to organizational operations",objective
"the frequency to scan for vulnerabilities in organizational systems and applications is defined.","3.11.2[a]","3.11.2","3.11.2[a] the frequency to scan for vulnerabilities in organizational systems and applications is defined.",objective
"vulnerability scans are performed on organizational systems with the defined frequency.","3.11.2[b]","3.11.2","3.11.2[b] vulnerability scans are performed on organizational systems with the defined frequency.",objective
"vulnerability scans are performed on applications with the defined frequency.","3.11.2[c]","3.11.2","3.11.2[c] vulnerability scans are performed on applications with the defined frequency.",objective
"vulnerability scans are performed on organizational systems when new vulnerabilities are identified.","3.11.2[d]","3.11.2","3.11.2[d] vulnerability scans are performed on organizational systems when new vulnerabilities are identified.",objective
"vulnerability scans are performed on applications when new vulnerabilities are identified.","3.11.2[e]","3.11.2","3.11.2[e] vulnerability scans are performed on applications when new vulnerabilities are identified.",objective
"vulnerabilities are identified.","3.11.3[a]","3.11.3","3.11.3[a] vulnerabilities are identified.",objective
"vulnerabilities are remediated in accordance with risk assessments.","3.11.3[b]","3.11.3","3.11.3[b] vulnerabilities are remediated in accordance with risk assessments.",objective
"the frequency of security control assessments is defined.","3.12.1[a]","3.12.1","3.12.1[a] the frequency of security control assessments is defined.",objective
"security controls are assessed with the defined frequency to determine if the controls are effective in their application.","3.12.1[b]","3.12.1","3.12.1[b] security controls are assessed with the defined frequency to determine if the controls are effective in their application.",objective
"deficiencies and vulnerabilities to be addressed by the plan of action are identified.","3.12.2[a]","3.12.2","3.12.2[a] deficiencies and vulnerabilities to be addressed by the plan of action are identified.",objective
"a plan of action is developed to correct identified deficiencies and reduce or eliminate identified vulnerabilities.","3.12.2[b]","3.12.2","3.12.2[b] a plan of action is developed to correct identified deficiencies and reduce or eliminate identified vulnerabilities.",objective
"the plan of action is implemented to correct identified deficiencies and reduce or eliminate identified vulnerabilities.","3.12.2[c]","3.12.2","3.12.2[c] the plan of action is implemented to correct identified deficiencies and reduce or eliminate identified vulnerabilities.",objective
"Determine if security controls are monitored on an ongoing basis to ensure the continued effectiveness of those controls.","3.12.3[a]","3.12.3","3.12.3 Determine if security controls are monitored on an ongoing basis to ensure the continued effectiveness of those controls.",objective
"a system security plan is developed.","3.12.4[a]","3.12.4","3.12.4[a] a system security plan is developed.",objective
"the system boundary is described and documented in the system security plan.","3.12.4[b]","3.12.4","3.12.4[b] the system boundary is described and documented in the system security plan.",objective
