"assessment_objective","assessment_objective_id","nist_control","raw_list","status_type"
"Determine if the confidentiality of CUI at rest is protected.","3.13.16[a]","3.13.16","3.13.16 Determine if the confidentiality of CUI at rest is protected.",objective
"the time within which to identify system flaws is specified.","3.14.1[a]","3.14.1","3.14.1[a] the time within which to identify system flaws is specified.",objective
"system flaws are identified within the specified time frame.","3.14.1[b]","3.14.1","3.14.1[b] system flaws are identified within the specified time frame.",objective
"the time within which to report system flaws is specified.","3.14.1[c]","3.14.1","3.14.1[c] the time within which to report system flaws is specified.",objective
"system flaws are reported within the specified time frame.","3.14.1[d]","3.14.1","3.14.1[d] system flaws are reported within the specified time frame.",objective
"the time within which to correct system flaws is specified.","3.14.1[e]","3.14.1","3.14.1[e] the time within which to correct system flaws is specified.",objective
"system flaws are corrected within the specified time frame.","3.14.1[f]","3.14.1","3.14.1[f] system flaws are corrected within the specified time frame.",objective
"designated locations for malicious code protection are identified.","3.14.2[a]","3.14.2","3.14.2[a] designated locations for malicious code protection are identified.",objective
"protection from malicious code at designated locations is provided.","3.14.2[b]","3.14.2","3.14.2[b] protection from malicious code at designated locations is provided.",objective
"response actions to system security alerts and advisories are identified.","3.14.3[a]","3.14.3","3.14.3[a] response actions to system security alerts and advisories are identified.",objective
"system security alerts and advisories are monitored.","3.14.3[b]","3.14.3","3.14.3[b] system security alerts and advisories are monitored.",objective
"actions in response to system security alerts and advisories are taken.","3.14.3[c]","3.14.3","3.14.3[c] actions in response to system security alerts and advisories are taken.",objective
"Determine if malicious code protection mechanisms are updated when new releases are available.","3.14.4[a]","3.14.4","3.14.4 Determine if malicious code protection mechanisms are updated when new releases are available.",objective
"the frequency for malicious code scans is defined.","3.14.5[a]","3.14.5","3.14.5[a] the frequency for malicious code scans is defined.",objective
"malicious code scans are performed with the defined frequency.","3.14.5[b]","3.14.5","3.14.5[b] malicious code scans are performed with the defined frequency.",objective
"real-time malicious code scans of files from external sources as files are downloaded","3.14.5[c]","3.14.5","3.14.5[c] real-time malicious code scans of files from external sources as files are downloaded",objective
"the system is monitored to detect attacks and indicators of potential attacks.","3.14.6[a]","3.14.6","3.14.6[a] the system is monitored to detect attacks and indicators of potential attacks.",objective
"inbound communications traffic is monitored to detect attacks and indicators of potential attacks.","3.14.6[b]","3.14.6","3.14.6[b] inbound communications traffic is monitored to detect attacks and indicators of potential attacks.",objective
"outbound communications traffic is monitored to detect attacks and indicators of potential attacks.","3.14.6[c]","3.14.6","3.14.6[c] outbound communications traffic is monitored to detect attacks and indicators of potential attacks.",objective
"authorized use of the system is defined.","3.14.7[a]","3.14.7","3.14.7[a] authorized use of the system is defined.",objective
"unauthorized use of the system is identified.","3.14.7[b]","3.14.7","3.14.7[b] unauthorized use of the system is identified.",objective
