cui_system_splunk_id,app,dest,dest_pci_domain,is_prohibited,is_required,is_secure,note
default_system,portmap,*,*,true,false,,Unix RPC portmapper service is prohibited.
default_system,xinetd,*,*,true,false,,Unix xinetd services are prohibited.
default_system,Fax,*,*,true,false,,Windows Fax service is prohibited.
default_system,RemoteRegistry,*,*,true,false,,Windows remote registry service is prohibited.
default_system,SNMPTRAP,*,*,true,false,,Windows SNMP trap service is prohibited.
default_system,ssh,*,*,false,false,true,Unix Secure shell is permitted.
default_system,W32Time,*,*,false,true,,Windows time service is required.
default_system,wuauserv,*,*,false,true,,Windows automatic update service is required.
default_system,yum-updatesd,*,*,false,true,,Unix automatic update service is required.
default_system,LsaRegisterLogonProcess(),*,*,true,false,false,This entry will help to validate searches with Eventgen data
