note,process_name,prohibited_process
,Acf.Core.Managed.Host.exe,FALSE
,Acr.Triad.AutoUpdaterClientService.exe,FALSE
,Acr.Triad.SiteServer.exe,FALSE
,AcroRd32.exe,FALSE
,ActSrvNT.exe,FALSE
,ActionQueue.exe,FALSE
,Activation.exe,FALSE
,ActivityService.WindowsService.exe,FALSE
,AdSync.exe,FALSE
,AddOnCommandResponseService.exe,FALSE
,AddOnManagerService.exe,FALSE
,AdminApp.exe,FALSE
,AdobeARM.exe,FALSE
,Adp.MajorAccounts.Tlm.Service.exe,FALSE
,Adwalk.exe,FALSE
,AgPkiMon.exe,FALSE
,AgencyService.exe,FALSE
,Agent.Listener.exe,FALSE
,AgentClient.exe,FALSE
,AgentCommonHASyncWorker.exe,FALSE
,AgentCommonReplicatorService.exe,FALSE
,AgentCommonSPRoleChecker.exe,FALSE
,AgentMon.exe,FALSE
,AgentService.exe,FALSE
,AlarmService.Windows.exe,FALSE
,Alarms.exe,FALSE
,AlertGenerationTool.exe,FALSE
,AliAuthServu.exe,FALSE
,AliDashboardService.exe,FALSE
,AliEJSrv.exe,FALSE
,AliGenRadDBModule.exe,FALSE
,AliLegacySeqrNotifier.exe,FALSE
,AliLegacySequencer.exe,FALSE
,AliLegacyWeb.exe,FALSE
,AliLog.exe,FALSE
,AliRptDistributorServer.exe,FALSE
,AliSal.exe,FALSE
,AliSdxsExpMgru.exe,FALSE
,AliSdxsHl7Expu.exe,FALSE
,AliSdxsHl7Impu.exe,FALSE
,AliSdxsListenu.exe,FALSE
,AliSdxsWorker.exe,FALSE
,AliSequenceServer.exe,FALSE
,AliWebBE.exe,FALSE
,AliWebBEx.exe,FALSE
,AliWebDB.exe,FALSE
,AliWebIS.exe,FALSE
,AllTouchService.exe,FALSE
,Allscripts.EPM.DataStudio.TaskEngine.WinService.exe,FALSE
,Allscripts.TouchWorks.EEHRHubServiceHost.exe,FALSE
,AllscriptsUnityLogService.exe,FALSE
,AlwaysUpService.exe,FALSE
,Amcom.HealthStatusMonitor.Service.exe,FALSE
,Amcom.IntelliDesk.Paging.Service.exe,FALSE
,AmcomTAPIParkMonitor.Service.exe,FALSE
,Analyze.EXE,FALSE
,AppGw.exe,FALSE
,AppServ.exe,FALSE
,AppServer.exe,FALSE
,AppSyncHostPlugin.exe,FALSE
,ApplicationProxyConnectorService.exe,FALSE
,ApplicationProxyConnectorUpdaterService.exe,FALSE
,ApplicationServer.exe,FALSE
,Appspace.Agent.Activation.exe,FALSE
,Appspace.Agent.Playoutmetrics.exe,FALSE
,Arc.exe,FALSE
,ArcLDAPServer.exe,FALSE
,Architect Manager.exe,FALSE
,ArchivingService.exe,FALSE
,Aria.Agent.exe,FALSE
,Artel.Notification.Service.exe,FALSE
,Ascom.Interface.Adapter.Oap.exe,FALSE
,Ascom.Interface.Adapter.Service.exe,FALSE
,Ascom.Interface.Adapter.Vocera-Vmi.exe,FALSE
,Ascom.OI.Supervisor.Service.Console.exe,FALSE
,Ascom.Unite.ActivePassiveHandlerService.exe,FALSE
,Ascom.Unite.Analyze.Supervisor.WindowsService.exe,FALSE
,Ascom.Unite.CentralContactsService.exe,FALSE
,Ascom.Unite.ClientDataService.exe,FALSE
,Ascom.Unite.Connect.Common.Supervisor.exe,FALSE
,Ascom.Unite.Connect.LocationHandler.exe,FALSE
,Ascom.Unite.DeviceManager.exe,FALSE
,Ascom.Unite.FaultHandler.exe,FALSE
,Ascom.Unite.FaultNotification.Services.Host.exe,FALSE
,Ascom.Unite.LegacyAdapter.LegacyAdapterService.exe,FALSE
,Ascom.Unite.MessageCompositionGUI.exe,FALSE
,Ascom.Unite.MessageCompositionService.exe,FALSE
,Ascom.Unite.MessageService.exe,FALSE
,Ascom.Unite.OAP.exe,FALSE
,Ascom.Unite.Services.Windows.Log.exe,FALSE
,Ascom.Unite.Services.Windows.MessagebusCommandService.exe,FALSE
,Ascom.Unite.Services.Windows.ModuleMessaging.exe,FALSE
,Ascom.Unite.Services.Windows.ModuleSynchronization.exe,FALSE
,Ascom.Unite.Services.Windows.ModuleUserSyncSubscriptionService.exe,FALSE
,Ascom.Unite.Services.Windows.PatientInformationService.exe,FALSE
,Ascom.Unite.Services.Windows.RoundingTimerService.exe,FALSE
,Ascom.Unite.Services.Windows.Scheduling.exe,FALSE
,Ascom.Unite.Supervisor.WCF.exe,FALSE
,Ascom.Unite.Supervisor.WindowsService.exe,FALSE
,Ascom.Unite.Supervisor.exe,FALSE
,Ascom.Unite.TimerService.Manager.exe,FALSE
,Ascom.Unite.TimerService.Receiver.exe,FALSE
,Ascom.Unite.WSCSI.exe,FALSE
,AspenLung.Interface.exe,FALSE
,AssignAuthoritySetup.exe,FALSE
,AtirixAppStarter.exe,FALSE
,Atlas.ComponentManager.Backup.exe,FALSE
,Atlas.ComponentManager.exe,FALSE
,AtlasAlertService.exe,FALSE
,AtlasCompressService.exe,FALSE
,AtlasConnectService.exe,FALSE
,AuditLoggerService.exe,FALSE
,AuditService.exe,FALSE
,AuthManSvr.exe,FALSE
,AuthService.exe,FALSE
,AutoUpdateD.exe,FALSE
,AutomatorServer64.exe,FALSE
,AvayaNotifier.exe,FALSE
,AveraDirectoryImport.exe,FALSE
,AwHProbe.exe,FALSE
,AwUsbCfg.exe,FALSE
,AxedaDesktopServer.exe,FALSE
,Axiom.Scheduler.Service.exe,FALSE
,AzureStorageSyncMonitor.exe,FALSE
,BIBusTKServerMain.exe,FALSE
,BackgroundJobService.exe,FALSE
,BenefitsPopup.exe,FALSE
,BmtMDProviderMain.exe,FALSE
,BostonWorkStationShare.exe,FALSE
,BrekekeSIP.exe,FALSE
,Bridge64.exe,FALSE
,Bss80.exe,FALSE
,BtSystem.Service.exe,FALSE
,C2SKeywordService.exe,FALSE
,C2SKeywordServiceOffice.exe,FALSE
,CADCLU.exe,FALSE
,CADalarm.exe,FALSE
,CADcoll.exe,FALSE
,CAPNotifier.exe,FALSE
,CAVA.exe,FALSE
,CBORDDataService.exe,FALSE
,CCTVService.exe,FALSE
,CCUpdate.exe,FALSE
,CDAclSrv.exe,FALSE
,CDActivityArchive.exe,FALSE
,CDActivitySizeArchive.exe,FALSE
,CDC.EXE,FALSE
,CDRDA.exe,FALSE
,CDS.exe,FALSE
,CDSnapshot.exe,FALSE
,CDSystemInformationService.exe,FALSE
,CEEMtrSvc.exe,FALSE
,CEP.Service.exe,FALSE
,CERME.exe,FALSE
,CFAXDTRX.EXE,FALSE
,CFaxdTrx.exe,FALSE
,CH2000PDFService.exe,FALSE
,CISCONotifier.exe,FALSE
,CITRIX.exe,FALSE
,CK720Dnld.exe,FALSE
,CK720Priority.exe,FALSE
,CK720Upld.exe,FALSE
,CMC.exe,FALSE
,CMDMGR.exe,FALSE
,CMS.exe,FALSE
,COMMANDR.exe,FALSE
,CPNClientTransfer.exe,FALSE
,CPNClientUpgrade.exe,FALSE
,CQC.EXE,FALSE
,CQMAgent.exe,FALSE
,CRVFusionServiceManager.exe,FALSE
,CRVLoaderService.exe,FALSE
,CSIQAgent.exe,FALSE
,CSLinkSvc.exe,FALSE
,CSMAGIC.EXE,FALSE
,CSMAGIC.exe,FALSE
,CSMagic.exe,FALSE
,CSiQJobs.exe,FALSE
,CTI Server.exe,FALSE
,CTSS.exe,FALSE
,CTSSMGR.exe,FALSE
,CTerm.exe,FALSE
,CUSS.EXE,FALSE
,CVManager.exe,FALSE
,CVPowerShell.exe,FALSE
,CadLinkClientWindowsService.exe,FALSE
,CadLinkServerWindowsService.exe,FALSE
,CadLinkThinClientWindowsService.exe,FALSE
,CagService.exe,FALSE
,CallRecordingService.exe,FALSE
,Capsule.Server.Cortex.Hosts.FailoverWindowsService.exe,FALSE
,Capsule.Server.Cortex.Hosts.WindowsService.exe,FALSE
,Capture.Services.exe,FALSE
,Cardinal.SpdDP.ServiceRunner.exe,FALSE
,CareFusion.Dispensing.SyncServices.ServerHost.exe,FALSE
,CareGiverService.exe,FALSE
,CbpReportGuardian.exe,FALSE
,CbpReportService.exe,FALSE
,CbpTaskGuardian.exe,FALSE
,CbpTaskScheduler.exe,FALSE
,CbrWorkerProcess.exe,FALSE
,CcmExec.exe,FALSE
,Ccontrol.exe,FALSE
,CdmSync.exe,FALSE
,Cegid.Retail.ProcessLauncher.exe,FALSE
,CegidDatabaseMaintenance.exe,FALSE
,Centriq.LISAgent.Service.exe,FALSE
,CheckTermSrv.exe,FALSE
,CiscoCertMon.exe,FALSE
,CiscoTSPNotifier.exe,FALSE
,Citrix.XenApp.Commands.Remoting.Service.exe,FALSE
,CitrixCseEngine.exe,FALSE
,Citrix_GTLicensingProv.exe,FALSE
,CmafReportSrv.exe,FALSE
,CmdServer.exe,FALSE
,CommMon.exe,FALSE
,CommandArchiver.exe,FALSE
,CommandBITranslator.NET.exe,FALSE
,CommandBITranslatorMAP.exe,FALSE
,CompassService.exe,FALSE
,ComplianceAuditService.exe,FALSE
,ConductorAgent.exe,FALSE
,ConferenceSERVER.exe,FALSE
,ConfigService.exe,FALSE
,ConfigServices.exe,FALSE
,Configurator.exe,FALSE
,Connect.exe,FALSE
,ConnectPlusService.exe,FALSE
,ConnectPlusServiceManager.exe,FALSE
,ConnectionServer.exe,FALSE
,ConnectionServer32.exe,FALSE
,ConsoleAppMgr.exe,FALSE
,ContextControllerD.exe,FALSE
,ControlTimerService.exe,FALSE
,ConverterService.exe,FALSE
,ConverterStarter.exe,FALSE
,CooperAtkins.Collector.Service.exe,FALSE
,CooperAtkins.NotificationClient.Service.exe,FALSE
,CorridorSCP.exe,FALSE
,CorridorSCPService.exe,FALSE
,CounterPointConnector.ConsoleApp.exe,FALSE
,Covidien.IPI.DataCollection.DataCollectionService.exe,FALSE
,CpA2.exe,FALSE
,CpCfgSvc.exe,FALSE
,CpEngSvc.exe,FALSE
,CpSvcs.exe,FALSE
,CpSysMon.exe,FALSE
,Cpr.ServiceManager.exe,FALSE
,CrystReport.exe,FALSE
,Cs.exe,FALSE
,CsServices.exe,FALSE
,CsSysWatcher.exe,FALSE
,Ctc.ApplicationCentral.Import.Service.exe,FALSE
,Ctc.IMS.Server.Host.exe,FALSE
,Ctc.LicenseMonitoring.Client.Agent.exe,FALSE
,Ctc.Printing.Server.WindowsHost.exe,FALSE
,Ctc.TaskScheduler.WindowsHost.exe,FALSE
,CtxLSPortSvc.exe,FALSE
,CylanceSvc.exe,FALSE
,CylanceUI.exe,FALSE
,Cyramedx.License.Service.exe,FALSE
,DBConnService.exe,FALSE
,DBSRVR.exe,FALSE
,DBSRVR_A.exe,FALSE
,DBSRVR_B.exe,FALSE
,DBSRVR_C.exe,FALSE
,DBSRVR_D.exe,FALSE
,DBService.exe,FALSE
,DFD.exe,FALSE
,DICOMSCPService.exe,FALSE
,DICOMService.exe,FALSE
,DIINotifier.exe,FALSE
,DISTRIB.exe,FALSE
,DM3Config.exe,FALSE
,DMS.EXE,FALSE
,DOCMON.EXE,FALSE
,DSI.DataTransferAgent.Service.exe,FALSE
,DSI.PVECommon.PVProcInit.exe,FALSE
,DSI.PVECommon.PVProcWork.exe,FALSE
,DSI.PVECommon.WorkFlowServer.PVWorkFlowInit.exe,FALSE
,DSI.PVEServices.FTProcessor.exe,FALSE
,DSM_BMU_SOLProxy32.exe,FALSE
,DTExec.exe,FALSE
,DTFTSPS.EXE,FALSE
,DU.exe,FALSE
,DVShellService.exe,FALSE
,DW20.EXE,FALSE
,DWAuthenticationServer.exe,FALSE
,DWContentServer.exe,FALSE
,DWImagingService.exe,FALSE
,DWMonarch.exe,FALSE
,DWOCRService.exe,FALSE
,DWRCS.EXE,FALSE
,DWRCS.exe,FALSE
,DWRCST.EXE,FALSE
,DWRCST.exe,FALSE
,DWThumbnailService.exe,FALSE
,DWWebService.exe,FALSE
,DWWorkflowServer.exe,FALSE
,DWaySvc.exe,FALSE
,DataAnalyticsService.exe,FALSE
,DataCaptorIS.exe,FALSE
,DataCollectionService.exe,FALSE
,DataMonitor.exe,FALSE
,DataServiceHost.exe,FALSE
,Database-Maint.exe,FALSE
,Database.exe,FALSE
,DatabaseMail.exe,FALSE
,DatabaseManager.exe,FALSE
,Datawatch.LicenseServer.Service.LicenseService.exe,FALSE
,DbSql.exe,FALSE
,DbgSvc.exe,FALSE
,DcmImportD.exe,FALSE
,DcmStorageServer64.exe,FALSE
,Dcmwin.exe,FALSE
,DeComSrv.exe,FALSE
,DeDpSrv.exe,FALSE
,DeUpdateMonitor.exe,FALSE
,Delay.exe,FALSE
,DesktopFaxPrintService.exe,FALSE
,DeviceControlLog.exe,FALSE
,DeviceManager.exe,FALSE
,DgAwEncx.exe,FALSE
,DiagFwSvc.exe,FALSE
,Dialer.exe,FALSE
,DicomRoutingService.exe,FALSE
,DicomSender.exe,FALSE
,DicomServer.exe,FALSE
,DirSyncService.exe,FALSE
,DismHost.exe,FALSE
,Dispatch.exe,FALSE
,DistributedCacheService.exe,FALSE
,DistributionService.exe,FALSE
,DoseMonitor.Service.exe,FALSE
,DotNetGatewaySS.exe,FALSE
,DotNetGatewaySS64.exe,FALSE
,DpHostW.exe,FALSE
,DrAuditorSvc.exe,FALSE
,DsrImportD.exe,FALSE
,DstHost.exe,FALSE
,DstMgr.exe,FALSE
,Dsx_Key_Monitor.exe,FALSE
,DymoPnpService.exe,FALSE
,DynamicFootprint.exe,FALSE
,EAHost.exe,FALSE
,EDGESyncNode.exe,FALSE
,EDI834Console.exe,FALSE
,EDISolution.64.exe,FALSE
,EIC.EXE,FALSE
,EMCLM.exe,FALSE
,EMDRefreshService.exe,FALSE
,EOC.EXE,FALSE
,EPFaxCL.exe,FALSE
,EPSI.DataMining.Engine.Service.exe,FALSE
,EPSICAR.exe,FALSE
,EPSIPRDR.exe,FALSE
,EPSIRPTR.exe,FALSE
,EPSIRPTS.exe,FALSE
,EPSIReportRefreshService.exe,FALSE
,ESCAPEE.EXE,FALSE
,EVShellCSharp.exe,FALSE
,EXCEL.EXE,FALSE
,EdgeTransport.exe,FALSE
,EmailNotifier.exe,FALSE
,Emc.Captiva.WebCaptureService.exe,FALSE
,Emc.Captiva.WebToolkitHost.exe,FALSE
,EmcAdminSvr.exe,FALSE
,EmcPowMon.exe,FALSE
,EmcPowSrv.exe,FALSE
,EndoToolServer.HL7Inbound.Service.exe,FALSE
,EndoToolServer.Housekeeping.Service.exe,FALSE
,EngineStatsService.exe,FALSE
,Escalation.exe,FALSE
,EthuioService.exe,FALSE
,Evaluator.exe,FALSE
,EventAgent.Service.exe,FALSE
,EventServer.exe,FALSE
,EventService.exe,FALSE
,Eventlog.exe,FALSE
,Exodus.exe,FALSE
,Export.EXE,FALSE
,Express.Connect.9.Engine.Service.exe,FALSE
,Express.Connect.exe,FALSE
,ExternalTrigger.exe,FALSE
,FA.CDS.FileProvider.Service.exe,FALSE
,FAAS.exe,FALSE
,FAXS.EXE,FALSE
,FCDataMgr.exe,FALSE
,FCManager.exe,FALSE
,FFSchedulerService.exe,FALSE
,FNPLicensingService.exe,FALSE
,FNPLicensingService64.exe,FALSE
,FSController.exe,FALSE
,FSParser.exe,FALSE
,FTPServ.exe,FALSE
,FVC.EXE,FALSE
,FVServer.exe,FALSE
,FVServer_serv.exe,FALSE
,FWControlledSubstanceExportService.exe,FALSE
,FWEDICostUpdateService.exe,FALSE
,FWPurgeService.exe,FALSE
,Faxs.exe,FALSE
,FileSyncSvc.exe,FALSE
,FileZilla Server.exe,FALSE
,Filewalk.exe,FALSE
,FireDaemon.exe,FALSE
,FlashPlayerUpdateService.exe,FALSE
,FolderSizeSvc.exe,FALSE
,ForefrontActiveDirectoryConnector.exe,FALSE
,FormFastDesigner.exe,FALSE
,FormFastIPListener.exe,FALSE
,FormularyService.exe,FALSE
,Foxit Reader.exe,FALSE
,FoxitReaderUpdateService.exe,FALSE
,FrameworkLTC.exe,FALSE
,FreeSpace.exe,FALSE
,FrontServer.exe,FALSE
,FujiVolMonitor.exe,FALSE
,FwDrugUpdateClientService.exe,FALSE
,FwHL7.exe,FALSE
,FwIMedicareInterface.exe,FALSE
,FwInnovatixInterface.exe,FALSE
,FwNetRxInterface.exe,FALSE
,FwQMgr.exe,FALSE
,FwSureScriptsInterfaceService.exe,FALSE
,GEHealthcare.Integrad.PACS.Services.Host.exe,FALSE
,GEHealthcare.ZFP.WebSocketService.exe,FALSE
,GMS_WCCILpmon_M3273_Avera.exe,FALSE
,GMTClaimsGen.exe,FALSE
,GMTInterfaceService.exe,FALSE
,GMTNetJobService.exe,FALSE
,GMTPrintChartService.exe,FALSE
,GMTStatementServ.exe,FALSE
,GTService.exe,FALSE
,GatewayTunnelService.exe,FALSE
,GetNVMEDriveInfo.exe,FALSE
,GoogleCrashHandler.exe,FALSE
,GoogleCrashHandler64.exe,FALSE
,GoogleUpdate.exe,FALSE
,Graphics.exe,FALSE
,GravitixService.exe,FALSE
,Greenway.PortMapper.exe,FALSE
,Greenway.PrimeSuite.WindowsService.exe,FALSE
,GreenwayServiceHost.exe,FALSE
,HCAService.exe,FALSE
,HIC.EXE,FALSE
,HIISRouter.exe,FALSE
,HIISRouterBidir.exe,FALSE
,HL7Inbound.Service.exe,FALSE
,HL7Outbound.exe,FALSE
,HL7Service.exe,FALSE
,HL7TrackerService.exe,FALSE
,HL7Wrapper.exe,FALSE
,HNS.exe,FALSE
,HTPrtSrvr.exe,FALSE
,HUBService.exe,FALSE
,HW_VSP3s_srv.exe,FALSE
,HarvestServer.exe,FALSE
,HealthService.exe,FALSE
,Healthland Cloud Services.exe,FALSE
,HealthlandStatisticRetrievalService.exe,FALSE
,HealthlandStatisticsClientService.exe,FALSE
,HgConnector.exe,FALSE
,Historian.exe,FALSE
,Hl7.exe,FALSE
,Hl7Service.exe,FALSE
,Hl7if.exe,FALSE
,HmpElementsServer.exe,FALSE
,HomeOffice.exe,FALSE
,HostManagerService.exe,FALSE
,HpAmsStor.exe,FALSE
,Hyland.Diagnostics.NTService.exe,FALSE
,Hyland.MailboxImporter.exe,FALSE
,IAStorDataMgrSvc.exe,FALSE
,IBuEngHost.exe,FALSE
,ICPMGR.exe,FALSE
,ICPMgr.exe,FALSE
,IDLoader.exe,FALSE
,IDentiServ.exe,FALSE
,IDenticard.Scheduling.WindowsService.exe,FALSE
,IERS.exe,FALSE
,IEX.exe,FALSE
,IFaxdTrx.exe,FALSE
,IMATest.exe,FALSE
,IMOLicenseSyncService.exe,FALSE
,IMOUpdateManagerService.exe,FALSE
,IMOVocabSearchService.exe,FALSE
,INETDSRV64.exe,FALSE
,INTEL.exe,FALSE
,IOS.exe,FALSE
,IPDataListenerService.exe,FALSE
,IPICleansingService.exe,FALSE
,IPMedia.exe,FALSE
,IPScriptDirector.exe,FALSE
,IPScript[Avera6.1Merge].exe,FALSE
,IPeople.Direct.Caretaker.exe,FALSE
,IPeople.Direct.JMAN.Service.exe,FALSE
,IPeopleAdministrator.exe,FALSE
,IPeopleMonitorBridge.exe,FALSE
,IPeopleMonitorProcess.exe,FALSE
,IQService.exe,FALSE
,IReportingService.exe,FALSE
,ISBEW64.exe,FALSE
,ISCAgent.exe,FALSE
,ISServerExec.exe,FALSE
,ISUSPM.exe,FALSE
,ISYScrawlerAgent.exe,FALSE
,ISYSweb.exe,FALSE
,IStatInterface.exe,FALSE
,IWPopup.exe,FALSE
,IWServiceManager.exe,FALSE
,ImageTray.exe,FALSE
,Impac.Mosaiq.Dicom.IViewGTIsocWorkflow.Host.exe,FALSE
,Impac.Mosaiq.Dicom.RTDoseWorkflow.Host.exe,FALSE
,Impac.Mosaiq.Dicom.RTPlanWorkflow.Host.exe,FALSE
,Impac.Mosaiq.Dicom.RTSSWorkflow.Host.exe,FALSE
,Impac.Mosaiq.Dicom.RegenerateAVSWorkflow.Host.exe,FALSE
,Impac.Mosaiq.Dicom.SROAndRPSWorkflow.Host.exe,FALSE
,Impac.Mosaiq.Dicom.Services.WQEService.WQEProcessorService.exe,FALSE
,Impac.Mosaiq.Dicom.VolumeWorkflow.Host.exe,FALSE
,Impac.Mosaiq.Imaging.IMFSupport.Host.exe,FALSE
,Import.exe,FALSE
,ImportApp.exe,FALSE
,ImportService.exe,FALSE
,ImsiCom.exe,FALSE
,ImtBridge.exe,FALSE
,InboundDispatcher.exe,FALSE
,Inbound_Service.exe,FALSE
,Infosrv.exe,FALSE
,InsightDBCSServer.exe,FALSE
,InsightDelayedStartupService.exe,FALSE
,InsightRENOServer.EXE,FALSE
,IntFax.exe,FALSE
,IntegradAdminServer.exe,FALSE
,IntegradManagementServer.exe,FALSE
,IntegradServiceManager.exe,FALSE
,Integration.Service.exe,FALSE
,IntegrationServicesHost.exe,FALSE
,IntegrationWindowsService.exe,FALSE
,Intuit.Spc.Map.EntitlementClient.Server.Service.exe,FALSE
,IntuitDataProtect.exe,FALSE
,IntuitUpdateService.exe,FALSE
,InventoryManager.exe,FALSE
,InventoryService.exe,FALSE
,IpOverUsbSvc.exe,FALSE
,IsmLogService.exe,FALSE
,Ism_lss_service.exe,FALSE
,ItemManagementService.exe,FALSE
,ItemRestockService.exe,FALSE
,JBossService.exe,FALSE
,JavaService.exe,FALSE
,JavaServiceWrapper.exe,FALSE
,Jci.Metasys.Fault.Service.exe,FALSE
,Jci.Metasys.Value.Agent.Service.exe,FALSE
,Jci.Metasys.Value.DataCollector.Service.exe,FALSE
,JetService.exe,FALSE
,JitterbitApache.exe,FALSE
,JitterbitCleanupService.exe,FALSE
,JitterbitFileCleanup.exe,FALSE
,JitterbitOperationEngineProc.exe,FALSE
,JitterbitProcessEngine.exe,FALSE
,JitterbitProcessEngineService.exe,FALSE
,JitterbitScheduler.exe,FALSE
,JitterbitSchedulerService.exe,FALSE
,JitterbitTomcat.exe,FALSE
,Job.exe,FALSE
,JobSERVER.exe,FALSE
,JobServer.exe,FALSE
,Kaseya.AgentEndpoint.exe,FALSE
,KaseyaEndpoint.exe,FALSE
,KdsMntSvc.exe,FALSE
,LITE.exe,FALSE
,LKTransferService.exe,FALSE
,LMAgent.exe,FALSE
,LMD.exe,FALSE
,LMDP.exe,FALSE
,LMS.exe,FALSE
,LPS.exe,FALSE
,LSA.exe,FALSE
,LSAService.exe,FALSE
,LTSVC.exe,FALSE
,LTSvcMon.exe,FALSE
,LV_Super.exe,FALSE
,LWUtil.exe,FALSE
,LabOptimize.exe,FALSE
,LastKnownLocationDriver.exe,FALSE
,LaunchDynaCADWindowService.exe,FALSE
,Launchpad.exe,FALSE
,LdapSync.exe,FALSE
,Liaison.exe,FALSE
,Library.exe,FALSE
,LicenseProxy.exe,FALSE
,LicenseServer.exe,FALSE
,LicenseServer64.exe,FALSE
,LicenseService.exe,FALSE
,LicensingService.exe,FALSE
,ListenerService.exe,FALSE
