cui_system_splunk_id,function,is_primary,port,process,service,transport
default_system,splunk,false,,splunkd,,
default_system,Authentication,true,,slapd,,
default_system,Authentication,true,,,slapd,
default_system,Authentication,true,389,,,*
default_system,Authentication,true,636,,,*
default_system,Database,true,,mysqld,,
default_system,Database,true,,,mysqld,
default_system,Database,true,3306,,,*
default_system,Domain Name Service (DNS),true,,named,,
default_system,Domain Name Service (DNS),true,,,named,
default_system,Domain Name Service (DNS),true,53,,,*
default_system,Mail,true,,sendmail,,
default_system,Mail,true,,,sendmail,
default_system,Mail,true,25,,,*
default_system,Proxy,true,,squid,,
default_system,Proxy,true,,,squid,
default_system,Proxy,true,3128,,,*
default_system,Network Time Protocol (NTP),true,,ntpd,,
default_system,Network Time Protocol (NTP),true,,,ntpd,
default_system,Network Time Protocol (NTP),true,123,,,*
default_system,Web,true,,httpd,,
default_system,Web,true,,,httpd,
default_system,Web,true,80,,,tcp
default_system,Web,true,443,,,tcp
