cui_system_splunk_id,app,dest,dest_pci_domain,dest_port,is_prohibited,is_required,is_secure,note,transport,is_essential
default_system,echo,*,*,7,true,false,false,TCP/UDP small services should be disabled since they are inherently insecure,tcp,false
default_system,echo,*,*,7,true,false,false,TCP/UDP small services should be disabled since they are inherently insecure,udp,false
default_system,discard,*,*,9,true,false,false,TCP/UDP small services should be disabled since they are inherently insecure,tcp,false
default_system,discard,*,*,9,true,false,false,TCP/UDP small services should be disabled since they are inherently insecure,udp,false
default_system,daytime,*,*,13,true,false,false,TCP/UDP small services should be disabled since they are inherently insecure,tcp,false
default_system,daytime,*,*,13,true,false,false,TCP/UDP small services should be disabled since they are inherently insecure,udp,false
default_system,chargen,*,*,19,true,false,false,TCP/UDP small services should be disabled since they are inherently insecure,tcp,false
default_system,chargen,*,*,19,true,false,false,TCP/UDP small services should be disabled since they are inherently insecure,udp,false
default_system,ftp-data,*,*,20,true,false,false,Unencrypted FTP services are insecure.,tcp,false
default_system,ftp-data,*,*,20,true,false,false,Unencrypted FTP services are insecure.,udp,false
default_system,ftp,*,*,21,true,false,false,Unencrypted FTP services are insecure.,tcp,false
default_system,ftp,*,*,21,true,false,false,Unencrypted FTP services are insecure.,udp,false
default_system,ssh,*,*,22,false,false,true,Secure shell is permitted AND secure.,tcp,true
default_system,ssh,*,*,22,false,false,true,Secure shell is permitted AND secure.,udp,false
default_system,telnet,*,*,23,true,false,false,Unencrypted telnet services are insecure.,tcp,false
default_system,telnet,*,*,23,true,false,false,Unencrypted telnet services are insecure.,udp,false
default_system,http,*,*,80,false,false,false,HTTP is considered insecure.,tcp,false
default_system,pop3,*,*,110,true,false,false,Post office protocol is considered insecure.,tcp,false
default_system,pop3,*,*,110,true,false,false,Post office protocol is considered insecure.,udp,false
default_system,netbios-ns,*,*,137,true,false,false,NetBIOS name service is considered insecure.,tcp,false
default_system,netbios-ns,*,*,137,true,false,false,NetBIOS name service is considered insecure.,udp,false
default_system,netbios-dgm,*,*,138,true,false,false,NetBIOS datagram service is considered insecure.,tcp,false
default_system,netbios-dgm,*,*,138,true,false,false,NetBIOS datagram service is considered insecure.,udp,false
default_system,netbios-ssn,*,*,139,true,false,false,NetBIOS session service is considered insecure.,tcp,false
default_system,netbios-ssn,*,*,139,true,false,false,NetBIOS session service is considered insecure.,udp,false
default_system,https,*,*,443,false,false,true,HTTPS service is permitted AND secure.,tcp,true
default_system,isakmp,*,*,500,false,false,true,ISAKMP service is permitted AND secure.,tcp,false
default_system,isakmp,*,*,500,false,false,true,ISAKMP service is permitted AND secure.,udp,false
default_system,login,*,*,513,true,false,false,Remote login (rlogin) is considered insecure.,tcp,false
default_system,shell,*,*,514,true,false,false,Remote shell (rsh) is considered insecure.,tcp,false
default_system,syslog,*,*,514,false,false,false,Syslog service is permitted but NOT secure.,udp,false
default_system,oracle,*,*,1521,false,false,true,Oracle database default listener,tcp,false
default_system,ms-sql-s,*,*,1433,false,false,true,Microsoft SQL server default listener,tcp,false
default_system,ms-sql-s,*,*,1433,false,false,true,Microsoft SQL server default listener,udp,false
default_system,l2tp,*,*,1701,false,false,true,Layer 2 tunneling protocol,tcp,false
default_system,l2tp,*,*,1701,false,false,true,Layer 2 tunneling protocol,udp,false
default_system,pptp,*,*,1723,false,false,true,Point to point tunneling protocol,tcp,false
default_system,ms-wbt-server,*,*,3389,false,false,true,Microsoft Windows-based terminal server,tcp,false
default_system,ms-wbt-server,*,*,3389,false,false,true,Microsoft Windows-based terminal server,udp,false
default_system,ipsec-nat-t,*,*,4500,false,false,true,IPsec NAT-Traversal,tcp,false
default_system,ipsec-nat-t,*,*,4500,false,false,true,IPsec NAT-Traversal,udp,false
