cui_system_splunk_id,control,assessment_objective,odp_name,odp_value,odp_macro_name,odp_description,odp_display_label_help,odp_display_name,odp_unit,odp_data_type,odp_lookup_link,odp_default_value,odp_min_value,odp_max_value
default_system,AC.L1-3.1.1,c,assets_by_str,sp6_assets_by_str,,List of all known devices operating within the systems,,Authorized Assets,lookup,lookup,/en-US/app/SP6_CMMC/lookup_edit?owner=nobody&namespace=SP6_CMMC&lookup=sp6_assets_by_str&type=kv,sp6_assets_by_str,,
default_system,AC.L1-3.1.1,a,authorized_users,sp6_identities,,List of all known user identities authorized to operate within the system,,Authorized Users,lookup,lookup,/en-US/app/SP6_CMMC/lookup_edit?owner=nobody&namespace=SP6_CMMC&lookup=sp6_identities&type=kv,sp6_identities,,
default_system,IA.L2-3.5.6,a,user_inactivity_period,30,sp6_user_inactivity_period,"IA.L2-3.5.6[a] - a period of inactivity after which an identifier is disabled is defined
Inactivity period is: (In days)",,Inactivity Period,days,number,,30,7,365
default_system,AC.L1-3.1.1,b,interesting_processes,sp6_interesting_processes,,List of known system processes (applications) and key details,,Interesting Processes,lookup,lookup,/en-US/app/SP6_CMMC/lookup_edit?owner=nobody&namespace=SP6_CMMC&lookup=ascera_interesting_processes.csv&type=csv,sp6_interesting_processes,,
default_system,CM.L2-3.4.7,a,essential_programs,sp6_interesting_processes,,List of known system processes (applications) and key details,,Interesting Processes,lookup,lookup,/en-US/app/SP6_CMMC/lookup_edit?owner=nobody&namespace=SP6_CMMC&lookup=ascera_interesting_processes.csv&type=csv,sp6_interesting_processes,,
default_system,AC.L2-3.1.7,a,privileged_functions,sp6_identities,,List of all known user identities authorized to operate within the system,,Privileged Functions,lookup,lookup,/en-US/app/SP6_CMMC/lookup_edit?owner=nobody&namespace=SP6_CMMC&lookup=sp6_identities&type=kv,sp6_identities,,
default_system,AC.L2-3.1.14,a,remote_access,sp6_remote_access_lookup,,List of designated remote access systems and/or networks and key details,,Remote Access,lookup,lookup,/en-US/app/SP6_CMMC/lookup_edit?owner=nobody&namespace=SP6_CMMC&lookup=ascera_remote_access_lookup.csv&type=csv,sp6_remote_access_lookup,,
default_system,AU.L2-3.3.1,e,log_retention_period,180,sp6_log_retention_period,"AU.L2-3.3.1[e] - audit records are retained as defined
Retain logs for: (In days)",,Retention Period,days,number,,180,30,390
default_system,SC.L2-3.13.9,b,session_duration_maximum,24,sp6_user_duration_maximum,"SC.L2-3.13.9[b] - network connections associated with communications sessions are terminated at the end of the sessions.
Session duration maximum is: (In hours)",,Session Duration Maximum,hours,number,,24,24,720
default_system,AC.L1-3.1.20,a,system_interconnections_a,ascera_authorized_external_sites,,List of approved external file-sharing sites,,System Interconnections,lookup,lookup,/en-US/app/SP6_CMMC/lookup_edit?owner=nobody&namespace=SP6_CMMC&lookup=ascera_authorized_external_sites.csv&type=csv,ascera_authorized_external_sites,,
default_system,AC.L1-3.1.20,b,system_interconnections_b,ascera_authorized_external_sites,,List of approved external file-sharing sites,,System Interconnections,lookup,lookup,/en-US/app/SP6_CMMC/lookup_edit?owner=nobody&namespace=SP6_CMMC&lookup=ascera_authorized_external_sites.csv&type=csv,ascera_authorized_external_sites,,
default_system,AC.L1-3.1.20,c,system_interconnections_c,ascera_authorized_external_sites,,List of approved external file-sharing sites,,System Interconnections,lookup,lookup,/en-US/app/SP6_CMMC/lookup_edit?owner=nobody&namespace=SP6_CMMC&lookup=ascera_authorized_external_sites.csv&type=csv,ascera_authorized_external_sites,,
default_system,AC.L1-3.1.20,d,system_interconnections_d,ascera_authorized_external_sites,,List of approved external file-sharing sites,,System Interconnections,lookup,lookup,/en-US/app/SP6_CMMC/lookup_edit?owner=nobody&namespace=SP6_CMMC&lookup=ascera_authorized_external_sites.csv&type=csv,ascera_authorized_external_sites,,
default_system,RA.L2-3.11.2,b,vulnerability_scanning_period,30,sp6_vulnerability_scanning_period,"RA.L2-3.11.2[b] - vulnerability scans are performed on organizational systems with the defined frequency
Minimum vulnerability scanning period is: (In days)",,Vulnerability Scanning Period,days,number,,30,1,90
default_system,SI.L1-3.14.1,a,system_flaws_id_period,30,sp6_system_flaws_id_period,SI.L1-3.14.1[a] - the time within which to identify system flaws is specified,,System Flaws ID Period,days,number,,30,1,90
default_system,SI.L1-3.14.1,e,system_flaw_correction_period_critical,7,sp6_system_flaw_correction_period_critical,SI.L1-3.14.1[e] - the time within which to correct system flaws is specified - Critical/Zero Day Severity (In Days),Critical - ,System Flaw Correction Period (Critical/Zero Day),days,number,,7,1,7
default_system,SI.L1-3.14.1,e,system_flaw_correction_period_high,15,sp6_system_flaw_correction_period_high,SI.L1-3.14.1[e] - the time within which to correct system flaws is specified - High Severity (In Days),High - ,System Flaw Correction Period (High),days,number,,15,1,15
default_system,SI.L1-3.14.1,e,system_flaw_correction_period_medium,90,sp6_system_flaw_correction_period_medium,SI.L1-3.14.1[e] - the time within which to correct system flaws is specified - Medium Severity (In Days),Medium - ,System Flaw Correction Period (Medium),days,number,,90,1,90
default_system,SI.L1-3.14.1,e,system_flaw_correction_period_low,180,sp6_system_flaw_correction_period_low,SI.L1-3.14.1[e] - the time within which to correct system flaws is specified - Low Severity (In Days),Low - ,System Flaw Correction Period (Low),days,number,,180,1,180
default_system,AC.L2-3.1.8,a,invalid_login_attempts,3,sp6_invalid_login_attempts,AC.L2-3.1.8[a] - the means of limiting unsuccessful logon attempts is defined - Number of Invalid Login Attempts,Attempts -,Invalid Login Attempts,,number,,3,1,50
default_system,AC.L2-3.1.8,a,invalid_login_attempts_time_threshold,30,sp6_invalid_login_attempts_time_threshold,AC.L2-3.1.8[a] - the means of limiting unsuccessful logon attempts is defined - Time Threshold (In Minutes),Threshold -,Invalid Login Attempts Time Threshold,minutes,number,,30,5,480
