"control","param"
"none",""
"hideSplunkBar","hideSplunkBar=true"
"hideAppBar","hideAppBar=true"
"hideFooter","hideFooter=true"
"hideChrome","hideChrome=true"
"hideTitle","hideTitle=true"
"hideEdit","hideEdit=true"
