"data_source","indicator_category","indicator_id","indicator_name","indicator_type","last_default_updated"
"Citrix Content Collaboration","Data exfiltration",0,"Excessive file downloads",builtin,1614084208
"Citrix Content Collaboration","Compromised users",10,"Unusual authentication failure",builtin,1614084208
"Citrix Gateway","Compromised users",100,"EPA scan failure",builtin,1614084208
"Microsoft Graph Security","Compromised users",1000,"MS Active Directory Indicator",builtin,1614084208
"Citrix Gateway","Compromised users",101,"Excessive authentication failures",builtin,1614084208
"Citrix Gateway","Compromised users",102,"Logon from suspicious IP",builtin,1614084208
"Citrix Gateway","Compromised users",104,"Access from an unusual location",builtin,1614084208
"Citrix Gateway","Compromised users",107,"First time access from new IP",builtin,1614084208
"Citrix Gateway","Compromised users",109,"Unusual authentication failure",builtin,1614084208
"Citrix Endpoint Management","Compromised endpoints",200,"Jailbroken / Rooted Device Detected",builtin,1614084208
"Citrix Endpoint Management","Compromised endpoints",201,"Device with Blacklisted Apps Detected",builtin,1614084208
"Citrix Endpoint Management","Compromised endpoints",203,"Unmanaged Device Detected",builtin,1614084208
"Citrix Content Collaboration","Data exfiltration",3,"Excessive access to sensitive files (DLP alert)",builtin,1614084208
"Citrix Virtual Apps and Desktops","Data exfiltration",303,"Potential data exfiltration",builtin,1614084208
"Citrix Virtual Apps and Desktops","Compromised users",310,"First time access from new device",builtin,1614084208
"Citrix Virtual Apps and Desktops","Compromised users",311,"Access from an unusual location",builtin,1614084208
"Citrix Content Collaboration","Insider threats",4,"Excessive file uploads",builtin,1614084208
"Citrix Access Control","Insider threats",400,"Risky website access",builtin,1614084208
"Citrix Access Control","Insider threats",401,"Attempt to access blacklisted URL",builtin,1614084208
"Citrix Access Control","Insider threats",402,"Unusual upload volume",builtin,1614084208
"Citrix Access Control","Insider threats",403,"Excessive data download",builtin,1614084208
"Citrix Content Collaboration","Data exfiltration",50,"Anonymous sensitive share download",builtin,1614084208
"Citrix Content Collaboration","Data exfiltration",51,"Excessive downloads",builtin,1614084208
"Citrix Content Collaboration","Data exfiltration",6,"Excessive file sharing",builtin,1614084208
"Citrix Content Collaboration","Compromised users",7,"Access from an unusual location",builtin,1614084208
"Citrix Content Collaboration","Compromised users",8,"Ransomware activity suspected (files replaced)",builtin,1614084208
"Citrix Content Collaboration","Compromised users",9,"Ransomware activity suspected (files updated)",builtin,1614084208
"Citrix Content Collaboration","Insider threats",5,"Excessive file / folder deletion",builtin,1614084208
