sourcetype,vendor,product,ids_type
fortios5,Fortinet,IPS,network
fortios5_virus,Fortinet,IPS,network
fortios5_ips,Fortinet,IPS,network
fortios5_app-ctrl,Fortinet,IPS,network
fortios5_traffic,Fortinet,IPS,network
fortios5_webfilter,Fortinet,IPS,network
fortios5_event_dhcp,Fortinet,IPS,network
fortios5_event_pattern,Fortinet,IPS,network
fortios5_event_his_performance,Fortinet,IPS,network
fortios5_event_ipsec,Fortinet,IPS,network
fortios5_event_auth_captive_portal,Fortinet,IPS,network
fortios5_sslvpn,Fortinet,IPS,network
