WAS_SUMMARY: webapp_id="2421076", status_ACTIVE="0", type_SENSITIVE_CONTENT="0", severity_5="6", severity_4="0", status_REOPENED="0", severity_1="14", severity_3="3", severity_2="6", type_INFORMATION_GATHERED="0", type_VULNERABILITY="29", status_NEW="29"
WAS_FINDING: webapp_id="2421076", name="APIsachin_test_2", url="http://funkytown.vuln.qa.qualys.com", finding_id="1354673", qid="150004", name="Path-Based Vulnerability", type="VULNERABILITY", severity="2", url="http://funkytown.vuln.qa.qualys.com/cassium/login/2/CVS/Entries", status="NEW", lastDetectedDate="2015-12-10T05:20:29Z", lastTestedDate="2015-12-10T05:20:29Z"
WAS_FINDING: webapp_id="2421076", name="APIsachin_test_2", url="http://funkytown.vuln.qa.qualys.com", finding_id="1354672", qid="150081", name="Clickjacking - X-Frame-Options header is not set", type="VULNERABILITY", severity="1", url="http://funkytown.vuln.qa.qualys.com/cassium/", status="NEW", lastDetectedDate="2015-12-10T05:20:29Z", lastTestedDate="2015-12-10T05:20:29Z"
WAS_FINDING: webapp_id="2421076", name="APIsachin_test_2", url="http://funkytown.vuln.qa.qualys.com", finding_id="1354671", qid="150081", name="Clickjacking - X-Frame-Options header is not set", type="VULNERABILITY", severity="1", url="http://funkytown.vuln.qa.qualys.com/cassium/randomLink/", status="NEW", lastDetectedDate="2015-12-10T05:20:29Z", lastTestedDate="2015-12-10T05:20:29Z"
WAS_FINDING: webapp_id="2421076", name="APIsachin_test_2", url="http://funkytown.vuln.qa.qualys.com", finding_id="1354670", qid="150001", name="Reflected Cross-Site Scripting (XSS) Vulnerabilities", type="VULNERABILITY", severity="5", url="http://funkytown.vuln.qa.qualys.com/cassium/sql/0/0/sql.php?id=1", status="NEW", lastDetectedDate="2015-12-10T05:20:29Z", lastTestedDate="2015-12-10T05:20:29Z"
WAS_FINDING: webapp_id="2421076", name="APIsachin_test_2", url="http://funkytown.vuln.qa.qualys.com", finding_id="1354669", qid="150084", name="Unencoded characters ", type="VULNERABILITY", severity="1", url="http://funkytown.vuln.qa.qualys.com/cassium/sql/0/0/sql.php?id=1", status="NEW", lastDetectedDate="2015-12-10T05:20:29Z", lastTestedDate="2015-12-10T05:20:29Z"
WAS_FINDING: webapp_id="2421076", name="APIsachin_test_2", url="http://funkytown.vuln.qa.qualys.com", finding_id="1354668", qid="150081", name="Clickjacking - X-Frame-Options header is not set", type="VULNERABILITY", severity="1", url="http://funkytown.vuln.qa.qualys.com/cassium/forms/", status="NEW", lastDetectedDate="2015-12-10T05:20:29Z", lastTestedDate="2015-12-10T05:20:29Z"
WAS_FINDING: webapp_id="2421076", name="APIsachin_test_2", url="http://funkytown.vuln.qa.qualys.com", finding_id="1354667", qid="150023", name="Directory Listing", type="VULNERABILITY", severity="2", url="http://funkytown.vuln.qa.qualys.com/cassium/xml/", status="NEW", lastDetectedDate="2015-12-10T05:20:29Z", lastTestedDate="2015-12-10T05:20:29Z"
WAS_FINDING: webapp_id="2421076", name="APIsachin_test_2", url="http://funkytown.vuln.qa.qualys.com", finding_id="1354666", qid="150023", name="Directory Listing", type="VULNERABILITY", severity="2", url="http://funkytown.vuln.qa.qualys.com/cassium/xml/CVS/", status="NEW", lastDetectedDate="2015-12-10T05:20:29Z", lastTestedDate="2015-12-10T05:20:29Z"
WAS_FINDING: webapp_id="2421076", name="APIsachin_test_2", url="http://funkytown.vuln.qa.qualys.com", finding_id="1354665", qid="150004", name="Path-Based Vulnerability", type="VULNERABILITY", severity="2", url="http://funkytown.vuln.qa.qualys.com/cassium/login/1/CVS/Entries", status="NEW", lastDetectedDate="2015-12-10T05:20:29Z", lastTestedDate="2015-12-10T05:20:29Z"
WAS_FINDING: webapp_id="2421076", name="APIsachin_test_2", url="http://funkytown.vuln.qa.qualys.com", finding_id="1354664", qid="150081", name="Clickjacking - X-Frame-Options header is not set", type="VULNERABILITY", severity="1", url="http://funkytown.vuln.qa.qualys.com/cassium/login/2/login2.php", status="NEW", lastDetectedDate="2015-12-10T05:20:29Z", lastTestedDate="2015-12-10T05:20:29Z"
