process_name
arp.exe
at.exe
certutil.exe
cmd.exe
dsquery.exe
ftp.exe
telnet.exe
ssh.exe
ipconfig.exe
nbtstat.exe
net.exe
netsh.exe
netstat.exe
nslookup.exe
ping.exe
powershell.exe
PsExec.exe
reg.exe
reg32.exe
regsrv32.exe
route.exe
schtasks.exe
systeminfo.exe
tasklist.exe
tscon.exe
whoami.exe
wscript.exe
nc.exe
ncat.exe
sdelete.exe
wevtutil.exe
xcopy.exe
