signature
"FTP Authentication success."
"FTP session opened."
"File added to the system."
"File deleted. Unable to retrieve checksum."
"Host information added."
"Host information changed."
"Integrity checksum changed again (2nd time)."
"Integrity checksum changed again (3rd time)."
"Integrity checksum changed."
"Integrity checksum for agentless device changed."
"Log file rotated."
"Log file size reduced."
"Login session closed."
"Login session opened."
"Microsoft Event log cleared."
"Multiple Windows audit failure events."
"Registry Entry Added to the System"
"Registry Integrity Checksum Changed"
"Registry Integrity Checksum Changed Again (2nd time)"
"Registry Integrity Checksum Changed Again (3rd time)"
"SSH insecure connection attempt (scan)."
"SSHD authentication failed."
"SSHD authentication success."
"Successful connected to remote host"
"User login failed."
"User successfully changed UID to root."
"User successfully changed UID."
"Windows Logon Failure."
"Windows Logon Success."
"Windows User Logoff."
"Windows audit failure event."
"Windows error event."
