known_exe_name,known_parent_process,known_image_path,known_user_account,known_instances
system.exe,-,C:\Windows\System32\system.exe,"Local System",1
smss.exe,C:\Windows\System32\system.exe,C:\Windows\System32\smss.exe,"Local System",
wininit.exe,C:\Windows\System32\smss.exe,C:\Windows\System32\wininit.exe,"Local System",1
RuntimeBroker.exe,C:\Windows\System32\svchost.exe,C:\Windows\System32\RuntimeBroker.exe,,,
csrss.exe,C:\Windows\System32\smss.exe,C:\Windows\System32\csrss.exe,"Local System",,
services.exe,C:\Windows\System32\wininit.exe,C:\Windows\System32\services.exe,"Local System",1
svchost.exe,C:\Windows\System32\services.exe,C:\Windows\System32\svchost.exe,,,
lsaiso.exe,C:\Windows\System32\wininit.exe,C:\Windows\System32\lsaiso.exe,"Local System",<=1
taskhostw.exe,C:\Windows\System32\svchost.exe,C:\Windows\System32\taskhostw.exe,,>1
winlogon.exe,C:\Windows\System32\smss.exe,C:\Windows\System32\winlogon.exe,"Local System",>1
lsass.exe,C:\Windows\System32\wininit.exe,C:\Windows\System32\lsass.exe,"Local System",1
explorer.exe,C:\Windows\System32\userinit.exe,C:\Windows\explorer.exe,,,

