ID,Event Name,Type,Event Group,Severity,Default Severity
115,Tape Erase Job Started,Veeam Backup & Replication,Security,high,high
150,Backup Task Finished,Veeam Backup & Replication,Monitoring,none,none
151,File Backup Job Finished,Veeam Backup & Replication,Monitoring,none,none
190,Backup Job Finished,Veeam Backup & Replication,Monitoring,none,none
194,File To Tape Job Finished,Veeam Backup & Replication,Monitoring,none,none
198,Tape Verification Job,Veeam Backup & Replication,Monitoring,none,none
200,Tape Copy Job,Veeam Backup & Replication,Monitoring,disabled,none
251,Restore Task for Hyper-V VM FInished,Veeam Backup & Replication,Monitoring,none,none
290,Restore Session Finished,Veeam Backup & Replication,Monitoring,none,none
314,VM with no backup,Veeam ONE,Security,critical,critical
315,VM with no backup (Hyper-V),Veeam ONE,Security,critical,critical
331,VM with no replica,Veeam ONE,Security,medium,medium
332,VM with no replica (Hyper-V),Veeam ONE,Security,critical,critical
342,Possible ransomware activity (vSphere),Veeam ONE,Security,critical,critical
344,Possible ransomware activity (Hyper-V),Veeam ONE,Security,critical,critical
364,Suspicious incremental backup size,Veeam ONE,Security,critical,critical
365,Backup Copy RPO,Veeam ONE,Security,critical,critical
369,Unusual job duration,Veeam ONE,Security,medium,medium
370,Computer with no backup,Veeam ONE,Security,critical,critical
376,Immutability state,Veeam ONE,Security,medium,medium
377,Immutability change tracking,Veeam ONE,Security,critical,critical
378,Job disabled (Veeam Backup for Microsoft 365),Veeam ONE,Security,medium,medium
381,Unusual job duration (Veeam Backup for Microsoft 365),Veeam ONE,Security,medium,medium
390,SureBackup Job Finished,Veeam Backup & Replication,Monitoring,none,none
391,Application with no recent data backup sessions,Veeam ONE,Security,medium,medium
395,Backup server security & compliance state,Veeam ONE,Security,critical,critical
403,Veeam malware detection change tracking,Veeam ONE,Security,critical,critical
450,Backup Copy Task Finished,Veeam Backup & Replication,Monitoring,none,none
451,File Backup Copy Job Finished,Veeam Backup & Replication,Monitoring,none,none
490,Backup Copy Job Finished,Veeam Backup & Replication,Monitoring,none,none
590,File Copy Job Finished,Veeam Backup & Replication,Monitoring,none,none
592,VM Copy Job Finished,Veeam Backup & Replication,Monitoring,none,none
610,Quick Migration Finished,Veeam Backup & Replication,Monitoring,none,none
790,Agent Backup Job Finished,Veeam Backup & Replication,Monitoring,none,none
652,Active Full Backup for Backup Policy Finished,Veeam Backup & Replication,Monitoring,none,none
790,Agent Backup Job Finished,Veeam Backup & Replication,Monitoring,none,none
21224,Connection to Backup Repository Lost,Veeam Backup & Replication,Security,critical,critical
23090,Job Deleted,Veeam Backup & Replication,Security,critical,critical
23420,Job No Longer Used as Second Destination,Veeam Backup & Replication,Security,high,high
23630,Tape Media Pool Deleted,Veeam Backup & Replication,Security,information,information
23631,Tape Media Vault Deleted,Veeam Backup & Replication,Security,information,information
23632,Tape medium Deleted,Veeam Backup & Replication,Security,high,high
23633,Tape Library Deleted,Veeam Backup & Replication,Security,information,information
24020,License Key Expiring,Veeam Backup & Replication,Security,information,information
24030,License Key Expired,Veeam Backup & Replication,Security,high,high
24040,License Support Expiring,Veeam Backup & Replication,Security,medium,medium
24050,License Support Expired,Veeam Backup & Replication,Security,high,high
24060,License Grace Period Started,Veeam Backup & Replication,Security,medium,medium
24070,License Limit Exceeded,Veeam Backup & Replication,Security,medium,medium
24080,License Key Removed,Veeam Backup & Replication,Security,high,high
24114,Tenant Password Changed,Veeam Backup & Replication,Security,medium,medium
24131,Cloud Gateway Settings Updated,Veeam Backup & Replication,Security,information,information
24140,Cloud Gateway Deleted,Veeam Backup & Replication,Security,information,information
24142,Cloud Gateway Pool Settings Updated,Veeam Backup & Replication,Security,information,information
24143,Cloud Gateway Pool Deleted,Veeam Backup & Replication,Security,information,information
24160,Tenant Quota Changed,Veeam Backup & Replication,Security,information,information
24170,Tenant Quota Deleted,Veeam Backup & Replication,Security,information,information
25000,Tenant State Changed,Veeam Backup & Replication,Security,information,information
25210,Subtenant Deleted,Veeam Backup & Replication,Security,high,high
25220,Subtenant Updated,Veeam Backup & Replication,Security,information,information
25400,Credential Record Updated,Veeam Backup & Replication,Security,high,high
25500,Credential Record Deleted,Veeam Backup & Replication,Security,critical,critical
25700,Hypervisor Host Deleted,Veeam Backup & Replication,Security,information,information
25800,Hypervisor Host Settings Updated,Veeam Backup & Replication,Security,information,information
26000,Failover Plan Settings Updated,Veeam Backup & Replication,Security,information,information
26100,Failover Plan Deleted,Veeam Backup & Replication,Security,medium,medium
26110,Failover Plan Failed,Veeam Backup & Replication,Security,medium,medium
26600,Failover Plan Started,Veeam Backup & Replication,Security,high,high
26700,Failover Plan Stopped,Veeam Backup & Replication,Security,medium,medium
26800,Tenant Replica Started,Veeam Backup & Replication,Security,information,information
26900,Tenant Replica Stopped,Veeam Backup & Replication,Security,high,high
27000,Cloud Replica Permanent Failover Performed by Tenant,Veeam Backup & Replication,Security,high,high
27200,WAN Accelerator Settings Updated,Veeam Backup & Replication,Security,information,information
27300,WAN Accelerator Deleted,Veeam Backup & Replication,Security,information,information
27500,Service Provider Updated,Veeam Backup & Replication,Security,information,information
27600,Service Provider Deleted,Veeam Backup & Replication,Security,information,information
27900,Backup Proxy Deleted,Veeam Backup & Replication,Security,information,information
28100,Backup Repository Settings Updated,Veeam Backup & Replication,Security,medium,medium
28200,Backup Repository Deleted,Veeam Backup & Replication,Security,critical,critical
28400,Host Settings Updated,Veeam Backup & Replication,Security,information,information
28500,Host Deleted,Veeam Backup & Replication,Security,high,high
28800,Tape Server Deleted,Veeam Backup & Replication,Security,information,information
28850,NDMP Server Deleted,Veeam Backup & Replication,Security,information,information
28920,File Share Deleted,Veeam Backup & Replication,Security,high,high
28940,File Server Settings Updated,Veeam Backup & Replication,Security,information,information
28950,File Server Deleted,Veeam Backup & Replication,Security,high,high
28970,Object Storage Settings Updated,Veeam Backup & Replication,Security,medium,medium
28980,Object Storage Deleted,Veeam Backup & Replication,Security,critical,critical
29110,Protection Group Settings Updated,Veeam Backup & Replication,Security,information,information
29120,Protection Group Deleted,Veeam Backup & Replication,Security,high,high
29140,Objects for Protection Group Changed,Veeam Backup & Replication,Security,information,information
29150,Objects for Protection Group Deleted,Veeam Backup & Replication,Security,high,high
29800,Archive Repository Settings Updated,Veeam Backup & Replication,Security,medium,medium
29900,Archive Repository Deleted,Veeam Backup & Replication,Security,critical,critical
30100,Scale-Out Backup Repository Settings Updated,Veeam Backup & Replication,Security,high,high
30200,Scale-Out Backup Repository Deleted,Veeam Backup & Replication,Security,critical,critical
30400,Application Group Settings Updated,Veeam Backup & Replication,Security,information,information
30500,Application Group Deleted,Veeam Backup & Replication,Security,information,information
30700,Virtual Lab Settings Updated,Veeam Backup & Replication,Security,information,information
30800,Virtual Lab Deleted,Veeam Backup & Replication,Security,information,information
31000,General Settings Updated,Veeam Backup & Replication,Security,information,information
31200,User or Group Added,Veeam Backup & Replication,Security,high,high
31210,Adding User or Group Failed,Veeam Backup & Replication,Security,medium,medium
31400,User or Group Deleted,Veeam Backup & Replication,Security,critical,critical
31500,Configuration Backup Job Settings Updated,Veeam Backup & Replication,Security,information,information
31600,Encryption Password Added,Veeam Backup & Replication,Security,information,information
31700,Encryption Password Changed,Veeam Backup & Replication,Security,high,high
31800,Encryption Password Deleted,Veeam Backup & Replication,Security,critical,critical
31900,SSH Credentials Changed,Veeam Backup & Replication,Security,high,high
32100,External Repository Settings Updated,Veeam Backup & Replication,Security,information,information
32120,Objects for Job Deleted,Veeam Backup & Replication,Security,high,high
32200,External Repository Deleted,Veeam Backup & Replication,Security,critical,critical
32400,Global Network Traffic Rules Deleted,Veeam Backup & Replication,Security,information,information
32800,Preferred Networks Deleted,Veeam Backup & Replication,Security,information,information
36013,Recovery Token Deleted,Veeam Backup & Replication,Security,medium,medium
36022,Backup Job for Application Backup Policy Finished,Veeam Backup & Replication,Monitoring,none,none
36023,Backup Task for Application Backup Policy Started,Veeam Backup & Replication,Monitoring,none,none
