id,title,enabled,type,definition,solution
CHKOVR0001,Detection generates Findings,1,overview,"count(eval(match('actions',""notable""))) as ""Detection generates Findings""",
CHKOVR0002,Detection generates Risk observations,1,overview,"count(eval(match('actions',""risk"") and not match('actions',""send2ba_riskdm""))) as ""Detection generates Risk observations""",
CHKOVR0003,Detection has a Drilldown Search,1,overview,"count(eval(isnotnull('action.notable.param.drilldown_search') OR isnotnull('action.notable.param.drilldown_searches'))) as ""Detection has a Drilldown Search""",
CHKOVR0004,Detection has Next Steps Defined,1,overview,"count(eval(isnotnull('action.notable.param.next_steps'))) as ""Detection has Next Steps Defined""",
CHKOVR0005,Detection is mapped to Atomic Red Team Tests,0,overview,"count(eval(match('action.correlationsearch.annotations',""atomic_red_team""))) as ""Detection is mapped to Atomic Red Team Tests""","This check is based on mapping the associated Atomic Red Team Test GUID in an unmanaged annotation named """"atomic_red_team""""."
CHKOVR0006,Detection is mapped to KillChain,1,overview,"count(eval(match('action.correlationsearch.annotations',""kill_chain_phases""))) as ""Detection is mapped to KillChain""",
CHKOVR0007,Detection is mapped to MITRE Att&ck,1,overview,"count(eval(match('action.correlationsearch.annotations',""mitre_attack""))) as ""Detection is mapped to MITRE Att&ck""",
CHKOVR0008,Detection uses Threat Intelligence Management Action,1,overview,"count(eval(match('actions',""trustar_submit_event""))) as ""Detection uses Threat Intelligence Management Action""",
CHKOVR0009,Detection is Throttled,1,overview,"count(eval('alert.suppress'==1)) as ""Detection is Throttled""",
CHKOVR0010,Detection uses Other Actions,1,overview,"count(eval(replace(replace(actions, ""notable|risk|trustar_submit_event"", """"), ""(^,\s+|\s*,$)"", """")!="""")) as """"Detection uses Other Actions""""""",
CHKOVR0011,Risk Rule with Risk Object Defined,1,overview,"count(eval(match('actions',""risk"") AND (match('action.risk.param._risk',""risk_object_field"") OR isnotnull('action.risk.param._risk_object')))) as ""Risk Rule with Risk Object Defined""",
CHKOVR0012,Risk Rule with Threat Object Defined,1,overview,"count(eval(match('action.risk.param._risk',""threat_object_field""))) as ""Risk Rule with Threat Object Defined""",
CHKOVR0013,Detection has multiple Drilldown Searches,1,overview,"count(eval(isnotnull(mvcount(json_array_to_mv(json_extract('action.notable.param.drilldown_searches',""{}.search"")))))) as ""Detection has multiple Contributing Events Searches""",Note: Only relevant for ES 7.2+
CHKOVR0014,Detection has a Security Domain Defined,0,overview,"count(eval('action.notable.param.security_domain'!=""NONE"")) as ""Detection has a Security Domain""",Assign a Security Domain from the correlation search configuration page.
CHKOVR0015,Detection is based on Index time,1,overview,"count(eval('dispatch.index_earliest'!="" AND 'dispatch.index_latest'!="")) as ""Detection is based on Index time""",There is nothing to specifically fix for this check.  It's meant to provide visibility on detections using Index time as opposed to Event time for their detection logic.
CHKOVR0016,Detection has a Drilldown Dashboard,1,overview,"count(eval(isnotnull('action.notable.param.drilldown_dashboards') AND 'action.notable.param.drilldown_dashboards' != ""[]"")) as ""Detection has a Drilldown Dashboard""",Informational only.  Drilldown Dashboards can be configured from the Notable Adaptive Response action in the correlation search configuration page.
