host,_time,Event.ID,Event.LocMod.LocModType,Event.LocMod.Location.LocGuid,Event.LocMod.Location.LocUser,Event.LocMod.LocEntry.EntryType,Event.LocMod.LocEntry.EntryName,Event.LocMod.LocEntry.EntryData,Event.LocMod.LocEntry.AutoExecFiles.AutoExecFile.AEFRawString,Event.LocMod.LocEntry.AutoExecFiles.AutoExecFile.AEFAttributes.AEFAttribute.AEFAttrMD5,Event.LocMod.ForensicMod.ForensicSource,Event.LocMod.ForensicMod.ForensicModType,Event.LocMod.ForensicMod.ExactFMTime,Event.LocMod.ForensicMod.EarliestFMTime,Event.LocMod.ForensicMod.LatestFMTime,Event.LocMod.ForensicMod.FirstEvent,Event.LocMod.ForensicMod.ForensicDescription,Event.OriginInfo.LastReportTime,Event.OriginInfo.ComputerName,Event.OriginInfo.DomainName,Event.OriginInfo.HardwareIdentifier,Event.OriginInfo.ContactEmailAddress,Event.OriginInfo.OSArchitecture,Event.OriginInfo.OSInfo.MajorVersion,Event.OriginInfo.OSInfo.MinorVersion,Event.OriginInfo.OSInfo.SPMajorVersion,Event.OriginInfo.OSInfo.SPMinorVersion,Event.OriginInfo.PerseusAgentVersion,Event.OriginInfo.PerseusReporterVersion,Event.OriginInfo.IPV4IpAddress,Event.OriginInfo.PublicIpAddress
redacted-32476,1534916103,1937d44e-f3bc-4202-b2d2-d2ed06f97f70,Audit,2a4ff629-31bb-48a9-b9a0-79249142b5c1,,2,vbvpcppw,C:\Windows\system32\drivers\vbvpcppw.sys,C:\Windows\system32\drivers\vbvpcppw.sys,1DEC7276C3089CC5D5F125A1B64DEB4D,,,,,,,,,,,,,,,,,,,,,
redacted-32476,1534916103,9de2c5bc-31ad-40ce-a432-9c7878c45840,Audit,95240fbe-f977-486f-88f0-1e2596964e88,,4,vbvpcppw.sys,,,1DEC7276C3089CC5D5F125A1B64DEB4D,,,,,,,,,,,,,,,,,,,,,
redacted-31315,1553517779,1284c833-9efe-4f49-bb27-49d5281a83cd,Audit,4d0eb6cf-3efb-4323-980f-2a2ff79ae471,,1,C:\WINDOWS\TEMP\InstallAX_11_5_502_146.exe,1,1,,,,,,,,,,,,,,,,,,,,,,
redacted-31315,1555509089,c44ee634-583d-4186-a831-5bbb87f515cb,Audit,4d0eb6cf-3efb-4323-980f-2a2ff79ae471,,1,C:\WINDOWS\System32\spool\DRIVERS\W32X86\3\hpsysobj.dll,1,1,,,,,,,,,,,,,,,,,,,,,,
redacted-31315,1557065309,faeaacbf-86ee-4ec8-8e15-5eceec1ed428,Audit,4d0eb6cf-3efb-4323-980f-2a2ff79ae471,,1,C:\WINDOWS\TEMP\InstallAX_11_6_602_171.exe,1,1,,,,,,,,,,,,,,,,,,,,,,
redacted-31315,1560237952,6ac8d26e-250f-4236-8185-68569af1f8f1,Audit,4d0eb6cf-3efb-4323-980f-2a2ff79ae471,,1,C:\WINDOWS\TEMP\InstallAX_11_7_700_169.exe,1,1,,,,,,,,,,,,,,,,,,,,,,
redacted-31315,1563192700,d75a9d65-7f50-4715-b1e1-33028178bee7,Audit,4fb2bae8-c221-4c3c-add3-1bc88e7cf4c3,User2,1,{3c35ad63-af1d-4e21-b484-b6651a8efcf9},C:\Program Files (x86)\RadioRage_4j\bar\2.bin\4jSrcAs.dll,C:\Program Files (x86)\RadioRage_4j\bar\2.bin\4jSrcAs.dll,31F0FD888F41C6E4B05A8A26A6257BBB,,,,,,,,,,,,,,,,,,,,,
redacted-31315,1563280482,1a10e17b-574c-44c5-aef1-f497257d9254,Audit,febe0cb5-7d8f-4134-8bd4-5b72c60bcdf3,,4,Uninstall RadioRage.dll,,,F6A9C28C85FD759276602E22778DA951,,,,,,,,,,,,,,,,,,,,,
redacted-31315,1563280482,29ae1464-27cd-494b-938c-e5238269f7dd,Audit,017813d5-5914-4ba8-9f7d-5bb143d93ffc,,1,RadioRage_4jbar Uninstall,"rundll32 C:\PROGRA~1\UNINST~1.DLL,O -3","rundll32 C:\PROGRA~1\UNINST~1.DLL,O -3",CB2F994AB144D440AD431FCB09815FD9,,,,,,,,,,,,,,,,,,,,,
redacted-30417,1553470650,9cfcdaff-bc85-4c46-94c0-f30604435547,Audit,72545e27-0539-429c-8563-cec42b997b66,,4,aeoeh.job,,,A51FCC6FA238498EBC88254766B1C6CF,,,,,,,,,,,,,,,,,,,,,
redacted-30417,1553483581,ed16a7e5-8752-44d1-8f17-f186392cfd48,Audit,4d0eb6cf-3efb-4323-980f-2a2ff79ae471,,1,C:\Windows\TEMP\InstallAX_11_5_502_146.exe,1,1,,,,,,,,,,,,,,,,,,,,,,
redacted-30417,1553470650,7d71ec46-f46e-4a5e-83ac-51d3707158b7,Audit,3b621e84-13dc-4f4b-b8df-24eaef5251f7,User1,4,verifier6.dll,,,5C24791E5EECF0E43F13B7E462CD296C,,,,,,,,,,,,,,,,,,,,,
redacted-30417,1553470650,8f14b03d-11db-4110-b634-27e672048c2d,Audit,a564bfb0-0ddc-46ac-a8a6-66d1faac329e,User1,1,Jmenexclyr,"rundll32 ""C:\Users\User1\AppData\Roaming\verifier6.dll"",Octciyrxo","rundll32 ""C:\Users\User1\AppData\Roaming\verifier6.dll"",Octciyrxo",5C24791E5EECF0E43F13B7E462CD296C,,,,,,,,,,,,,,,,,,,,,
redacted-29935,1544416851,30333f4d-421c-4d08-8e22-44fdab9b08cb,Audit,95240fbe-f977-486f-88f0-1e2596964e88,,4,vtzqlvjw.sys,,,0764D0D822FEAFFEE3791B4903C60A5E,,,,,,,,,,,,,,,,,,,,,
redacted-29935,1545331842,53dae5e7-dd23-4f72-b375-c7abf2cacbe8,Audit,95240fbe-f977-486f-88f0-1e2596964e88,,4,fxtexknf.sys,,,1B7E5E82F748EE26A56C4F668F3E013A,,,,,,,,,,,,,,,,,,,,,
redacted-29935,1544289566,f13cbc24-423f-4a7a-a654-f3fe8a1f3b4b,Audit,760f7d64-cc40-42ed-a433-b75f94997daf,User3,1,56BB3467FC229800003456BB00453000,C:\ProgramData\56BB3467FC229800003456BB00453000\56BB3467FC229800003456BB00453000.exe,C:\ProgramData\56BB3467FC229800003456BB00453000\56BB3467FC229800003456BB00453000.exe,CBA9B9306826E833C22236BF14C1A5E3,,,,,,,,,,,,,,,,,,,,,
redacted-29935,1544416851,621d3bf3-0877-4f9e-a76a-35e095139651,Audit,2a4ff629-31bb-48a9-b9a0-79249142b5c1,,2,vtzqlvjw,C:\Windows\system32\drivers\vtzqlvjw.sys,C:\Windows\system32\drivers\vtzqlvjw.sys,0764D0D822FEAFFEE3791B4903C60A5E,,,,,,,,,,,,,,,,,,,,,
redacted-29935,1545331842,97fe9f6f-2ccb-44cd-80a3-3eef06572a8c,Audit,2a4ff629-31bb-48a9-b9a0-79249142b5c1,,2,fxtexknf,C:\Windows\system32\drivers\fxtexknf.sys,C:\Windows\system32\drivers\fxtexknf.sys,1B7E5E82F748EE26A56C4F668F3E013A,,,,,,,,,,,,,,,,,,,,,
redacted-32604,1559092148,030a5d66-c1bb-463f-ab81-761b2efda5b4,Audit,2a4ff629-31bb-48a9-b9a0-79249142b5c1,,2,Zoho Assist-Remote Support,C:\Program Files (x86)\ZohoMeeting\ZohoMeeting.exe,C:\Program Files (x86)\ZohoMeeting\ZohoMeeting.exe,84643114D125EA08B7488CD4567F3CD2,,,,,,,,,,,,,,,,,,,,,
redacted-32604,1559092126,6eb33fee-6c5f-4b75-a566-72012f454a2c,Audit,7bba7dff-a71a-4ac3-9646-05e99fd4c345,User1,4,ToDo.lnk,,,4A359F02688DB0A774C4E60842376D49,,,,,,,,,,,,,,,,,,,,,
redacted-32604,1559092125,6c775068-ed6a-4c59-abaa-825293ad1b8a,Audit,7bba7dff-a71a-4ac3-9646-05e99fd4c345,User1,4,ImportantTasks.lnk,,,1B8FD17BEA799332DAEF90748BD60533,,,,,,,,,,,,,,,,,,,,,
redacted-32604,1559092125,fa5626fe-715e-470d-9238-d4ed7e98a1b4,Audit,7bba7dff-a71a-4ac3-9646-05e99fd4c345,User1,4,Reminders.lnk,,,00F778FF75E2972E609BC358F8DC2763,,,,,,,,,,,,,,,,,,,,,
redacted-32604,1559092120,0299b7f8-ee88-480d-a5f8-800067d7a327,Audit,f83eb16a-31ee-4b7b-9879-1ebd09a38792,User1,4,Reminders.exe,,,8D27D2333F2098194BEFFB1FB7D381BD,,,,,,,,,,,,,,,,,,,,,
redacted-32511,1558551596,8b8b26eb-5aa1-42b8-920e-a4557c4780a3,Audit,a564bfb0-0ddc-46ac-a8a6-66d1faac329e,User1,1,Bomgar Support Reconnect [1363892334],C:\ProgramData\bomgar-scc-514B586E\bomgar-scc.exe -nomulti,C:\ProgramData\bomgar-scc-514B586E\bomgar-scc.exe -nomulti,034A1284F52425F0080D77EC06255950,,,,,,,,,,,,,,,,,,,,,
redacted-32604,1529251879,2cb32d5e-dd40-46d3-8fe1-671dc00e65dd,,,,,,,,,,,,,,,,1529253554,REDACTED-32604,,,,64,6,1,1,0,24070,24070,,
redacted-32604,1529253554,2cb32d5e-dd40-46d3-8fe1-671dc00e65dd,,,,,,,,,,,,,,,,1529253554,REDACTED-32604,,,,64,6,1,1,0,24070,24070,,
redacted-32601,1529861548,00ccf1bd-5a5c-4276-8677-60df6ce5ebef,,,,,,,,,,,,,,,,1536300376,REDACTED-32601,,,,64,6,1,1,0,24070,24070,,
redacted-32601,1536300376,00ccf1bd-5a5c-4276-8677-60df6ce5ebef,,,,,,,,,,,,,,,,1536300376,REDACTED-32601,,,,64,6,1,1,0,24070,24070,,
redacted-32593,1530198376,512bb91d-f7c1-43df-92ba-dc3cceaadd76,,,,,,,,,,,,,,,,1565098719,REDACTED-32593,,,,64,6,1,1,0,24070,24070,,
redacted-32593,1565098719,512bb91d-f7c1-43df-92ba-dc3cceaadd76,,,,,,,,,,,,,,,,1565098719,REDACTED-32593,,,,64,6,1,1,0,24070,24070,,
redacted-32591,1530286489,55613c42-3cea-4b65-848c-1819dda5a935,,,,,,,,,,,,,,,,1548956646,REDACTED-32591,,,,64,6,1,1,0,24070,24070,,
redacted-32591,1548956646,55613c42-3cea-4b65-848c-1819dda5a935,,,,,,,,,,,,,,,,1548956646,REDACTED-32591,,,,64,6,1,1,0,24070,24070,,
