_key,nLocType,nLocAutoExecType,nLocIsMalwarePercent,nLocMalwareUsesPercent,strLocDisplayName,strLocFullPath
"001160ac-e440-4ee7-8027-8b6a165b326f","0","0","65","10","Local Machine IE URLSearchHooks","HKEY_LOCAL_MACHINE\software\microsoft\internet explorer\urlsearchhooks"
"00a5e42c-bd8c-4424-9ef5-05ef5a83148c","1","2","5","3","Current User InternetExplorer StyleSheet (32)","HKEY_CURRENT_USER\software\microsoft\internet explorer\styles"
"00a7609f-8f68-4d63-9945-3549678caf56","0","0","5","65","Local Machine RunOnce (32)","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\runonce"
"017813d5-5914-4ba8-9f7d-5bb143d93ffc","0","0","5","65","Local Machine RunOnce","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\runonce"
"03c934b3-d607-47b4-9f79-f26efd1b6f59","1","3","5","3","Current User Classes","HKEY_CURRENT_USER\software\classes"
"03e6f8f6-583c-47da-93d3-5ff3ab543ada","0","0","10","35","Local Machine IE Extensions (32)","HKEY_LOCAL_MACHINE\software\microsoft\internet explorer\extensions"
"042a491d-f23c-4a1b-b5ec-0bac7a0385d4","0","0","55","3","Local Machine Reg File Command (Default) (32)","HKEY_LOCAL_MACHINE\software\classes\regfile\shell\open\command"
"04db9d38-e3cb-49ef-9807-8843399ba894","0","3","1","3","Local Machine App Paths","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\app paths"
"050de588-d76f-4f45-87fc-7bd796fdc9a0","1","0","25","5","Current User Desktop Screensaver","HKEY_CURRENT_USER\control panel\desktop"
"0670508f-c751-4edd-bf8c-f3f850830378","0","0","10","35","Local Machine IE Extensions","HKEY_LOCAL_MACHINE\software\microsoft\internet explorer\extensions"
"07bb6a1c-17a5-4de8-809a-6af4da2d09fc","0","0","65","5","Local Machine Policies Explorer Run","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\policies\explorer\run"
"088862d6-c8e6-4589-9495-530e26a77f84","0","0","85","1","Local Machine IE MenuExt (32)","HKEY_LOCAL_MACHINE\software\microsoft\internet explorer\menuext"
"08bdf2e4-ff00-4ee2-89b9-6bb5f7a3e098","0","0","95","15","Local Machine ExeFile RunAs IsolatedCommand","HKEY_LOCAL_MACHINE\software\classes\exefile\shell\runas\command"
"094c496d-bbf6-47ab-8727-2b887440893f","0","3","5","5","Local Machine OLE","HKEY_LOCAL_MACHINE\software\microsoft\ole"
"0a3b40dc-ecec-41d1-8a0a-2fae86c6c960","1","0","25","5","Current User Desktop Screensaver (32)","HKEY_CURRENT_USER\control panel\desktop"
"0aa40512-7578-4a70-98fa-70312a967612","0","0","65","3","Local Folder-Shellex-ExtShellFolderViews","HKEY_LOCAL_MACHINE\software\classes\folder\shellex\extshellfolderviews"
"0aaae29d-050b-4bcb-8a57-9d2c4713a3ab","1","0","65","0","Current User RunServicesOnce","HKEY_CURRENT_USER\software\microsoft\windows\currentversion\runservicesonce"
"0bbe51e2-78d7-417b-850f-5a6af2689e52","2","1","5","85","%systemroot%\system32","%systemroot%\system32"
"0c624776-6fe9-4c94-8874-dd9e85efccd2","2","0","10","15","%systemroot%\syswow64\tasks","%systemroot%\syswow64\tasks"
"0e416ebe-6f46-4a0f-8f81-5b578e599cc7","0","0","95","50","Local Machine ExeFile Command (32)","HKEY_LOCAL_MACHINE\software\classes\exefile\shell\open\command"
"10b8bf60-b57c-412d-be90-54c992ed4a48","0","0","65","3","Local Machine PropertySheetHandlers (32)","HKEY_LOCAL_MACHINE\software\classes\*\shellex\propertysheethandlers"
"10badc6f-b40c-4d13-957a-63fdbcaf9980","0","0","90","5","LSA Notification Packages","HKEY_LOCAL_MACHINE\system\currentcontrolset\control\lsa"
"115880a2-baa6-4d33-8fd5-392e448d5204","2","1","5","85","%systemroot%\syswow64","%systemroot%\syswow64"
"11de2898-65f1-405d-a9a8-9de0006d67ba","0","0","65","0","Local Machine RunServicesOnce (32)","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\runservicesonce"
"12cacc4e-880a-4c91-9b42-fb476b0665eb","0","0","95","3","Local Machine URL-Prefixes mosaic (32)","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\url\prefixes"
"12f9d7dd-727d-4285-aefe-a9006a9af35f","1","2","90","5","Current User ActiveDesktop RestrictRun","HKEY_CURRENT_USER\software\microsoft\windows\currentversion\policies\explorer"
"138732eb-c7bc-4b3c-aaac-8f01aafd12eb","1","0","10","50","Current User IE Toolbar (32)","HKEY_CURRENT_USER\software\microsoft\internet explorer\toolbar"
"13b04acd-8386-41be-8cb5-41b7b1025cca","0","0","10","35","Local Machine IE Plugins","HKEY_LOCAL_MACHINE\software\microsoft\internet explorer\plugins"
