_key,_user,nHostsWithObjectName,nHostsWithObjectNameAndData,nRep,nSnapshotID,strObjectData,strObjectName,strObjectType,strPath
"5d76cb2d6f292d0f80017a1c","nobody","246",,"-1","1",,"scrnsave.exe","1","hkey_current_user\control panel\desktop"
"5d76cb2d6f292d0f80017a1d","nobody","1",,"-1","1",,"new value #1","1","hkey_current_user\software\microsoft\internet explorer\explorer bars"
"5d76cb2d6f292d0f80017a1e","nobody","1",,"-1","1",,"{182ec0be-5110-49c8-a062-beb1d02a220b}","2","hkey_current_user\software\microsoft\internet explorer\explorer bars"
"5d76cb2d6f292d0f80017a1f","nobody","6",,"-1","1",,"{1a6fe369-f28c-4ad9-a3e6-2bcb50807cf1}","2","hkey_current_user\software\microsoft\internet explorer\explorer bars"
"5d76cb2d6f292d0f80017a20","nobody","3",,"-1","1",,"{21347690-ec41-4f9a-8887-1f4aee672439}","2","hkey_current_user\software\microsoft\internet explorer\explorer bars"
"5d76cb2d6f292d0f80017a21","nobody","3",,"-1","1",,"{28bccb9a-e66b-463c-82a4-09f320de94d7}","2","hkey_current_user\software\microsoft\internet explorer\explorer bars"
"5d76cb2d6f292d0f80017a22","nobody","1",,"-1","1",,"{2a541ae1-5bf6-4665-a8a3-cfa9672e4291}","2","hkey_current_user\software\microsoft\internet explorer\explorer bars"
"5d76cb2d6f292d0f80017a23","nobody","1",,"-1","1",,"{2b4c4770-27fd-4a09-b17d-33ca580965fb}","2","hkey_current_user\software\microsoft\internet explorer\explorer bars"
"5d76cb2d6f292d0f80017a24","nobody","1",,"-1","1",,"{555d4d79-4bd2-4094-a395-cfc534424a05}","2","hkey_current_user\software\microsoft\internet explorer\explorer bars"
"5d76cb2d6f292d0f80017a25","nobody","1",,"-1","1",,"{8b3445d0-a4a5-4bfd-81d8-9c6425f1606d}","2","hkey_current_user\software\microsoft\internet explorer\explorer bars"
"5d76cb2d6f292d0f80017a26","nobody","14",,"-1","1",,"{c4ee31f3-4768-11d2-be5c-00a0c9a83da1}","2","hkey_current_user\software\microsoft\internet explorer\explorer bars"
"5d76cb2d6f292d0f80017a27","nobody","2",,"-1","1",,"{efa24e61-b078-11d0-89e4-00c04fc9e26e}","2","hkey_current_user\software\microsoft\internet explorer\explorer bars"
"5d76cb2d6f292d0f80017a28","nobody","12",,"-1","1",,"{efa24e64-b078-11d0-89e4-00c04fc9e26e}","2","hkey_current_user\software\microsoft\internet explorer\explorer bars"
"5d76cb2d6f292d0f80017a29","nobody","1",,"-1","1",,"new value #1","1","hkey_current_user\software\microsoft\internet explorer\extensions\cmdmapping"
"5d76cb2d6f292d0f80017a2a","nobody","2",,"-1","1",,"nextid","1","hkey_current_user\software\microsoft\internet explorer\extensions\cmdmapping"
