policy-name,thr_service
ThreatRadar - Anonymous Proxies,ThreatRadar Reputation Services
ThreatRadar - Comment Spam IPs,ThreatRadar Reputation Services
ThreatRadar - Malicious IPs,ThreatRadar Reputation Services
ThreatRadar - Phishing URLs,ThreatRadar Reputation Services
ThreatRadar - TOR IPs,ThreatRadar Reputation Services
ATO - Credential Stuffing + Bot Enforcement,Account Takeover Protection
ATO - Credential Stuffing Enforcement,Account Takeover Protection
ATO - Device Intelligence + Anonymous Proxy Enforcement,Account Takeover Protection
ATO - Device Intelligence + TOR IP Enforcement,Account Takeover Protection
ATO - Device Intelligence High Risk Login Enforcement,Account Takeover Protection
ATO - Dictionary Attack Enforcement,Account Takeover Protection
ATO - Dictionary Attack + Bot Enforcement,Account Takeover Protection
ATO - Privileged Account Brute force Enforcement,Account Takeover Protection
ATO - Privileged Account Brute force + Bot Enforcement,Account Takeover Protection
ThreatRadar - Bot Protection - Allow Browsers Only 1,Bot Protection
ThreatRadar - Bot Protection - Allow Browsers Only 2,Bot Protection
ThreatRadar - Bot Protection - High Activity of Non-Crucial Bots,Bot Protection
ThreatRadar - Bot Protection - Malicious Bots 1,Bot Protection
ThreatRadar - Bot Protection - Malicious Bots 2,Bot Protection
ThreatRadar - Remote File Inclusion (RFI) Signatures,Community Defense
ThreatRadar - SQL Injection IPs,Community Defense
ThreatRadar - Scanner IPs,Community Defense
ThreatRadar - Spamdexing Signatures,Community Defense
ThreatRadar - Emergency - Authenticated Sessions,Emergency Feed
ThreatRadar - Emergency - Authenticated Sessions Policy,Emergency Feed
ThreatRadar - Emergency - Authenticated Sessions Signatures,Emergency Feed
ThreatRadar - Emergency - GET Requests,Emergency Feed
ThreatRadar - Emergency - GET Requests Policy,Emergency Feed
ThreatRadar - Emergency - GET Requests Signatures,Emergency Feed
ThreatRadar - Emergency - General,Emergency Feed
ThreatRadar - Emergency - General Policy,Emergency Feed
ThreatRadar - Emergency - General Signatures,Emergency Feed
ThreatRadar - Emergency - POST Requests,Emergency Feed
ThreatRadar - Emergency - POST Requests Policy,Emergency Feed
ThreatRadar - Emergency - POST Requests Signatures,Emergency Feed
ThreatRadar - Emergency - Detection,Emergency Feed
ThreatRadar - Emergency - Detection Policy,Emergency Feed
ThreatRadar - Emergency - Detection Signatures,Emergency Feed
