OpType,OpDescription
0,Create
1,Delete
2,State Change
3,Rename
4,Rename Directory
5,Modify
6,Resync Started
7,Resync Done
8,Bulk State Change
9,Install Event Create
10,Install Event Change
11,Modify Ieid
12,Remove
