"id","name","description","default","savedsearches","stanza"
"493fb4ab-cdcc-4c4f-818c-0e363bd1e4bb","WMI Event Consumer Created Named Pipe","Detects the WMI Event Consumer service scrcons.exe creating a named pipe","Image=""*\\scrcons.exe""","",""
"02c39d30-02b5-45d2-b435-8aebfe5a8629","A Member Was Removed From a Security-Enabled Global Group","Detects activity when a member is removed from a security-enabled global group","source=""WinEventLog:Security"" EventCode IN (633, 4729)","",""
"903076ff-f442-475a-b667-4f246bcc203b","Nltest.EXE Execution","Detects nltest commands that can be used for information discovery","Image=""*\\nltest.exe"" OR OriginalFileName=""nltestrk.exe""","",""
"95f0643a-ed40-467c-806b-aac9542ec5ab","Suspicious Get Information for SMB Share","Adversaries may look for folders and drives shared on remote systems as a means of identifying sources of information to gather as
a precursor for Collection and to identify potential systems of interest for Lateral Movement.
Networks often contain shared network drives and folders that enable users to access file directories on various systems across a network.
","ScriptBlockText=""*get-smbshare*""","",""
"204b17ae-4007-471b-917b-b917b315c5db","Greedy File Deletion Using Del","Detects execution of the ""del"" builtin command to remove files using greedy/wildcard expression. This is often used by malware to delete content of folders that perhaps contains the initial malware infection or to delete evidence.","Image=""*\\cmd.exe"" OR OriginalFileName=""Cmd.Exe"" CommandLine IN (""*del *"", ""*erase *"") CommandLine IN (""*\\\*.dll*"", ""*\\\*.exe*"")","",""
"a6a39bdb-935c-4f0a-ab77-35f4bbf44d33","Suspicious Script Execution From Temp Folder","Detects a suspicious script executions from temporary folder","Image IN (""*\\powershell.exe"", ""*\\pwsh.exe"", ""*\\mshta.exe"", ""*\\wscript.exe"", ""*\\cscript.exe"") CommandLine IN (""*\\Windows\\Temp*"", ""*\\Temporary Internet*"", ""*\\AppData\\Local\\Temp*"", ""*\\AppData\\Roaming\\Temp*"", ""*%TEMP%*"", ""*%TMP%*"", ""*%LocalAppData%\\Temp*"") NOT (CommandLine IN (""* >*"", ""*Out-File*"", ""*ConvertTo-Json*"", ""*-WindowStyle hidden -Verb runAs*"", ""*\\Windows\\system32\\config\\systemprofile\\AppData\\Local\\Temp\\Amazon\\EC2-Windows\\*""))","",""
"8ac03a65-6c84-4116-acad-dc1558ff7a77","Sysmon Configuration Change","Detects a Sysmon configuration change, which could be the result of a legitimate reconfiguration or someone trying manipulate the configuration","source=""WinEventLog:Microsoft-Windows-Sysmon/Operational"" EventCode=16","",""
"b9f0e6f5-09b4-4358-bae4-08408705bd5c","New User Created Via Net.EXE With Never Expire Option","Detects creation of local users via the net.exe command with the option ""never expire""","Image IN (""*\\net.exe"", ""*\\net1.exe"") OR OriginalFileName IN (""net.exe"", ""net1.exe"") CommandLine=""*user*"" CommandLine=""*add*"" CommandLine=""*expires:never*""","",""
"0955e4e1-c281-4fb9-9ee1-5ee7b4b754d2","Use of Pcalua For Execution","Detects execition of commands and binaries from the context of The program compatibility assistant (Pcalua.exe). This can be used as a LOLBIN in order to bypass application whitelisting.","Image=""*\\pcalua.exe"" CommandLine=""* -a*""","",""
"867356ee-9352-41c9-a8f2-1be690d78216","Potentially Suspicious Regsvr32 HTTP/FTP Pattern","Detects regsvr32 execution to download/install/register new DLLs that are hosted on Web or FTP servers.","Image=""*\\regsvr32.exe"" OR OriginalFileName=""REGSVR32.EXE"" CommandLine IN (""* /i*"", ""* -i*"") CommandLine IN (""*ftp*"", ""*http*"")","",""
"57712d7a-679c-4a41-a913-87e7175ae429","SC.EXE Query Execution","Detects execution of ""sc.exe"" to query information about registered services on the system","Image=""*\\sc.exe"" OriginalFileName=""*sc.exe"" CommandLine=""* query*""","",""
