City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
San Diego,UberX,COMPLETED,2019-02-10 01:59:35 +0000 UTC,2019-02-10 02:01:35 +0000 UTC,32.78991,-117.25285,"3999 Mission Blvd, San Diego, 92109, US",2019-02-10 02:05:26 +0000 UTC,32.79724,-117.25697,"723 Felspar St, San Diego, 92109, US",0.64,6.25,USD
San Diego,UberX,COMPLETED,2019-02-09 05:57:28 +0000 UTC,2019-02-09 05:59:45 +0000 UTC,32.75457,-117.21239,"Valley View Casino Center, Uber Zone - Main Entrance, Valley View Casino Center",2019-02-09 06:10:51 +0000 UTC,32.78989,-117.25285,"3999 Mission Blvd, San Diego, 92109, US",4.52,9.82,USD
San Diego,UberX,COMPLETED,2019-02-09 02:42:13 +0000 UTC,2019-02-09 02:45:23 +0000 UTC,32.78985,-117.25287,"3999 Mission Blvd, San Diego, 92109, US",2019-02-09 03:01:11 +0000 UTC,32.75457,-117.21287,"3500 Sports Arena Blvd, San Diego, CA 92110, US",4.39,10.67,USD
San Diego,UberX,COMPLETED,2019-02-08 07:38:21 +0000 UTC,2019-02-08 07:45:00 +0000 UTC,32.830977,-117.2764898,"6830 La Jolla Blvd #103, La Jolla, CA 92037, USA",2019-02-08 07:54:44 +0000 UTC,32.7898138,-117.2529142,"3999 Mission Blvd, San Diego, 92109, US",3.39,9.1,USD
San Diego,UberX,COMPLETED,2019-02-08 06:02:09 +0000 UTC,2019-02-08 06:05:25 +0000 UTC,32.789921,-117.2528589,"3999 Mission Blvd, San Diego, 92109, US",2019-02-08 06:13:50 +0000 UTC,32.830895,-117.2766864,"6830 La Jolla Blvd #103, La Jolla, CA 92037, USA",3.35,8.31,USD
San Diego,UberX,COMPLETED,2019-02-07 23:18:45 +0000 UTC,2019-02-07 23:24:24 +0000 UTC,33.03807,-117.27261,"1081 4th Street, Encinitas, CA 92024, US",2019-02-08 00:10:25 +0000 UTC,32.79007,-117.25291,"3999 Mission Blvd, San Diego, 92109, US",20.08,34.59,USD
San Diego,UberX,COMPLETED,2019-02-07 22:19:11 +0000 UTC,2019-02-07 22:24:30 +0000 UTC,32.9490549,-117.2397727,"12707 High Bluff Dr, San Diego, CA 92130, USA",2019-02-07 22:39:07 +0000 UTC,33.0386124,-117.2727988,"1081 4th Street, Encinitas, CA 92024, USA",7.16,13.44,USD
San Diego,UberX,COMPLETED,2019-02-07 19:14:43 +0000 UTC,2019-02-07 19:19:43 +0000 UTC,33.03831,-117.27266,"1081 4th Street, Encinitas, CA 92024, US",2019-02-07 19:31:13 +0000 UTC,32.94905,-117.23975,"12707 High Bluff Dr, San Diego, CA 92130, USA",8.05,12.97,USD
San Diego,UberX,COMPLETED,2019-02-06 19:43:36 +0000 UTC,2019-02-06 19:46:20 +0000 UTC,32.94916,-117.23984,"12707 High Bluff Dr, San Diego, CA 92130, USA",2019-02-06 19:48:22 +0000 UTC,32.95339,-117.23471,"12995 El Camino Real Ste #121, San Diego, CA 92130, US",0.55,6.65,USD
San Diego,UberX,COMPLETED,2019-02-05 19:14:56 +0000 UTC,2019-02-05 19:20:52 +0000 UTC,33.03833,-117.27281,"1081 4th Street, Encinitas, CA 92024, US",2019-02-05 19:33:41 +0000 UTC,32.94907,-117.23983,"12707 High Bluff Dr, San Diego, CA 92130, USA",7.83,12.88,USD
San Diego,UberX,COMPLETED,2019-02-01 05:28:49 +0000 UTC,2019-02-01 05:34:22 +0000 UTC,32.731,-117.20307,"3225 N Harbor Dr, San Diego, 92101, US",2019-02-01 06:02:08 +0000 UTC,33.03841,-117.27282,"1081 4th Street, Encinitas, CA 92024, USA",26.39,34.41,USD
Portland,UberX,COMPLETED,2019-01-31 08:50:59 +0000 UTC,2019-01-31 08:55:30 +0000 UTC,45.53406,-122.69956,"2350 NW Savier St, Portland, OR 97210, USA",2019-01-31 09:06:13 +0000 UTC,45.51248,-122.64657,"1428 SE 19th Ave, Portland, OR 97214, US",5.06,11.58,USD
Portland,UberX,COMPLETED,2019-01-31 06:08:02 +0000 UTC,2019-01-31 06:19:09 +0000 UTC,45.53361,-122.67001,"Exit towards N Winning Way, Meet driver curbside (N Winning Way), Veterans Memorial Coliseum",2019-01-31 06:28:06 +0000 UTC,45.53338,-122.69858,"1438 NW 23rd Ave, Portland, 97210, US",2.78,13.73,USD
Portland,UberX,COMPLETED,2019-01-31 02:59:55 +0000 UTC,2019-01-31 03:01:27 +0000 UTC,45.512442,-122.6465819,"1428 SE 19th Ave, Portland, OR 97214, US",2019-01-31 03:11:27 +0000 UTC,45.530813,-122.6662125,"1 N Center Court St Ste 150, Portland, 97227, US",2.97,9.77,USD
Portland,UberX,COMPLETED,2019-01-30 19:07:04 +0000 UTC,2019-01-30 19:12:14 +0000 UTC,45.53254,-122.88408,"1705 NW Amberglen Ct, Hillsboro, OR 97006, USA",2019-01-30 19:21:01 +0000 UTC,45.50723,-122.83322,"1 SW Bowerman Dr, Beaverton, 97005, US",3.65,9.62,USD
