vendor_type,description
binarystore.file.added,"This event happens when a copy of a new binary has arrived at the Carbon Black server. It can be used to trigger external services, such as binary analysis or signature matching"
binaryinfo.observed,This event happens when a new binary is observed for the first time anywhere in the environment
binaryinfo.group.observed,This event happens when a new binary is observed for the first time in a sensor group
watchlist.storage.hit.binary,This event occurs when the match that was found in watchlist.hit.binary is committed in SOLR. The data has been committed to disk by Cb and the data is available via the Cb UI or API
watchlist.hit.binary,This event happens when the watchlist first matches the document. Note that the binary may not be visible in the Carbon Black UI or searches until it's been committed in SOLR (may take ~15 minutes)
feed.synchronized,feed.synchronized
feed.query.hit.process,This event happens when an intelligence feed query matches a process
task.error.logged,This event occurs when a background task reports an error.
feed.storage.hit.process,Same as feed.ingress.hit.process but now the data has been committed to disk by Cb and the data is available via the Cb UI or API
alert.watchlist.hit.ingress.host,This event happens when an alert is triggered as a result of a watchlist indicator matching a host
alert.watchlist.hit.ingress.binary,This event happens when an alert is triggered as a result of a watchlist indicator matching a binary
alert.watchlist.hit.ingress.process,This event happens when an alert is triggered as a result of a watchlist indicator matching a process
alert.watchlist.hit.query.binary,This event happens when an alert is triggered as a result of a watchlist query matching a binary
alert.watchlist.hit.query.process,This event happens when an alert is triggered as a result of a watchlist query matching a process
