protocol_id,transport,protocol,keyword,protocol_name,protocol_hex,protocol_reference,protocol_version
0,hopopt,,HOPOPT,IPv6 Hop-by-Hop Option,0x00,RFC 2460,
1,icmp,icmp,ICMP,Internet Control Message,0x01,RFC 792,
2,igmp,,IGMP,Internet Group Management,0x02,RFC 1112,
3,ggp,,GGP,Gateway-to-Gateway,0x03,RFC 823,
4,ip,,IPv4,IPv4 encapsulation,0x04,RFC 2003,4
5,st,,ST,Stream,0x05,RFC 1190;ﾠRFC 1819,
6,tcp,ip,TCP,Transmission Control,0x06,RFC 793,
7,cbt,,CBT,CBT,0x07,RFC 2189,
8,egp,,EGP,Exterior Gateway Protocol,0x08,RFC 888,
9,igp,,IGP,any private interior gateway (used by Cisco for their IGRP),0x09,,
10,bbn-rcc-mon,,BBN-RCC-MON,BBN RCC Monitoring,0x0A,,
11,nvp-ii,,NVP-II,Network Voice Protocol,0x0B,RFC 741,
12,pup,,PUP,PUP,0x0C,,
13,argus (deprecated),,ARGUS (deprecated),ARGUS,0x0D,,
14,emcon,,EMCON,EMCON,0x0E,,
15,xnet,,XNET,Cross Net Debugger,0x0F,IEN 158,
16,chaos,,CHAOS,Chaos,0x10,,
17,udp,ip,UDP,User Datagram,0x11,RFC 768,
18,mux,,MUX,Multiplexing,0x12,IEN 90,
19,dcn-meas,,DCN-MEAS,DCN Measurement Subsystems,0x13,,
20,hmp,,HMP,Host Monitoring,0x14,RFC 869,
21,prm,,PRM,Packet Radio Measurement,0x15,,
22,xns-idp,,XNS-IDP,XEROX NS IDP,0x16,,
23,trunk-1,,TRUNK-1,Trunk-1,0x17,,
24,trunk-2,,TRUNK-2,Trunk-2,0x18,,
25,leaf-1,,LEAF-1,Leaf-1,0x19,,
26,leaf-2,,LEAF-2,Leaf-2,0x1A,,
27,rdp,,RDP,Reliable Data Protocol,0x1B,RFC 908,
28,irtp,,IRTP,Internet Reliable Transaction,0x1C,RFC 938,
29,iso-tp4,,ISO-TP4,ISO Transport Protocol Class 4,0x1D,RFC 905,
30,netblt,,NETBLT,Bulk Data Transfer Protocol,0x1E,RFC 998,
31,mfe-nsp,,MFE-NSP,MFE Network Services Protocol,0x1F,,
32,merit-inp,,MERIT-INP,MERIT Internodal Protocol,0x20,,
33,dccp,,DCCP,Datagram Congestion Control Protocol,0x21,RFC 4340,
34,3pc,,3PC,Third Party Connect Protocol,0x22,,
35,idpr,,IDPR,Inter-Domain Policy Routing Protocol,0x23,RFC 1479,
36,xtp,,XTP,XTP,0x24,,
37,ddp,,DDP,Datagram Delivery Protocol,0x25,,
38,idpr-cmtp,,IDPR-CMTP,IDPR Control Message Transport Proto,0x26,,
39,tp++,,TP++,TP++ Transport Protocol,0x27,,
40,il,,IL,IL Transport Protocol,0x28,,
41,ipv6,ip6,IPv6,IPv6 encapsulation,0x29,RFC 2473,6
42,sdrp,,SDRP,Source Demand Routing Protocol,0x2A,RFC 1940,
43,ipv6-route,,IPv6-Route,Routing Header for IPv6,0x2B,RFC 2460,
44,ipv6-frag,,IPv6-Frag,Fragment Header for IPv6,0x2C,RFC 2460,
45,idrp,,IDRP,Inter-Domain Routing Protocol,0x2D,,
46,rsvp,,RSVP,Reservation Protocol,0x2E,RFC 2205,
47,gre,gre,GRE,Generic Routing Encapsulation,0x2F,RFC 2784;ﾠRFC 2890,
48,dsr,,DSR,Dynamic Source Routing Protocol,0x30,RFC 4728,
49,bna,,BNA,BNA,0x31,,
50,esp,,ESP,Encap Security Payload,0x32,RFC 4303,
51,ah,,AH,Authentication Header,0x33,RFC 4302,
52,i-nlsp,,I-NLSP,Integrated Net Layer Security  TUBA,0x34,TUBA,
53,swipe (deprecated),,SWIPE (deprecated),IP with Encryption,0x35,IP with Encryption,
54,narp,,NARP,NBMA Address Resolution Protocol,0x36,RFC 1735,
55,mobile,,MOBILE,IP Mobility,0x37,RFC 2004,
56,tlsp,,TLSP,Transport Layer Security Protocol using Kryptonet key management,0x38,,
57,skip,,SKIP,SKIP,0x39,RFC 2356,
58,ipv6-icmp,,IPv6-ICMP,ICMP for IPv6,0x3A,RFC 4443;ﾠRFC 4884,
59,ipv6-nonxt,,IPv6-NoNxt,No Next Header for IPv6,0x3B,RFC 2460,
60,ipv6-opts,,IPv6-Opts,Destination Options for IPv6,0x3C,RFC 2460,
61,,,,any host internal protocol,0x3D,,
62,cftp,,CFTP,CFTP,0x3E,,
63,,,,any local network,0x3F,,
64,sat-expak,,SAT-EXPAK,SATNET and Backroom EXPAK,0x40,,
65,kryptolan,,KRYPTOLAN,Kryptolan,0x41,,
66,rvd,,RVD,MIT Remote Virtual Disk Protocol,0x42,,
67,ippc,,IPPC,Internet Pluribus Packet Core,0x43,,
68,,,,any distributed file system,0x44,,
69,sat-mon,,SAT-MON,SATNET Monitoring,0x45,,
70,visa,,VISA,VISA Protocol,0x46,,
71,ipcv,,IPCV,Internet Packet Core Utility,0x47,,
72,cpnx,,CPNX,Computer Protocol Network Executive,0x48,,
73,cphb,,CPHB,Computer Protocol Heart Beat,0x49,,
74,wsn,,WSN,Wang Span Network,0x4A,,
75,pvp,,PVP,Packet Video Protocol,0x4B,,
76,br-sat-mon,,BR-SAT-MON,Backroom SATNET Monitoring,0x4C,,
77,sun-nd,,SUN-ND,SUN ND PROTOCOL-Temporary,0x4D,,
78,wb-mon,,WB-MON,WIDEBAND Monitoring,0x4E,,
79,wb-expak,,WB-EXPAK,WIDEBAND EXPAK,0x4F,,
80,iso-ip,,ISO-IP,ISO Internet Protocol,0x50,,
81,vmtp,,VMTP,VMTP,0x51,RFC 1045,
82,secure-vmtp,,SECURE-VMTP,SECURE-VMTP,0x52,RFC 1045,
83,vines,,VINES,VINES,0x53,,
84,ttp,,TTP,Transaction Transport Protocol,0x54,,
84,iptm,,IPTM,Internet Protocol Traffic Manager,0x55,,
85,nsfnet-igp,,NSFNET-IGP,NSFNET-IGP,0x56,,
86,dgp,,DGP,Dissimilar Gateway Protocol,0x57,,
87,tcf,,TCF,TCF,0x58,,
88,eigrp,,EIGRP,EIGRP,0x59,,
89,ospfigp,,OSPFIGP,OSPFIGP,0x5A,RFC 1583,
90,sprite-rpc,,Sprite-RPC,Sprite RPC Protocol,0x5B,,
91,larp,,LARP,Locus Address Resolution Protocol,0x5C,,
92,mtp,,MTP,Multicast Transport Protocol,0x5D,,
93,ax.25,,AX.25,AX.25 Frames,0x5E,,
94,ipip,,IPIP,IP-within-IP Encapsulation Protocol,0x5F,,
95,micp (deprecated),,MICP (deprecated),Mobile Internetworking Control Pro.,0x60,,
96,scc-sp,,SCC-SP,Semaphore Communications Sec. Pro.,0x61,,
97,etherip,,ETHERIP,Ethernet-within-IP Encapsulation,0x62,RFC 3378,
98,encap,,ENCAP,Encapsulation Header,0x63,RFC 1241,
99,,,,any private encryption scheme,0x64,,
100,gmtp,,GMTP,GMTP,0x65,,
101,ifmp,,IFMP,Ipsilon Flow Management Protocol,0x66,,
102,pnni,,PNNI,PNNI over IP,0x67,,
103,pim,,PIM,Protocol Independent Multicast,0x68,,
104,aris,,ARIS,ARIS,0x69,,
105,scps,,SCPS,SCPS,0x6A,SCPS-TP[2],
106,qnx,,QNX,QNX,0x6B,,
107,a/n,,A/N,Active Networks,0x6C,,
108,ipcomp,,IPComp,IP Payload Compression Protocol,0x6D,RFC 3173,
109,snp,,SNP,Sitara Networks Protocol,0x6E,,
110,compaq-peer,,Compaq-Peer,Compaq Peer Protocol,0x6F,,
111,ipx-in-ip,,IPX-in-IP,IPX in IP,0x70,,
112,vrrp,,VRRP,Virtual Router Redundancy Protocol,0x71,VRRP:RFC 3768,
113,pgm,,PGM,PGM Reliable Transport Protocol,0x72,RFC 3208,
114,,,,any 0-hop protocol,0x73,,
115,l2tp,,L2TP,Layer Two Tunneling Protocol,0x74,RFC 3931,
116,ddx,,DDX,D-II Data Exchange (DDX),0x75,,
117,iatp,,IATP,Interactive Agent Transfer Protocol,0x76,,
118,stp,,STP,Schedule Transfer Protocol,0x77,,
119,srp,,SRP,SpectraLink Radio Protocol,0x78,,
120,uti,,UTI,UTI,0x79,,
121,smp,,SMP,Simple Message Protocol,0x7A,,
122,sm (deprecated),,SM (deprecated),Simple Multicast Protocol,0x7B,draft-perlman-simple-multicast-03,
123,ptp,,PTP,Performance Transparency Protocol,0x7C,,
124,isis over ipv4,,ISIS over IPv4,,0x7D,RFC 1142ﾠandﾠRFC 1195,
125,fire,,FIRE,,0x7E,,
126,crtp,,CRTP,Combat Radio Transport Protocol,0x7F,,
127,crudp,,CRUDP,Combat Radio User Datagram,0x80,,
128,sscopmce,,SSCOPMCE,,0x81,ITU-T Q.2111 (1999),
129,iplt,,IPLT,,0x82,,
130,sps,,SPS,Secure Packet Shield,0x83,,
131,pipe,,PIPE,Private IP Encapsulation within IP,0x84,Expired I-D draft-petri-mobileip-pipe-00.txt,
132,sctp,,SCTP,Stream Control Transmission Protocol,0x85,,
133,fc,,FC,Fibre Channel,0x86,,
134,rsvp-e2e-ignore,,RSVP-E2E-IGNORE,,0x87,RFC 3175,
135,mobility header,,Mobility Header,,0x88,RFC 6275,
136,udplite,,UDPLite,,0x89,RFC 3828,
137,mpls-in-ip,,MPLS-in-IP,,0x8A,RFC 4023,
138,manet,,manet,MANET Protocols,0x8B,RFC 5498,
139,hip,,HIP,Host Identity Protocol,0x8C,RFC 5201,
140,shim6,,Shim6,Shim6 Protocol,0x8D,RFC 5533,
141,wesp,,WESP,Wrapped Encapsulating Security Payload,0x8E,RFC 5840,
142,rohc,,ROHC,Robust Header Compression,0x8F,RFC 5856,
