FROM,LABEL,FREQ,DESC,ACTIONS,HOUR,DURATION,START_TIME,END_TIME,STATUS,FILE,GROUP
FILEDEP,File dependency,DAILY,,,,,,,SUCC,File1\nFile2,Dependencies
NODEDEP1,Node,DAILY,,,,,,,SUCC,,Dependencies
NODEDEP2,Dependency,DAILY,,,,,,,SUCC,,Dependencies
WEEKLY,Weekly Sched,WEEKLY BYDAY=TU,,,,,,,SUCC,,Dependencies
CALENDAR,Calendar Sched,CALENDAR_EXAMPLE,,,,,,,SUCC,,Dependencies
HOURDEP,Hour dependency,DAILY,,,20h00,,,,SUCC,,Dependencies
SUCC,Success,DAILY,,,,,,,SUCC,,Status
ABEND,Abend,DAILY,,,,,,,ABEND,,Status
STUCK,Stuck,DAILY,,,,,,,STUCK,,Status
READY,Ready,DAILY,,,,,,,READY,,Status
HOLD,Hold,DAILY,,,,,,,HOLD,,Status
EXEC,Exec,DAILY,,,,,,,EXEC,,Status
CANCL,Cancel,DAILY,,,,,,,CANCL,,Status
SUPPR,Suppressed,DAILY,,,,,,,SUPPR,,Status
WARN,Warning,DAILY,,,,,,,WARN,,Status
