EventName,dataset_name,action,change_type,type
anonymous-network-unavailable,alert,,,
auth,alert,,,event
auth-fail,authentication,failure,,
auth-success,authentication,success,,
cloud-election,filtering,,,
config-failure,alert,,,alert
config-generate-success,alert,,,alert
config-not-synch,alert,,,alert
config-reload-failure,alert,,,alert
general,general,,,
ike-config-p1-success,alert,,,alert
ike-config-p2-success,alert,,,alert
ike-generic-event,alert,,,event
ike-nego-p1-delete,change,deleted,ike,
ike-nego-p1-expire,alert,,,alert
ike-nego-p1-start,change,started,ike,
ike-nego-p1-succ,alert,,,alert
ike-nego-p2-proxy-id-bad,alert,,,alert
ike-nego-p2-start,change,started,ike,
ike-nego-p2-succ,alert,,,alert
ike-recv-p1-delete,change,deleted,ike,
ike-recv-p2-delete,change,deleted,ike,
ike-send-p1-delete,change,deleted,ike,
ike-send-p2-delete,change,deleted,ike,
ikev2-nego-child-fail,alert,,,alert
ikev2-nego-child-start,change,started,ikev2,
ikev2-nego-child-succ,alert,,,alert
ikev2-nego-ike-delete,change,deleted,ikev2,
ikev2-nego-ike-start,change,started,ikev2,
ikev2-nego-ike-succ,alert,,,alert
ikev2-nego-use-v1,general,,,
ikev2-recv-p1-delete,change,deleted,ikev2,
ikev2-recv-p2-delete,change,deleted,ikev2,
ikev2-send-p1-delete,change,deleted,ikev2,
ikev2-send-p2-delete,change,deleted,ikev2,
ipsec-key-delete,change,deleted,ipsec,
ipsec-key-expire,alert,,,alert
ipsec-key-install,alert,,,event
keymgr-ha-full-sync-abort,alert,,,event
keymgr-ha-full-sync-done,alert,,,alert
keymgr-ha-full-sync-start,change,started,keymgr,
lacp-up,change,modified,lacp,
link-change,change,modified,link,
link-down,change,stopped,link,
link-monitor-down,alert,,,alert
link-monitor-up,alert,,,alert
null,general,,,
panorama-check-skip,alert,,,warning
panos-auth-success,alert,,,alert
path-monitor-recovery,alert,,,alert
peer-version-match,alert,,,alert
rasmgr-config-p1-success,alert,,,alert
rasmgr-config-p2-success,alert,,,alert
rasmgr-ha-full-sync-abort,alert,,,event
rasmgr-ha-full-sync-start,change,started,rasmgr,
restart,change,restarted,NTP,
routed-config-p1-success,alert,,,alert
routed-config-p2-success,alert,,,alert
routed-fib-sync-peer-backup,alert,,,alert
routed-fib-sync-self-master,alert,,,alert
satd-config-p1-success,alert,,,alert
satd-config-p2-success,alert,,,alert
satd-ha-full-sync-abort,alert,,,event
satd-ha-full-sync-start,change,started,satd,
send-success,alert,,,alert
sslmgr-config-p1-success,alert,,,alert
sslmgr-config-p2-success,alert,,,alert
sslmgr-ha-not-full-sync,alert,,,warning
state-change,change,modified,state,
sync,sync,,,
upgrade-url-database-success,alert,,,alert
url-backup-seed-success,alert,,,alert
url-cloud-connection-failure,alert,,,alert
url-download-failure,alert,,,alert
wf-real-time-enabled,change,updated,wf,
wildfire-conn-failed,alert,,,alert
wildfire-conn-success,alert,,,alert
