"proc__p__stat__state","proc__p__stat__state_description"
"R","Running"
"S","Sleeping in an interruptible wait"
"D","Waiting in uninterruptible disk sleep"
"Z","Zombie"
"T","Stopped (on a signal) or (before Linux 2.6.33) trace stopped"
"t","Tracing stop (Linux 2.6.33 onward)"
"W","Paging (only before Linux 2.6.0)"
"X","Dead (from Linux 2.6.0 onward)"
"x","Dead (Linux 2.6.33 to 3.13 only)"
"K","Wakekill (Linux 2.6.33 to 3.13 only)"
"W","Waking (Linux 2.6.33 to 3.13 only)"
"P","Parked (Linux 3.9 to 3.13 only)"
