eventCategory,signatureId,eventName
incidents,UNUSUAL_ENDPOINT_ACCESS,Unusual Access to Server
incidents,UNUSUAL_SERVICE_ACCESS,Unusual Access to Service
incidents,UNUSUAL_ENDPOINT_USE,Unusual Use of Endpoint
incidents,SUSPICIOUS_DOMAIN_ACTIVITY,Suspicious Domain Activity
incidents,POTENTIAL_RISKY_ACTIVITY,Potential Risky Activity
incidents,DOMAIN_COMPROMISE,Possible Compromised Domain
incidents,CREDENTIAL_THEFT,Plausible Credential Theft
incidents,ENDPOINT_COMPROMISE,Possible Compromised Endpoint
incidents,SUSPICIOUS_MOVEMENT,Suspicious Movement
incidents,UNUSUAL_ACTIVITY,Unusual Activity
systemNotifications,LICENSE_PENDING_EXPIRATION,License Pending Expiration
systemNotifications,LICENSE_EXPIRING,License Expired
systemNotifications,UNCOVERED_DOMAIN_CONTROLLER,Uncovered Domain Controlle
systemNotifications,INVALID_DOMAIN_USER_CONFIGURATION,Invalid Preempt Service Account Configuratio
systemNotifications,UPDATE_AVAILABLE,Software update available
systemNotifications,FIREWALL_UNHEALTHY,Appliance connectivity check failed
systemNotifications,FIREWALL_TRAFFIC_LOSS,Appliance traffic level warning
systemNotifications,INLINE_UNHEALTHY,Firewall inline health status check failed
systemNotifications,DOMAIN_CONTROLLER_DNS_FAILURE,Domain controller DNS failed
systemNotifications,CLOUD_CONNECTIVITY_FAILED,Cloud connectivity failed
systemNotifications,CONNECTOR_FAILED,Connector Failed
systemAuditEvents,INCIDENT_LIFE_CYCLE_STAGE_CHANGE,Incident Status Update
systemAuditEvents,LICENSE_CHANGED,License Changed
systemAuditEvents,SYSTEM_USER_LOGIN,System User Login
systemAuditEvents,SYSTEM_USER_FAILED_LOGIN,System User Failed Login
systemAuditEvents,SYSTEM_USER_LOGOUT,System User Logout
systemAuditEvents,APPLIANCE_ACTIVATED,Appliance Activated
systemAuditEvents,APPLIANCE_DEACTIVATED,Appliance Unpaired
systemAuditEvents,CONNECTOR_CONFIGURATION_MODIFIED,Connector Configuration Modified
systemAuditEvents,CONNECTOR_CONFIGURATION_ADDED,Connector Configuration Added
systemAuditEvents,CONNECTOR_CONFIGURATION_DELETED,Connector Configuration Deleted
systemAuditEvents,FIREWALL_CONFIGURATION_MODIFIED,Firewall Configuration Modified
systemAuditEvents,POLICY_RULE_MODIFIED,Policy Rule Modified
systemAuditEvents,POLICY_RULE_ADDED,Policy Rule Added
systemAuditEvents,POLICY_RULE_DELETED,Policy Rule Deleted
systemAuditEvents,POLICY_RULES_REORDERED,Policy Rules Reordered
systemAuditEvents,POLICY_APPLIED,Policy Applied
systemAuditEvents,EMAIL_SERVER_CONFIGURATION_MODIFIED,Email Server Configuration Modified
systemAuditEvents,EMAIL_NOTIFICATION_CONFIGURATION_MODIFIED,Email Notifications Configuration Modified
systemAuditEvents,UPGRADE_INITIATED,Upgrade Initiated
systemAuditEvents,SYSTEM_USER_CONFIGURATION_MODIFIED,System User Configuration Modified
systemAuditEvents,SYSTEM_USER_CONFIGURATION_ADDED,System User Configuration Added
systemAuditEvents,SYSTEM_USER_CONFIGURATION_DELETED,System User Configuration Deleted
systemAuditEvents,LOCAL_USER_PASSWORD_CHANGED,Preempt Administrator Password Changed
systemAuditEvents,SYSTEM_USER_PASSWORD_RESET,Preempt Administrator Password Reset
systemAuditEvents,SECURITY_CONFIGURATION_MODIFIED,Advanced Security Configuration Modified
systemAuditEvents,CERTIFICATE_CONFIGURATION_MODIFIED,SSL Certificate Imported
systemAuditEvents,CERTIFICATE_CONFIGURATION_ADDED,SSL Certificate Imported
systemAuditEvents,CERTIFICATE_CONFIGURATION_DELETED,SSL Certificate Deleted
systemAuditEvents,EXTERNAL_API_INTEGRATION_STATUS_CHANGED,3rd Party Api Integration Status Changed
systemAuditEvents,API_TOKEN_ADDED,Api Token Added
systemAuditEvents,API_TOKEN_DELETED,Api Token Deleted
policyLog,POLICY_RULE_MATCH,Policy Rule Match
