id,administrativeState,name,uiName,operativeState,peerConnectionNodeType,voipPeerName,voipPeer_id,nodeName,node_Id
"1","Unlocked","IpGrp0","IpGrp0","Available","IPGroup","T-Mobile","155","New_York_1","1"
"2","Unlocked","IpGrp1","AT&T","Available","IPGroup","AT&T_SIPt_1","2","New_York_1","1"
"135","Unlocked","IpGrp3","IpGrp3","Available","IPGroup","IpGrp3_New_York_1_VoIPPeer","244","New_York_1","1"
"11","Unlocked","IpGrp0","IpGrp0","Available","IPGroup","USA_lync","1","Paris_2","2"
"12","Unlocked","IpGrp1","OrangeFRGrp1","Available","IPGroup","Orange_FR","12","Paris_2","2"
"13","Unlocked","IpGrp2","SFRGrp2","Available","IPGroup","SFR_2","13","Paris_2","2"
"14","Unlocked","IpGrp3","AnnouncementSrvGrp3","Available","IPGroup","Announcement_Srv_3","14","Paris_2","2"
"15","Unlocked","IpGrp0","BezekGrp0","Available","IPGroup","Bezeq_0","15","Israel-HQ_3","3"
"16","Unlocked","IpGrp1","KaveiZahavGrp1","Available","IPGroup","Kavei_Zahav_1","16","Israel-HQ_3","3"
"17","Unlocked","IpGrp2","IpGrp2","Available","IPGroup","HQ_Lync_2","17","Israel-HQ_3","3"
"18","Unlocked","IpGrp3","IpGrp3","Available","IPGroup","B-Plus_3","18","Israel-HQ_3","3"
"19","Unlocked","IpGrp0","ChinaTelecomGrp0","Available","IPGroup","China_Telecom_0","19","China_4","4"
"20","Unlocked","IpGrp1","IpGrp1","Available","IPGroup","China_PBX_1","20","China_4","4"
"21","Unlocked","IpGrp2","HuaweiPBXGrp2","Available","IPGroup","Huawei_PBX_2","21","China_4","4"
"23","Unlocked","IpGrp0","HQLyncGrp0","Available","IPGroup","HQ_Lync_2","17","Haifa_5","5"
"24","Unlocked","IpGrp1","OrangeIsrGrp1","Available","IPGroup","Orange_ISR_1_Temp","24","Haifa_5","5"
"30","Unlocked","IpGrp3","IpGrp3","Available","IPGroup","USA_lync","1","New_Jersey_6","6"
"31","Unlocked","IpGrp0","IpGrp0","Available","IPGroup","USA_lync","1","Texas_7","7"
"32","Unlocked","IpGrp1","VerizonGrp1","Available","IPGroup","Verizon_1","32","Texas_7","7"
"33","Unlocked","IpGrp2","AsteriskPBX","Available","IPGroup","Asterisk_PBX_2","33","Texas_7","7"
"136","Unlocked","IpGrp3","IpGrp3","Available","IPGroup","IpGrp3_Texas_7_VoIPPeer","245","Texas_7","7"
"35","Unlocked","IpGrp0","Beer_Sheve_PBX","Available","IPGroup","Beer_Sheva_PBX_0","35","Beer_Sheva_8","8"
"36","Unlocked","IpGrp1","ISAGrp1","Available","IPGroup","ISA_1","36","Beer_Sheva_8","8"
"37","Unlocked","IpGrp2","IpGrp2","Available","IPGroup","HQ_Lync_2","17","Beer_Sheva_8","8"
"38","Unlocked","IpGrp3","BezeqGrp3","Available","IPGroup","Bezeq_0","15","Beer_Sheva_8","8"
"69","Unlocked","IpGrp0","IpGrp0","Available","IPGroup","Rome (SBC)","67","Italy-9","24"
"70","Unlocked","IpGrp1","IpGrp1","Available","IPGroup","Milan (SBC)","68","Italy-9","24"
"71","Unlocked","IpGrp3","IpGrp3","Available","IPGroup","Florence (IpGrp-GW)","69","Italy-9","24"
"72","Unlocked","TRGRP-2","TRGRP-2","Available","TrunkGroup","Florence (TRGRP-2)","70","Italy-9","24"
"73","Unlocked","TRGRP-1","TRGRP-1","Available","TrunkGroup","Florence (TRGRP-1)","71","Italy-9","24"
"78","Unlocked","pCon1","pCon1","Available","Virtual","VersaTel","190","NotAudioCodesSBC","26"
"79","Unlocked","pCon2","pCon2","Available","Virtual","Deutsche Telekom","191","NotAudioCodesSBC","26"
"119","Unlocked","aaaaa","aaaaa","Available","Virtual","vPeer2","228","noname","63"
"134","Unlocked","bbb","bbb","Available","Virtual","vPeer1","243","noname","63"
"138","Unlocked","temp","temp","Available","Virtual","Thrie","247","noname","63"
"144","Unlocked","IpGrp0","IpGrp0","Available","IPGroup","IpGrp0_15_VoIPPeer","253","Rome","74"
"145","Unlocked","IpGrp1","IpGrp1","Available","IPGroup","IpGrp1_15_VoIPPeer","254","Rome","74"
"146","Unlocked","IpGrp0","IpGrp0","Available","IPGroup","IpGrp0_16_VoIPPeer","255","Venice","75"
"147","Unlocked","IpGrp1","IpGrp1","Available","IPGroup","IpGrp1_16_VoIPPeer","256","Venice","75"
"148","Unlocked","IpGrp0","IpGrp0","Available","IPGroup","IpGrp0_17_VoIPPeer","257","Milan","76"
"149","Unlocked","IpGrp1","IpGrp1","Available","IPGroup","IpGrp1_17_VoIPPeer","258","Milan","76"
