id,name,voipPeerType,x,y
"1","USA_lync","IP PBX","192","-431"
"2","AT&T_SIPt_1","SIP Trunk","-183","410"
"12","Orange_FR","SIP Trunk","551","-394"
"13","SFR_2","SIP Trunk","724","-434"
"14","Announcement_Srv_3","SIP Trunk","891","-353"
"15","Bezeq_0","SIP Trunk","1422","-159"
"16","Kavei_Zahav_1","PBX","1124","-127"
"17","HQ_Lync_2","PBX","1320","227"
"18","B-Plus_3","IP Phones","1404","44"
"19","China_Telecom_0","IP PBX","803","671"
"20","China_PBX_1","IP PBX","1072","703"
"21","Huawei_PBX_2","PBX","1125","493"
"24","Orange_ISR_1_Temp","IP PBX","1155","345"
"32","Verizon_1","SIP Trunk","10","217"
"33","Asterisk_PBX_2","PBX","-152","132"
"35","Beer_Sheva_PBX_0","IP PBX","1104","-478"
"36","ISA_1","SIP Trunk","1334","-396"
"67","Rome (SBC)","IP Phones","282","410"
"68","Milan (SBC)","IP PBX","47","631"
"69","Florence (IpGrp-GW)","PSTN","388","649"
"70","Florence (TRGRP-2)","PSTN","673","513"
"71","Florence (TRGRP-1)","PSTN","667","377"
"155","T-Mobile","IP PBX","-62","574"
"190","VersaTel","IP Phones","-339","90"
"191","Deutsche Telekom","PBX","-353","-134"
"228","vPeer2","SIP Trunk","-233","-333"
"243","vPeer1","IP PBX","17","-445"
"244","IpGrp3_New_York_1_VoIPPeer","IP Phones","-302","637"
"245","IpGrp3_Texas_7_VoIPPeer","IP Phones","-446","-313"
"247","Thrie","IP PBX","-155","-491"
"253","IpGrp0_15_VoIPPeer","IP Phones","10","1056"
"254","IpGrp1_15_VoIPPeer","IP Phones","-211","885"
"255","IpGrp0_16_VoIPPeer","IP Phones","245","1159"
"256","IpGrp1_16_VoIPPeer","IP Phones","665","1153"
"257","IpGrp0_17_VoIPPeer","IP Phones","1116","935"
"258","IpGrp1_17_VoIPPeer","IP Phones","924","1083"
