id,name,administrativeState,groupName,groupId
"1","Beer_Sheva_PBX_0","Unlocked","Calls to ROW","1"
"22","Bezeq_0","Unlocked","Calls to ROW","1"
"23","ISA_1","Unlocked","Calls to ROW","1"
"24","HQ_Lync_2","Unlocked","Calls to ROW","1"
"25","Kavei_Zahav_1","Unlocked","Calls to ROW","1"
"26","B-Plus_3","Unlocked","Calls to ROW","1"
"27","Orange_ISR_1","Unlocked","Calls to ROW","1"
"28","toParis","Unlocked","Calls to ROW","1"
"2054","test","Unlocked","Calls to ROW","1"
"2057","bbbbbbbbbbbb","Unlocked","Calls to ROW","1"
"2059","toHuawei","Unlocked","Calls to ROW","1"
"2060","toChinaPBX-1","Unlocked","Calls to ROW","1"
"2067","discard_bbbb","Unlocked","Calls to ROW","1"
"4123","toTexas_7 (Asterisk_PBX_2)","Unlocked","Calls to ROW","1"
"4124","to Paris_2(Announcement_Srv_3)","Unlocked","Calls to ROW","1"
"2","Paid  from Israel","Locked","Restricted Calls","2"
"3","Calls to forbidden destinations","Unlocked","Restricted Calls","2"
"4","International calls from Reception Desk ","Unlocked","Restricted Calls","2"
"4224","Managers can not call to Toronto","Locked","Restricted Calls","2"
"4253","Block Calls","Locked","Restricted Calls","2"
"5","To B-Sh and South Isr","Unlocked","Calls To Israel","3"
"6","To Haifa and North Isr","Unlocked","Calls To Israel","3"
"7","To Orange Isr.","Unlocked","Calls To Israel","3"
"8","To HQ and Israel General","Unlocked","Calls To Israel","3"
"9","To Paris","Unlocked","Calls to Europe","4"
"10","To France","Unlocked","Calls to Europe","4"
"11","To West Europe","Unlocked","Calls to Europe","4"
"12","FAEs to Russia","Unlocked","Calls to Europe","4"
"13","Israel to East Europe","Unlocked","Calls to Europe","4"
"2051","From Israel to Germany","Unlocked","Calls to Europe","4"
"2058","FAEs to Germany","Unlocked","Calls to Europe","4"
"4136","to Italy (Rome)","Locked","Calls to Europe","4"
"4137","to Italy (Florence1)","Locked","Calls to Europe","4"
"4151","default one","Locked","Calls to Europe","4"
"4154","to Itally pstn 1","Unlocked","Calls to Europe","4"
"4233","AT&T To Swift SfBO","Locked","Calls to Europe","4"
"4235","Ram_block","Locked","Calls to Europe","4"
"4243","My black list","Locked","Calls to Europe","4"
"4244","France","Unlocked","Calls to Europe","4"
"4254","Rule2","Unlocked","Calls to Europe","4"
"4267","test_src_man","Locked","Calls to Europe","4"
"14","Cowboys to USA","Unlocked","Calls to USA","5"
"15","All to USA","Unlocked","Calls to USA","5"
"16","To Texas PBX users","Unlocked","Calls to USA","5"
"4172","call to NYC","Unlocked","Calls to USA","5"
"4225","To USA FAE users","Unlocked","Calls to USA","5"
"17","Top Managers to Investors","Locked","Temp. Special Rules","6"
"2055","ARM group fun day","Locked","Temp. Special Rules","6"
"18","From China to China and Japan","Unlocked","Calls to Asia","7"
"19","ROW to Far East","Unlocked","Calls to Asia","7"
"20","to China Huawei users","Unlocked","Calls to Asia","7"
"4226","Row to Far East 2","Unlocked","Calls to Asia","7"
"4125","Germany","Locked","gadi test","8"
"4138","test germany","Locked","gadi test","8"
"4139","afgan","Locked","gadi test","8"
"4232","To Col","Unlocked","JFS test","16"
"4158","TORONTO_ON - local","Unlocked","Canada","20"
"4159","PALGRAVE_ON - local","Locked","Canada","20"
"4160","from USA to China not allowed","Locked","Yossi's Group","21"
"4161","to USA via verison & at&T","Locked","Yossi's Group","21"
"4162","asterics","Locked","Yossi's Group","21"
"4165","calls 2 Paris","Locked","Yossi's Group","21"
"4168","to Aster","Locked","Yossi's Group","21"
"4174","EX1","Locked","M","24"
"4175","EX2","Locked","M","24"
"4176","EX3","Locked","M","24"
"4177","EX5 - 1","Locked","M","24"
"4178","EX5-2","Locked","M","24"
"4179","EX6","Locked","M","24"
"4183","EX-4","Locked","M","24"
"4231","R2","Locked","test","29"
"4245","Rule1 (to Denmark","Unlocked","Training 8.4","39"
"4246","Rule2: From France to China","Unlocked","Training 8.4","39"
"4255","Register_RR","Unlocked","RegisterRG","42"
"4257","SecurityRouting_SuspitiosCalls","Unlocked","SecureLogixRG","43"
"4258","SecurityRouting_GoodCalls","Locked","SecureLogixRG","43"
"4259","SecurityRouting_BadCalls","Unlocked","SecureLogixRG","43"
"4265","to_Italy_TG-1","Unlocked","MasterScope","44"
"4266","from_iItaly_TG-2","Unlocked","MasterScope","44"
"4268","GenericTeamsUsers","Unlocked","Novartis","45"
"4269","NotPrefixTeamUsersRouting","Unlocked","Novartis","45"
"4270","Register_RR","Unlocked","Register_routing","46"
