id,name,type,bidirectional,sourceNodeName,destinationNodeName,operativeState
"52","3-4","Regular","True","Israel-HQ_3","China_4","Available"
"53","2-3","Regular","True","Paris_2","Israel-HQ_3","Available"
"54","2-4","Regular","True","Paris_2","China_4","Available"
"56","1-6","Regular","True","New_York_1","New_Jersey_6","Available"
"57","3-8","Regular","True","Israel-HQ_3","Beer_Sheva_8","Available"
"110","1-2","Regular","True","New_York_1","Paris_2","Available"
"127","7-9","Regular","True","Texas_7","Italy-9","Available"
"151","2-6","Regular","True","Paris_2","New_Jersey_6","Available"
"167","1-9","Regular","True","New_York_1","Italy-9","Available"
"169","1-3","Regular","True","New_York_1","Israel-HQ_3","Available"
"170","1-7","Regular","True","New_York_1","Texas_7","Available"
"202","4-7","Regular","True","China_4","Texas_7","Available"
"212","1-4","Regular","True","New_York_1","China_4","Available"
"213","2-5","Regular","True","Paris_2","Haifa_5","Available"
"227","6-9","Regular","True","New_Jersey_6","Italy-9","Available"
"244","1-5","Regular","True","New_York_1","Haifa_5","Available"
"245","2-8","Regular","True","Paris_2","Beer_Sheva_8","Available"
"254","3-6","Regular","True","Israel-HQ_3","New_Jersey_6","Available"
"255","to_Texas","Node to 3rd party","True","Texas_7","NotAudioCodesSBC","Available"
"295","New_Connection","Node to 3rd party","True","Texas_7","noname","Available"
"302","15-16","Regular","True","Rome","Venice","Available"
"303","16-17","Regular","True","Venice","Milan","Available"
"304","9-16","Regular","True","Italy-9","Venice","Available"
"305","9-17","Regular","True","Italy-9","Milan","Available"
"306","9-15","Regular","True","Italy-9","Rome","Available"
"309","3-9","Regular","True","Israel-HQ_3","Italy-9","Available"
