MESSAGE_CODE,MESSAGE_CLASS,MESSAGE_TEXT,dataset_name,action,type
91073,RADIUS,RADIUS DTLS: Conversation with OCSP server ended with failure,alert,,alarm
91074,RADIUS,RADIUS DTLS: Received OCSP response,alert,,alert
91075,RADIUS,RADIUS DTLS: OCSP status of user certificate is good,cert,,
91076,RADIUS,RADIUS DTLS: OCSP status of user certificate is revoked,cert,,
91077,RADIUS,RADIUS DTLS: OCSP status of user certificate is unknown,cert,,
91078,RADIUS,RADIUS DTLS: Handshake failed because OCSP status is unknown,alert,,alrm
91079,RADIUS,RADIUS DTLS: Performed fallback to secondary OCSP server,alert,,alert
91080,RADIUS,RADIUS DTLS: Performed fallback to secondary OCSP server,alert,,alert
91081,RADIUS,RADIUS DTLS: OCSP server URL is invalid,alert,,alert
91082,RADIUS,RADIUS DTLS: Connection to OCSP server failed,alert,,alarm
91083,RADIUS,RADIUS DTLS: OCSP server response is invalid,alert,,warning
91084,RADIUS,RADIUS DTLS: OCSP server returned an error,alert,,warning
91085,RADIUS,RADIUS DTLS: OCSP server did not provide the required nonce in response,alert,,alert
91086,RADIUS,RADIUS DTLS: OCSP server response nonce verification failed,alert,,alarm
91087,RADIUS,RADIUS DTLS: OCSP server response time verification failed,alert,,alarm
91088,RADIUS,RADIUS DTLS: OCSP server response signature verification failed,alert,,alarm
91089,RADIUS,RADIUS DTLS: Lookup certificate status in OCSP cache,alert,,alert
91090,RADIUS,RADIUS DTLS:Certificate status was not found in OCSP cache,alert,,alert
91091,RADIUS,RADIUS DTLS: Lookup Certificate status in OCSP cache succeeded,general,,
91092,RADIUS,RADIUS DTLS: ISE will continue to CRL verification if it is configured for specific CA,alert,,alert
91093,RADIUS,RADIUS DTLS: OCSP response not cached,alert,,warning
91094,RADIUS,RADIUS DTLS: Take OCSP servers list from AIA extension of client certificate,alert,,alert
91095,RADIUS,RADIUS DTLS: Take OCSP servers list from OCSP service configuration,alert,,alert
91096,RADIUS,RADIUS DTLS: Sent an OCSP request to the next OCSP server in the list,alert,,alert
91097,RADIUS,RADIUS DTLS: No valid OCSP server URLs found in the AIA extension of client certificate,alert,,warning
91098,RADIUS,RADIUS DTLS: No more OCSP servers in AIA estension of client certificate,alert,,warning
91099,RADIUS,RADIUS DTLS: No AIA extension in client certificate,alert,,alert
91100,RADIUS,RADIUS DTLS: Handshake failed because OCSP is unreachable,alert,,alarm
91101,RADIUS,RADIUS DTLS: User certificate was revoked by CRL verification,cert,,
91102,RADIUS,RADIUS DTLS: client Identity check failed,alert,,alarm
91103,RADIUS,RADIUS DTLS: client Identity check needed,alert,,warning
91104,RADIUS,RADIUS DTLS: no need to run Client Identity check,alert,,alert
91105,RADIUS,RADIUS DTLS: sent client hello verify request,alert,,alert
91106,RADIUS,RADIUS DTLS: received client hello verify request,alert,,alert
91107,RADIUS,RADIUS DTLS: TLS handshake failed because of client hello verification failed,alert,,alarm
91110,RADIUS,One or more Active Directory diagnostic tests failed during a scheduled run.,alert,,warning
91111,RADIUS,High authentication load detected,ids,,
