method
removeMediaResourceList
listChange
updateVoiceMailPilot
removeAarGroup
resetCiscoCatalyst6000T1VoIPGatewayT1
addTransformationProfile
addLine
listPresenceRedundancyGroup
updateGateway
removeH323Gateway
removeDhcpSubnet
resetGateway
updateRouteFilter
resetCommonDeviceConfig
updateCmcInfo
getGatewaySccpEndpoints
updateMediaResourceGroup
updateImeRouteFilterElement
updateMtp
updateVohServer
listH323Gateway
listAssignedPresenceServers
removeSafCcdPurgeBlockLearnedRoutes
listDefaultDeviceProfile
restartConferenceBridge
updateCcdHostedDNGroup
updateAdvertisedPatterns
listImeRouteFilterGroup
addCustomUserField
listRoutePartition
getAdvertisedPatterns
updateAppUser
getGeoLocationFilter
listUser
restartCallManager
updateImeServer
listHuntList
removeCalledPartyTransformationPattern
listSafForwarder
addPhone
addExternalCallControlProfile
removeRemoteDestinationProfile
addPresenceRedundancyGroup
removeAppServerInfo
addTransPattern
updateMessageWaiting
listMtp
updateTodAccess
getImportedDirectoryUriCatalogs
listDhcpSubnet
updateHuntPilot
getProcessNode
updateImeEnrolledPattern
listTransformationProfile
listImeRouteFilterElement
getVpnGateway
listHuntPilot
resetVoiceMailPort
addResourcePriorityNamespaceList
listLocation
removeLbmGroup
addAnnouncement
listTimeSchedule
restartDevicePool
getCcdRequestingService
removeApplicationUserCapfProfile
applyResourcePriorityNamespace
resetCiscoCatalyst600024PortFXSGateway
getLdapSyncStatus
updateFacInfo
getGatewayEndpointDigitalAccessT1
listCcdHostedDNGroup
addGeoLocationPolicy
listMediaResourceList
getFeatureGroupTemplate
addCalledPartyTracing
resetHuntList
getPageLayoutPreferences
addPhoneButtonTemplate
getAarGroup
getLine
removeCss
updateEnterprisePhoneConfig
updateVoiceMailPort
listCumaServerSecurityProfile
removeCallerFilterList
removeSipRoutePattern
updatePhoneNtp
getUserGroup
removeVpnProfile
addCredentialPolicy
removeRoutePattern
removeSNMPUser
removeGatewaySubunits
updateSIPNormalizationScript
getIpPhoneServices
updateH323Gateway
addFeatureGroupTemplate
applyResourcePriorityNamespaceList
updateRegionMatrix
addImeServer
listTodAccess
updateDateTimeGroup
restartSipTrunk
updateTimeSchedule
addUser
addApplicationServer
addPresenceGroup
addUnitsToGateway
getImeFirewall
listTimePeriod
updateWLANProfile
listCiscoCatalyst6000T1VoIPGatewayPri
removeRouteList
removeFacInfo
getIlsConfig
getDhcpSubnet
getLineGroup
listImeExclusionNumber
resetMtp
doDeviceReset
resetH323Phone
listPhysicalLocation
updateDirNumberAliasLookupandSync
updateProcessNodeService
updateHuntList
updateCredentialPolicy
updateLbmHubGroup
listImeFirewall
removeDevicePool
getMtp
addVoiceMailProfile
getNetworkAccessProfile
listConferenceBridge
getSrst
updateSoftKeyTemplate
listVpnGateway
removeVoiceMailPilot
removeGeoLocation
addMediaResourceGroup
listLine
updateVpnGroup
addCiscoCatalyst6000E1VoIPGateway
getMeetMe
getSdpTransparencyProfile
applyCiscoCatalyst6000T1VoIPGatewayPri
removeMobilityProfile
updateVg224
updateCcdHostedDN
listH323Phone
updateGatewayEndpointDigitalAccessT1
applyRoutePartition
removeLineGroup
listMohAudioSource
updateCallPark
getResourcePriorityNamespace
addCmcInfo
getRemoteCluster
removeCiscoCatalyst6000E1VoIPGateway
listMlppDomain
addEndUserCapfProfile
removeRoutePartition
listMohServer
removeImeClient
getCredentialPolicyDefault
getLineOptions
updateDeviceMobilityGroup
removePhoneSecurityProfile
getSyslogConfiguration
resetSipTrunkSecurityProfile
restartResourcePriorityNamespaceList
addLdapSyncCustomField
listBillingServer
resetDirectedCallPark
listLdapDirectory
updateLbmGroup
updateSafSecurityProfile
removeCalledPartyTracing
addUserGroup
removeRemoteCluster
getFeatureControlPolicy
addGatekeeper
restartPhoneButtonTemplate
listSoftKeyTemplate
updateDirectedCallPark
listMeetMe
listProcessNode
listVoiceMailPilot
resetCallManagerGroup
getLicensedUser
updateLdapFilter
addLocation
updateSoftKeySet
listRoutePlan
getHuntPilot
listSipTrunkSecurityProfile
getCiscoCatalyst600024PortFXSGateway
removeEnterpriseFeatureAccessConfiguration
getRemoteDestination
removeImeServer
removeDeviceProfile
getApplicationUserCapfProfile
doChangeDNDStatus
applyDevicePool
addGatewayEndpointDigitalAccessBri
removeTransformationProfile
updateProcessNode
updateAnnunciator
addGatewayEndpointDigitalAccessPri
listDdi
updateSrst
addGatewayEndpointDigitalAccessT1
listImeClient
removeImeFirewall
getEnterprisePhoneConfig
getUserProfileProvision
removeResourcePriorityNamespace
addUcService
addMessageWaiting
restartPhone
getLbmHubGroup
restartH323Phone
removeSipTrunkSecurityProfile
addTimePeriod
getRecordingProfile
addUniversalLineTemplate
listLineGroup
removeTransPattern
addVpnGateway
getLocalRouteGroup
getH323Gateway
getHandoffConfiguration
updateRoutePattern
updateCommonPhoneConfig
addGatewayEndpointAnalogAccess
removeAudioCodecPreferenceList
getLdapSystem
