Type,Subtype,Id,AttrList,Parents,Origin,Destination
attr,,,size="8;;6";ratio=fill,,,
attr,node,,fontsize=24,,,
edge,,,,,ciafan,computefan
edge,,,,,fan,increment
edge,,,,,computefan,fan
edge,,,,,stringdup,fatal
edge,,,,,main,exit
edge,,,,,main,interp_err
edge,,,,,main,ciafan
edge,,,,,main,fatal
edge,,,,,main,malloc
edge,,,,,main,strcpy
edge,,,,,main,getopt
edge,,,,,main,init_index
edge,,,,,main,strlen
edge,,,,,fan,fatal
edge,,,,,fan,ref
edge,,,,,fan,interp_err
edge,,,,,ciafan,def
edge,,,,,fan,free
edge,,,,,computefan,stdprintf
edge,,,,,computefan,get_sym_fields
edge,,,,,fan,exit
edge,,,,,fan,malloc
edge,,,,,increment,strcmp
edge,,,,,computefan,malloc
edge,,,,,fan,stdsprintf
edge,,,,,fan,strlen
edge,,,,,computefan,strcmp
edge,,,,,computefan,realloc
edge,,,,,computefan,strlen
edge,,,,,debug,sfprintf
edge,,,,,debug,strcat
edge,,,,,stringdup,malloc
edge,,,,,fatal,sfprintf
edge,,,,,stringdup,strcpy
edge,,,,,stringdup,strlen
edge,,,,,fatal,exit
cluster,,error.h,label="error.h",,,
cluster,,sfio.h,label="sfio.h",,,
cluster,,ciafan.c,label="ciafan.c",,,
cluster,,util.c,label="util.c",,,
cluster,,query.h,label="query.h",,,
cluster,,field.h,,,,
cluster,,stdio.h,label="stdio.h",,,
cluster,,<libc.a>,,,,
cluster,,stdlib.h,label="stdlib.h",,,
cluster,,main.c,,,,
cluster,,index.h,,,,
cluster,,string.h,label="string.h",,,
node,,interp_err,,error.h,,
node,,sfprintf,,sfio.h,,
node,,ciafan,,ciafan.c,,
node,,computefan,,ciafan.c,,
node,,increment,,ciafan.c,,
node,,stringdup,,util.c,,
node,,fatal,,util.c,,
node,,debug,,util.c,,
node,,ref,,query.h,,
node,,def,,query.h,,
node,,get_sym_fields,,field.h,,
node,,stdprintf,,stdio.h,,
node,,stdsprintf,,stdio.h,,
node,,getopt,,<libc.a>,,
node,,exit,,stdlib.h,,
node,,malloc,,stdlib.h,,
node,,free,,stdlib.h,,
node,,realloc,,stdlib.h,,
node,,main,,main.c,,
node,,init_index,,index.h,,
node,,strcpy,,string.h,,
node,,strlen,,string.h,,
node,,strcmp,,string.h,,
node,,strcat,,string.h,,
