UserAgent,ua_type,os_name,os_version,browser_name
MSWAC,Desktop,Windows,7,OfficeOnline
Microsoft Office Excel 2014 (16.0.6925) Windows NT 10.0,Desktop,Windows,10,Excel 2014
Microsoft Office Excel 2014 (16.0.7329) Windows NT 10.0,Desktop,Windows,10,Excel 2014
Microsoft Office PowerPoint 2014 (16.0.6701) Windows NT 10.0,Desktop,Windows,10,PowerPoint 2014
Microsoft Office PowerPoint 2014 (16.0.6925) Windows NT 10.0,Desktop,Windows,10,PowerPoint 2014
"Microsoft Office PowerPoint/1.26.1007 (iOS/10.1.1; Phone; en-GB; AppStore; Apple/iPhone7,1)",Mobile,iOS,10.1.1,Safari Mobile
Microsoft Office Upload Center 2014 (16.0.7329) Windows NT 6.2,Desktop,Windows,8,Office Upload Center
Microsoft Office Visio 2014 (16.0.6701) Windows NT 10.0,Desktop,Windows,10,Visio 2014
Microsoft Office Visio 2014 (16.0.6925) Windows NT 10.0,Desktop,Windows,10,Visio 2014
Microsoft Office Visio 2014 (16.0.7329) Windows NT 10.0,Desktop,Windows,10,Visio 2014
Microsoft Office Word 2014 (16.0.6925) Windows NT 10.0,Desktop,Windows,10,Word 2014
Microsoft Office Word 2014 (16.0.7329) Windows NT 10.0,Desktop,Windows,10,Word 2014
Microsoft SkyDriveSync 17.3.6517.0809 ship; Windows NT 10.0 (10586),Desktop,Windows,10,SkyDrive Sync
Microsoft SkyDriveSync 17.3.6517.0809 ship; Windows NT 10.0 (14393),Desktop,Windows,10,SkyDrive Sync
Microsoft SkyDriveSync 17.3.6517.0809 ship; Windows NT 6.1 Service Pack 1 (7601),Desktop,Windows,7,SkyDrive Sync
Microsoft SkyDriveSync 17.3.6518.0914 ship; Mac OS X 10.12.1,Desktop,MacOS,10.12.1,SkyDrive Sync
Microsoft SkyDriveSync 17.3.6674.1021 ship; Windows NT 10.0 (14393),Desktop,Windows,10,SkyDrive Sync
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 10.0; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729),Desktop,Windows,10,Internet Explorer 11
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 10.0; WOW64; Trident/7.0; Touch; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729; Tablet PC 2.0),Desktop,Windows,10,Internet Explorer 11
"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36",Desktop,Windows,10,Chrome
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36",Desktop,Windows,10,Chrome
Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,Desktop,Windows,7,Internet Explorer 11
"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36",Desktop,Windows,7,Chrome
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; Microsoft Office Existence Discovery; Delve Middle-Tier),Desktop,Windows,7,Internet Explorer 9
OneDriveMpc/1.0,Mobile,MacOS,10.12.1,OneDrive
OneNote/15.0.4805.1000 (Windows/6.1; Desktop WOW64; en-AU; Desktop app; Dell Inc./Latitude E6330),Desktop,Windows,7,OneNote 15
OneNote/15.0.4805.1000 (Windows/6.1; Desktop WOW64; en-AU; Desktop app; Dell Inc./Latitude E7440),Desktop,Windows,7,OneNote 15
OneNote/16.0.6701.1041 (Windows/10.0; Desktop WOW64; en-AU; Desktop app; Microsoft Corporation/Surface Pro 3),Desktop,Windows,10,OneNote 16
OneNote/16.0.6925.1041 (Windows/10.0; Desktop WOW64; en-AU; Desktop app; Dell Inc./Latitude 7275),Desktop,Windows,10,OneNote 16
OneNote/16.0.6925.1041 (Windows/10.0; Desktop WOW64; en-AU; Desktop app; Microsoft Corporation/Surface Pro 3),Desktop,Windows,10,OneNote 16
