Error Code,Generic Error,Issue
400,Temporary errors-mail server will attempt to retry delivery after a delay,NA
401,Temporary errors-mail server will attempt to retry delivery after a delay,NA
402,Temporary errors-mail server will attempt to retry delivery after a delay,NA
403,Temporary errors-mail server will attempt to retry delivery after a delay,NA
404,Temporary errors-mail server will attempt to retry delivery after a delay,NA
405,Temporary errors-mail server will attempt to retry delivery after a delay,NA
406,Temporary errors-mail server will attempt to retry delivery after a delay,NA
407,Temporary errors-mail server will attempt to retry delivery after a delay,NA
408,Temporary errors-mail server will attempt to retry delivery after a delay,NA
409,Temporary errors-mail server will attempt to retry delivery after a delay,NA
410,Temporary errors-mail server will attempt to retry delivery after a delay,NA
411,Temporary errors-mail server will attempt to retry delivery after a delay,NA
412,Temporary errors-mail server will attempt to retry delivery after a delay,NA
413,Temporary errors-mail server will attempt to retry delivery after a delay,NA
414,Temporary errors-mail server will attempt to retry delivery after a delay,NA
415,Temporary errors-mail server will attempt to retry delivery after a delay,NA
416,Temporary errors-mail server will attempt to retry delivery after a delay,NA
417,Temporary errors-mail server will attempt to retry delivery after a delay,NA
418,Temporary errors-mail server will attempt to retry delivery after a delay,NA
419,Temporary errors-mail server will attempt to retry delivery after a delay,NA
420,Temporary errors-mail server will attempt to retry delivery after a delay,Timeout connection problem- there have been issues during the message transfer.
421,Temporary errors-mail server will attempt to retry delivery after a delay,The service is unavailable due to a connection problem- it may refer to an exceeded limit of simultaneous connections  or a more general temporary problem.
422,Temporary errors-mail server will attempt to retry delivery after a delay,The recipient mailbox has exceeded its storage limit.
423,Temporary errors-mail server will attempt to retry delivery after a delay,NA
424,Temporary errors-mail server will attempt to retry delivery after a delay,NA
425,Temporary errors-mail server will attempt to retry delivery after a delay,NA
426,Temporary errors-mail server will attempt to retry delivery after a delay,NA
427,Temporary errors-mail server will attempt to retry delivery after a delay,NA
428,Temporary errors-mail server will attempt to retry delivery after a delay,NA
429,Temporary errors-mail server will attempt to retry delivery after a delay,NA
430,Temporary errors-mail server will attempt to retry delivery after a delay,NA
431,Temporary errors-mail server will attempt to retry delivery after a delay,Not enough space on the disk  or an out of memory condition due to a file overload.
432,Temporary errors-mail server will attempt to retry delivery after a delay,Typical side-message- The recipient Exchange Server incoming mail queue has been stopped.
433,Temporary errors-mail server will attempt to retry delivery after a delay,NA
434,Temporary errors-mail server will attempt to retry delivery after a delay,NA
435,Temporary errors-mail server will attempt to retry delivery after a delay,NA
436,Temporary errors-mail server will attempt to retry delivery after a delay,NA
437,Temporary errors-mail server will attempt to retry delivery after a delay,NA
438,Temporary errors-mail server will attempt to retry delivery after a delay,NA
439,Temporary errors-mail server will attempt to retry delivery after a delay,NA
440,Temporary errors-mail server will attempt to retry delivery after a delay,NA
441,Temporary errors-mail server will attempt to retry delivery after a delay,The recipient server is not responding.
442,Temporary errors-mail server will attempt to retry delivery after a delay,The connection was dropped during the transmission.
443,Temporary errors-mail server will attempt to retry delivery after a delay,NA
444,Temporary errors-mail server will attempt to retry delivery after a delay,NA
445,Temporary errors-mail server will attempt to retry delivery after a delay,NA
446,Temporary errors-mail server will attempt to retry delivery after a delay,The maximum hop count was exceeded for the message- an internal loop has occurred.
447,Temporary errors-mail server will attempt to retry delivery after a delay,Your outgoing message timed out because of issues concerning the incoming server.
448,Temporary errors-mail server will attempt to retry delivery after a delay,NA
449,Temporary errors-mail server will attempt to retry delivery after a delay,A routing error.
450,Temporary errors-mail server will attempt to retry delivery after a delay,Requested action not taken – The user mailbox is unavailable. The mailbox has been corrupted or placed on an offline server  or your email hasnot been accepted for IP problems or blacklisting.
451,Temporary errors-mail server will attempt to retry delivery after a delay,Requested action aborted – Local error in processing. Your ISP server or the server that got a first relay from yours has encountered a connection problem.
452,Temporary errors-mail server will attempt to retry delivery after a delay,Too many emails sent or too many recipients- more in general  a server storage limit exceeded.
453,Temporary errors-mail server will attempt to retry delivery after a delay,NA
454,Temporary errors-mail server will attempt to retry delivery after a delay,NA
455,Temporary errors-mail server will attempt to retry delivery after a delay,NA
456,Temporary errors-mail server will attempt to retry delivery after a delay,NA
457,Temporary errors-mail server will attempt to retry delivery after a delay,NA
458,Temporary errors-mail server will attempt to retry delivery after a delay,NA
459,Temporary errors-mail server will attempt to retry delivery after a delay,NA
460,Temporary errors-mail server will attempt to retry delivery after a delay,NA
461,Temporary errors-mail server will attempt to retry delivery after a delay,NA
462,Temporary errors-mail server will attempt to retry delivery after a delay,NA
463,Temporary errors-mail server will attempt to retry delivery after a delay,NA
464,Temporary errors-mail server will attempt to retry delivery after a delay,NA
465,Temporary errors-mail server will attempt to retry delivery after a delay,NA
466,Temporary errors-mail server will attempt to retry delivery after a delay,NA
467,Temporary errors-mail server will attempt to retry delivery after a delay,NA
468,Temporary errors-mail server will attempt to retry delivery after a delay,NA
469,Temporary errors-mail server will attempt to retry delivery after a delay,NA
470,Temporary errors-mail server will attempt to retry delivery after a delay,NA
471,Temporary errors-mail server will attempt to retry delivery after a delay,An error of your mail server  often due to an issue of the local anti-spam filter.
472,Temporary errors-mail server will attempt to retry delivery after a delay,NA
473,Temporary errors-mail server will attempt to retry delivery after a delay,NA
474,Temporary errors-mail server will attempt to retry delivery after a delay,NA
475,Temporary errors-mail server will attempt to retry delivery after a delay,NA
476,Temporary errors-mail server will attempt to retry delivery after a delay,NA
477,Temporary errors-mail server will attempt to retry delivery after a delay,NA
478,Temporary errors-mail server will attempt to retry delivery after a delay,NA
479,Temporary errors-mail server will attempt to retry delivery after a delay,NA
480,Temporary errors-mail server will attempt to retry delivery after a delay,NA
481,Temporary errors-mail server will attempt to retry delivery after a delay,NA
482,Temporary errors-mail server will attempt to retry delivery after a delay,NA
483,Temporary errors-mail server will attempt to retry delivery after a delay,NA
484,Temporary errors-mail server will attempt to retry delivery after a delay,NA
485,Temporary errors-mail server will attempt to retry delivery after a delay,NA
486,Temporary errors-mail server will attempt to retry delivery after a delay,NA
487,Temporary errors-mail server will attempt to retry delivery after a delay,NA
488,Temporary errors-mail server will attempt to retry delivery after a delay,NA
489,Temporary errors-mail server will attempt to retry delivery after a delay,NA
490,Temporary errors-mail server will attempt to retry delivery after a delay,NA
491,Temporary errors-mail server will attempt to retry delivery after a delay,NA
492,Temporary errors-mail server will attempt to retry delivery after a delay,NA
493,Temporary errors-mail server will attempt to retry delivery after a delay,NA
494,Temporary errors-mail server will attempt to retry delivery after a delay,NA
495,Temporary errors-mail server will attempt to retry delivery after a delay,NA
496,Temporary errors-mail server will attempt to retry delivery after a delay,NA
497,Temporary errors-mail server will attempt to retry delivery after a delay,NA
498,Temporary errors-mail server will attempt to retry delivery after a delay,NA
500,Permanent failure-should not retry sending an email that comes back with such an error.,A syntax error- the server couldnot recognize the command.
501,Permanent failure-should not retry sending an email that comes back with such an error.,Another syntax error  not in the command but in its parameters or arguments.
502,Permanent failure-should not retry sending an email that comes back with such an error.,The command is not implemented.
503,Permanent failure-should not retry sending an email that comes back with such an error.,The server has encountered a bad sequence of commands  or it requires an authentication.
504,Permanent failure-should not retry sending an email that comes back with such an error.,A command parameter is not implemented.
505,Permanent failure-should not retry sending an email that comes back with such an error.,NA
506,Permanent failure-should not retry sending an email that comes back with such an error.,NA
507,Permanent failure-should not retry sending an email that comes back with such an error.,NA
508,Permanent failure-should not retry sending an email that comes back with such an error.,NA
509,Permanent failure-should not retry sending an email that comes back with such an error.,NA
510,Permanent failure-should not retry sending an email that comes back with such an error.,NA
511,Permanent failure-should not retry sending an email that comes back with such an error.,NA
512,Permanent failure-should not retry sending an email that comes back with such an error.,A DNS error- the host server for the recipient domain name cannot be found.
513,Permanent failure-should not retry sending an email that comes back with such an error.,Address type is incorrect- another problem concerning address misspelling. In few cases  however  it related to an authentication issue.
514,Permanent failure-should not retry sending an email that comes back with such an error.,NA
515,Permanent failure-should not retry sending an email that comes back with such an error.,NA
516,Permanent failure-should not retry sending an email that comes back with such an error.,NA
517,Permanent failure-should not retry sending an email that comes back with such an error.,NA
518,Permanent failure-should not retry sending an email that comes back with such an error.,NA
519,Permanent failure-should not retry sending an email that comes back with such an error.,NA
520,Permanent failure-should not retry sending an email that comes back with such an error.,NA
521,Permanent failure-should not retry sending an email that comes back with such an error.,NA
522,Permanent failure-should not retry sending an email that comes back with such an error.,NA
523,Permanent failure-should not retry sending an email that comes back with such an error.,The total size of your mailing exceeds the recipient server limits.
524,Permanent failure-should not retry sending an email that comes back with such an error.,NA
525,Permanent failure-should not retry sending an email that comes back with such an error.,NA
526,Permanent failure-should not retry sending an email that comes back with such an error.,NA
527,Permanent failure-should not retry sending an email that comes back with such an error.,NA
528,Permanent failure-should not retry sending an email that comes back with such an error.,NA
529,Permanent failure-should not retry sending an email that comes back with such an error.,NA
530,Permanent failure-should not retry sending an email that comes back with such an error.,Normally  an authentication problem. But sometimes it about the recipient server blacklisting yours  or an invalid email address.
531,Permanent failure-should not retry sending an email that comes back with such an error.,NA
532,Permanent failure-should not retry sending an email that comes back with such an error.,NA
533,Permanent failure-should not retry sending an email that comes back with such an error.,NA
534,Permanent failure-should not retry sending an email that comes back with such an error.,NA
535,Permanent failure-should not retry sending an email that comes back with such an error.,Authentication credentials invalid 
536,Permanent failure-should not retry sending an email that comes back with such an error.,NA
537,Permanent failure-should not retry sending an email that comes back with such an error.,NA
538,Permanent failure-should not retry sending an email that comes back with such an error.,NA
539,Permanent failure-should not retry sending an email that comes back with such an error.,NA
