category.name,sub_category.name,severity.name,smart_event_info.name
CATEGORY_UNKNOWN,SUBCATEGORY_UNKNOWN,EVENT_SEVERITY_UNKNOWN,MNEMONIC_UNKNOWN
TOPOLOGY,SUBCATEGORY_UNKNOWN,EVENT_SEVERITY_MAJOR,INFRA_CLUSTER_PARTITIONED
TOPOLOGY,SUBCATEGORY_UNKNOWN,EVENT_SEVERITY_CRITICAL,INFRA_REACHABLE_CLUSTER_NOT_IN_QUORUM
TOPOLOGY,SUBCATEGORY_UNKNOWN,EVENT_SEVERITY_MAJOR,INFRA_NODE_ACCESS_ISSUE
TOPOLOGY,SUBCATEGORY_UNKNOWN,EVENT_SEVERITY_MINOR,INFRA_NODE_ACCESS_ISSUE
TOPOLOGY,SUBCATEGORY_UNKNOWN,EVENT_SEVERITY_MINOR,INFRA_APIC_NOT_POLLED
TOPOLOGY,SUBCATEGORY_UNKNOWN,EVENT_SEVERITY_MINOR,INFRA_NODE_CONFIG_ISSUE
TOPOLOGY,SUBCATEGORY_UNKNOWN,EVENT_SEVERITY_MAJOR,INFRA_NODE_INACTIVE
TOPOLOGY,SUBCATEGORY_UNKNOWN,EVENT_SEVERITY_MAJOR,INFRA_NODE_CONFIG_ISSUE
TOPOLOGY,SUBCATEGORY_UNKNOWN,EVENT_SEVERITY_INFO,INFRA_NODE_ACCESSED
TOPOLOGY,SUBCATEGORY_UNKNOWN,EVENT_SEVERITY_INFO,INFRA_CLUSTER_FIT_FOR_ANALYSIS
TOPOLOGY,SUBCATEGORY_UNKNOWN,EVENT_SEVERITY_CRITICAL,INFRA_NO_NODE_DISCOVERED
SECURITY,SECURITY_INEQUIVALENCE,EVENT_SEVERITY_MAJOR,PERMIT_POLICY_VIOLATION
SECURITY,SECURITY_INEQUIVALENCE,EVENT_SEVERITY_CRITICAL,DENY_POLICY_VIOLATION
SECURITY,SECURITY_INEQUIVALENCE,EVENT_SEVERITY_MINOR,DO_NOT_LOG_PERMIT_POLICY_VIOLATION
SECURITY,SECURITY_INEQUIVALENCE,EVENT_SEVERITY_MINOR,LOG_PERMIT_POLICY_VIOLATION
SECURITY,SECURITY_INEQUIVALENCE,EVENT_SEVERITY_MINOR,DO_NOT_LOG_DENY_POLICY_VIOLATION
SECURITY,SECURITY_INEQUIVALENCE,EVENT_SEVERITY_MINOR,LOG_DENY_POLICY_VIOLATION
SECURITY,SECURITY_INEQUIVALENCE,EVENT_SEVERITY_INFO,DENY_POLICY_ENFORCED
SECURITY,SECURITY_INEQUIVALENCE,EVENT_SEVERITY_INFO,PERMIT_POLICY_ENFORCED
SECURITY,SECURITY_INEQUIVALENCE,EVENT_SEVERITY_INFO,LOG_DENY_POLICY_ENFORCED
