LocationFull,Location,Organisation,CareLocation,Specialty,Specialty_Match,Clinical_Directorate,Location_Type,Total_Beds,Comments,LOS_T1,LOS_T2,LOS_T3,LOS_T4,LOS_T5,TimeUnit,
Emergency,ED,Bradford,BRI,Mixed Specialties,*,Emergency,Mixed,28,,60,120,180,240,999999,m,
BRI Ward 02,BRI Ward 02,Bradford,BRI,Surgical Specialties,*,Womens and Childrens,Children,28,,8,16,24,48,999999,h,
BRI Ward 03,BRI Ward 03,Bradford,BRI,Elderly Care,*,Medicine,Adult,31,,8,16,24,48,999999,h,
BRI Ward 05,BRI Ward 05,Bradford,BRI,Mixed Specialties,*,Acute Surgery,Adult,2,,8,16,24,48,999999,h,
BRI Ward 06,BRI Ward 06,Bradford,BRI,Nephrology / Gastroenterology,*,Medicine,Adult,29,,8,16,24,48,999999,h,
BRI Ward 07,BRI Ward 07,Bradford,BRI,Haematology,*,Cancer Services,Adult,14,,8,16,24,48,999999,h,
BRI Ward 07D,BRI Ward 07D,Bradford,BRI,Haematology,*,Cancer Services,Adult,9,,8,16,24,48,999999,h,
BRI Ward 08,BRI Ward 08,Bradford,BRI,General Surgery,*,Acute Surgery,Male,28,,8,16,24,48,999999,h,
BRI Ward 11,BRI Ward 11,Bradford,BRI,General Surgery,*,Acute Surgery,Female,25,,8,16,24,48,999999,h,
BRI Ward 12,BRI Ward 12,Bradford,BRI,Gynaecology / Breast Surgery,*,Womens and Childrens,Female,23,,8,16,24,48,999999,h,
BRI Ward 14,BRI Ward 14,Bradford,BRI,Urology,*,Acute Surgery,Adult,17,,8,16,24,48,999999,h,
BRI Ward 14D,BRI Ward 14D,Bradford,BRI,Urology,*,Acute Surgery,Adult,3,,8,16,24,48,999999,h,
BRI Ward 15,BRI Ward 15,Bradford,BRI,Medical Oncology,*,Cancer Services,Adult,18,,8,16,24,48,999999,h,
BRI Ward 15D,BRI Ward 15D,Bradford,BRI,Medical Oncology,*,Cancer Services,Adult,10,,8,16,24,48,999999,h,
BRI Ward 16,BRI Ward 16,Bradford,BRI,Paediatrics,*,Womens and Childrens,Children,10,,8,16,24,48,999999,h,
BRI Ward 16 Observation,BRI Ward 16 Obs,Bradford,BRI,Paediatrics,*,Womens and Childrens,Children,4,,8,16,24,48,999999,h,
BRI Ward 17,BRI Ward 17,Bradford,BRI,Paediatrics,*,Womens and Childrens,Children,25,,8,16,24,48,999999,h,
BRI Ward 18,BRI Ward 18,Bradford,BRI,ENT / Ophthalmology,*,Head & Neck,Adult,24,"Includes 4 beds in a PCU, these beds are open 5D 4N",8,16,24,48,999999,h,
BRI Ward 19,BRI Ward 19,Bradford,BRI,General Medicine,*,Medicine,Adult,22,,8,16,24,48,999999,h,
BRI Ward 20,BRI Ward 20,Bradford,BRI,Surgical Specialties,*,Acute Surgery,Adult,21,,8,16,24,48,999999,h,
BRI Ward 22,BRI Ward 22,Bradford,BRI,Cardiology / General Medicine,*,Medicine,Adult,24,,8,16,24,48,999999,h,
BRI 22 Cardiology Day Case Unit,BRI 22,Bradford,BRI,Cardiology,*,Medicine,Adult,5,,8,16,24,48,999999,h,
BRI Ward 23,BRI Ward 23,Bradford,BRI,Respiratory Medicine,*,Medicine,Adult,28,,8,16,24,48,999999,h,
BRI Ward 24,BRI Ward 24,Bradford,BRI,Infectious Diseases,*,Medicine,Adult,12,,8,16,24,48,999999,h,
BRI Ward 26,BRI Ward 26,Bradford,BRI,Vascular Surgery,*,Acute Surgery,Adult,28,,8,16,24,48,999999,h,
BRI Ward 27,BRI Ward 27,Bradford,BRI,Orthopaedics / Plastic Surgery,*,Orthopaedics,Adult,28,,8,16,24,48,999999,h,
BRI Ward 28,BRI Ward 28,Bradford,BRI,Orthopaedics,*,Orthopaedics,Adult,28,,8,16,24,48,999999,h,
BRI Ward 29,BRI Ward 29,Bradford,BRI,Elderly Care,*,Medicine,Adult,28,,8,16,24,48,999999,h,
BRI Ward 30,BRI Ward 30,Bradford,BRI,Elderly Care,*,Medicine,Adult,28,,8,16,24,48,999999,h,
BRI AMU1 - location Ward 1,BRI AMU1,Bradford,BRI,General Medicine,*,Medicine,Adult,22,,8,16,24,48,999999,h,
BRI AMU4 - Previously MAU - location Ward 4,BRI AMU4,Bradford,BRI,General Medicine,*,Medicine,Adult,22,,8,16,24,48,999999,h,
BRI ACU - Ambulatory Care Unit (Previously AMU A),BRI ACU,Bradford,BRI,General Medicine,*,Medicine,Adult,0,,8,16,24,48,999999,h,
BRI ASNU,BRI ASNU,Bradford,BRI,General Medicine / Neurology,*,Medicine,Adult,20,,8,16,24,48,999999,h,
