event,act,action
Delivery,Delayed*,delayed
Delivery,Expired,deleted
Delivery,Failed*,blocked
Delivery,Success*,delivered
Policy,Accept,accepted
Policy,Data Usage allow,allowed
Policy,Data Usage block,blocked
Policy,Data Usage drop attachments,dropped
Policy,Drop and Quarantine,quarantined
Policy,Unknown Policy Action,unknown
