modelName,tag
Alerts,alert
"Application_State",listening
"Application_State",port
"Application_State",process
"Application_State",report
"Application_State",service
Authentication,authentication
Authentication,default
Authentication,insecure
Authentication,privileged
Certificates,certificate
Certificates,ssl
Change,change
Change,audit
Change,endpoint
Change,network
Change,account
Change,instance
"Change_Analysis",change
"Change_Analysis",audit
"Change_Analysis",endpoint
"Change_Analysis",network
"Change_Analysis",account
"Compute_Inventory",inventory
"Compute_Inventory",cpu
"Compute_Inventory",memory
"Compute_Inventory",network
"Compute_Inventory",storage
"Compute_Inventory",system
"Compute_Inventory",version
"Compute_Inventory",user
"Compute_Inventory",default
"Compute_Inventory",virtual
"Compute_Inventory",snapshot
"Compute_Inventory",tools
DLP,dlp
DLP,incident
"Data_Access",data
"Data_Access",access
Databases,database
Databases,instance
Databases,stats
Databases,session
Databases,lock
Databases,query
Databases,tablespace
Email,email
Email,delivery
Email,content
Email,filter
Endpoint,listening
Endpoint,port
Endpoint,process
Endpoint,report
Endpoint,service
Endpoint,endpoint
Endpoint,filesystem
Endpoint,registry
"Event_Signatures","track_event_signatures"
"Interprocess_Messaging",messaging
"Intrusion_Detection",ids
"Intrusion_Detection",attack
JVM,jvm
JVM,threading
JVM,runtime
JVM,os
JVM,compilation
JVM,classloading
JVM,memory
Malware,malware
Malware,attack
Malware,operations
"Network_Resolution",network
"Network_Resolution",resolution
"Network_Resolution",dns
"Network_Sessions",network
"Network_Sessions",session
"Network_Sessions",start
"Network_Sessions",end
"Network_Sessions",dhcp
"Network_Sessions",vpn
"Network_Traffic",network
"Network_Traffic",communicate
Performance,performance
Performance,cpu
Performance,facilities
Performance,memory
Performance,storage
Performance,network
Performance,os
Performance,time
Performance,synchronize
Performance,uptime
"Splunk_Audit",modaction
"Splunk_Audit",invocation
"Splunk_CIM_Validation",""
"Ticket_Management",ticketing
"Ticket_Management",change
"Ticket_Management",incident
"Ticket_Management",problem
Updates,update
Updates,status
Updates,error
Vulnerabilities,vulnerability
Vulnerabilities,report
WEC,""
Web,web
Web,proxy
Web,storage
"dm_search_resource_use",""
windows,""
