code_prefix,proc_type,description
S,Service,TeamViewer_Service.exe - background service process
G,GUI,TeamViewer.exe - main GUI process
L,Loader,tv_w32.exe or tv_x64.exe - hook loader process
H,Hook,Hook handler inside GUI process
0,PreInit,Pre-initialization or unclassified
