TZ,UTC offset,,Abbreviation
Pacific/Kiritimati,+14:00,,UTC+14
Pacific/Tongatapu,+13:00,,UTC+13
Pacific/Chatham,+12:45,,UTC+12:45
Pacific/Auckland,+12:00,+13:00,NZST/NZDT
Asia/Magadan,+11:00,,UTC+11
Australia/Lord_Howe,+10:30,,UTC+10:30
Australia/Sydney,+10:00,+11:00,AEST/AEDT
Australia/Darwin,+09:30,,ACST
Asia/Seoul,+09:00,,KST
Australia/Eucla,+08:45,,UTC+8:45
Asia/Hong_Kong,+08:00,,HKT
Asia/Bangkok,+07:00,,UTC+7
Asia/Rangoon,+06:30,,UTC+6:30
Asia/Dhaka,+06:00,,UTC+6
Asia/Katmandu,+05:45,,UTC+5:45
Asia/Kolkata,+05:30,,IST
Asia/Yekaterinburg,+05:00,,UTC+5
Asia/Kabul,+04:30,,UTC+4:30
Asia/Dubai,+04:00,,UTC+4
Asia/Tehran,+03:30,,UTC+3:30
Europe/Moscow,+03:00,,MSK
Africa/Cairo,+02:00,,EET
Europe/Brussels,+01:00,+02:00,CET/CEST
Europe/Dublin,+00:00,+01:00,
UTC,+00:00,+00:00,UTC
Atlantic/Azores,-01:00,,UTC-1
America/Noronha,-02:00,,UTC-2
America/Buenos_Aires,-03:00,,UTC-3
America/Caracas,-04:00,,UTC-4
America/New_York,−05:00,−04:00,Eastern
America/Chicago,−06:00,−05:00,Central
America/Denver,−07:00,−06:00,Mountain
America/Los_Angeles,−08:00,−07:00,Pacific
America/Anchorage,−09:00,−08:00,AKST
Pacific/Marquesas,−09:30,,UTC-9:30
Pacific/Honolulu,−10:00,,UTC-10
Pacific/Midway,−11:00,,UTC-11
