vendor_action,action
Allowed,allowed
Blocked,blocked
CleanedUp,blocked
CleanupFailed,allowed
CommandAndControlDetected,allowed
CommandAndControlDismissed,allowed
CoreCleanFailed,allowed
CoreClean,blocked
CoreCleanNothingFound,allowed
CoreDetection,allowed
CoreDismissed,deferred
CoreOutbreakDismissed,deferred
CoreHmpaClean,blocked
CoreHmpaCleanFailed,allowed
CoreHmpaCleanNothingFound,deferred
CoreHmpaReboot,allowed
CoreOutbreak,allowed
CorePuaClean,blocked
CorePuaCleanFailed,allowed
CorePuaCleanNothingFound,deferred
CorePuaDetection,allowed
CorePuaReboot,allowed
CorePuaRemoteDetection,allowed
CoreReboot,allowed
CoreRemoteDetection,allowed
CoreRestoreFailed,allowed
CoreSystemClean,blocked
CoreSystemCleanFailed,allowed
CoreRestore,allowed
CoreRestoreFailed,allowed
CoreReboot,allowed
CorePuaRestore,allowed
CorePuaRestoreFailed,allowed
DataLossPreventionUserAllowed,allowed
DownloadReputationAutoAuthorised,allowed
DownloadReputationAutoBlocked,blocked
DownloadReputationUserAuthorised,allowed
DownloadReputationUserBlocked,blocked
Detected,allowed
HIPSCleanedUp,blocked
HIPSCleanupFailed,allowed
HIPSDismissed,blocked
HIPSDetected,allowed
HmpaApplicationHijacking,blocked
HmpaBehaviourPrevented,blocked
HmpaCameraMic,allowed
HmpaCookiesDeleted,blocked
HmpaCookiesDetected,allowed
HmpaCredGuard,blocked
HmpaCredGuardResolved,blocked
HmpaCryptoGuard,blocked
HmpaCryptoGuardResolved,allowed
HmpaCryptoGuardSMB,allowed
HmpaCryptoGuardSMBOrigin,allowed
HmpaCryptoGuardSMBResolved,allowed
HmpaExploitPrevented,blocked
HmpaMalwareDetected,allowed
HmpaMalwareCleanup,blocked
HmpaPrivGuard,blocked
HmpaPrivGuardResolved,blocked
HmpaPuaDetected,allowed
HmpaPuaCleanup,blocked
HmpaSafeBrowsing,allowed
HmpaScanCompleted,allowed
HmpaScanReboot,allowed
HmpaScanStarted,allowed
HmpaScanClean,allowed
HmpaThreat,allowed
LowRepAppDetected,allowed
LowRepAppCleanedUp,blocked
NotProtected,allowed
Protected,blocked
Reprotected,blocked
SecurityIssue,allowed
PuaCleanupFailed,allowed
PuaDetected,allowed
PuaDismissed,blocked
PuaCleanedUp,blocked
WebControlViolation,blocked
WebFilteringBlocked,blocked
AlertedOnly,allowed
UpdateSuccess,allowed
UpdateFailure,deferred
Success,allowed
Registered,allowed
