PSParentPath, FriendlyName
Microsoft.PowerShell.Security\Certificate::LocalMachine\My, "Personal"
Microsoft.PowerShell.Security\Certificate::LocalMachine\Remote Desktop, "Remote Desktop"
Microsoft.PowerShell.Security\Certificate::LocalMachine\Root, "Trusted Root Certification Authorities"
Microsoft.PowerShell.Security\Certificate::LocalMachine\CA, "Intermediate Certification Authorities"
Microsoft.PowerShell.Security\Certificate::LocalMachine\TrustedPublisher, "Trusted Publishers"
Microsoft.PowerShell.Security\Certificate::LocalMachine\Trust, "Enterprise Trust"
Microsoft.PowerShell.Security\Certificate::LocalMachine\UserDS, "Active Directory User Object"
