category,threat
0,Unknown
1,Malicious
2,Malicious
3,Malicious
4,Malicious
5,Suspicious
6,Suspicious
7,Malicious
8,Other
9,Suspicious
10,Suspicious
11,Other
12,Other
13,Malicious
14,Other
15,Suspicious
16,Suspicious
17,Suspicious
18,Other
19,Good
20,Suspicious
21,Malicious
22,Malicious
23,Malicious
24,Malicious
25,Other
26,Suspicious
27,Suspicious
28,Suspicious
29,Malicious
30,Suspicious
31,Malicious
32,Other
33,Suspicious
34,Suspicious
35,Suspicious
36,Other
37,Malicious
38,Suspicious
39,Suspicious
40,Suspicious
41,Malicious
42,Suspicious
