Identificador,Categoria,Subcategoria,Monitorizacion,Explicacion,Ejemplo,Valor,,
PR-AC-1,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"Identidades y acreditaciones son emitidas, administradas, verificadas, revocadas y auditadas para dispositivos autorizados, usuarios y procesos","Documentar en un log de registro automático cualquier creación, modificación, habilitación, deshabilitación y eliminación de cuentas",La organización documentará cualquier cambio en las cuentas de usuario y realizará un seguimiento automático o manual de la ejecución de la documentación,"Esto se puede implementar a través del monitoreo (SIEM) que interactuará con los sistemas de gestión por tareas en la organización tales como Directorio Activo, IDM, servidores, sistemas aplicativos, así como equipos de seguridad de la información y la comunicación",3,,
PR-AC-1,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"Identidades y acreditaciones son emitidas, administradas, verificadas, revocadas y auditadas para dispositivos autorizados, usuarios y procesos","Desarrollar, documentar e implementar políitcas de control de accesos","La política de control de acceso está diseñada para garantizar que solo las partes autorizadas puedan acceder a la información y los sistemas de la organización para ver y realizar cambios, todo de acuerdo con las definiciones de sus funciones y sujeto a supervisión.",La política de control de accesos puede estar incluida como un capítulo de la política de seguridad de la información,2,,
PR-AC-2,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),El acceso físico a los activos está gestionado y protegido,"Bloquear las conexiones resultante de la inactividad temporal y deshabilite la conexión continua hasta la identificación y reautenticación del usuario. Como parte del bloqueo de la conexión, oculte la información que ha aparecido en la pantalla antes del bloqueo.","Esto se puede lograr mediante la configuración de salvapantallas. Si es posible, asegúrese de incluir sistemas de autodesarrollo y sistemas de productos de estantería. Mecanismo de tiempo de espera de la sesión.","Este control generalmente se aplica a nivel del sistema operativo, pero también se puede implementar a nivel de aplicación. Se debe tener en cuenta que la conexión de bloqueo no es un sustituto regular del cierre de sesión.",3,,
PR-AC-2,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),El acceso físico a los activos está gestionado y protegido,"El acceso físico será limitado para las necesidades comerciales, no solo para el entorno de controles industriales, sino también para los equipos de comunicaciones en el entorno.","La organización limitará el acceso físico a los racks de comunicación, concentradores y estaciones de administración del entorno de los controles.","Puede realizarse mediante la conversión de salas dedicadas a comunicaciones y servidores concentrados, y realizar el control de acceso mediante etiquetas de acceso o biométricos para este entorno.",2,,
PR-AC-2,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),El acceso físico a los activos está gestionado y protegido,"Escribir, implementar, y controlar y actualizar periódicamente la política de protección física y ambiental","El control tiene como objetivo definir la política de la organización con respecto al cierre de puertas al final del día, cámaras de seguridad, visitantes y entrada de empleados externos a los sitios y áreas sensibles de la compañía, protección adecuada de servidores y salas de control, etc.",,2,,
PR-AC-2,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),El acceso físico a los activos está gestionado y protegido,Escribir e implementar procedimientos para integrar una política de protección física y ambiental y controles relevantes,"Preparar los procedimientos de control de acceso físico del sitio, que incluyen: 1. Procedimiento de acceso físico; 2. Procedimiento de invitados ;. procedimiento de acceso a la computadora / sala de comunicación.",,2,,
PR-AC-2,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),El acceso físico a los activos está gestionado y protegido,Monitorizar y active la alarma en cualquier acceso físico a un activo fuera de las horas y días normales de trabajo,Utilizar las tecnologías de monitoreo y alarma para detectar intentos de acceso no autorizados fuera de las horas y días normales de trabajo.,Utilizar sistemas de alarma / compañía de seguridad para monitorear y alertar de accesos no autorizados a la instalación.,3,,
PR-AC-2,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),El acceso físico a los activos está gestionado y protegido,"Tener control físico de los dispositivos de salida del sistema para evitar que elementos no autorizados adquieran la salida (impresoras, máquinas de fax, etc.)","El control asegura que las salidas lleguen a sus propietarios originales. Es especialmente importante para los productos que contienen información personal, como datos médicos o de seguros, detalles de empleados privados, etc. En tales casos, asegúrese de que la información llegue solo a aquellos autorizados para verla.","Se puede lograr en varias configuraciones: 1. Mediante el sistema de control de impresión, que requiere un código o tarjeta de empleado para recibir salida; 2. Coloque las impresoras en habitaciones cerradas con acceso limitado. 3. Es posible utilizar los servicios de fax2mail, o al menos asegurarse de que el receptor adecuado esté cerca de una máquina de fax, antes. Se imprime el mensaje. 4. Al final del día, asegúrese de que todos los dispositivos de salida ubicados públicamente estén ""limpios"", de modo que la información privada no esté disponible para personas no autorizadas.",3,,
PR-AC-2,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),El acceso físico a los activos está gestionado y protegido,"Supervisar el acceso físico a la instalación que contiene el activo, para detectar y responder eventos de seguridad, y para examinar periódicamente los registros de actividad.","Este control está destinado a bloquear el acceso de elementos no autorizados a áreas sensibles. Un acceso que potencialmente les permite actuar de manera maliciosa, como instalar dispositivos de escucha, conectarse a la red, robar hardware, etc. Un control adecuado significa que solo las personas autorizadas por la organización tienen acceso a estas áreas.","Monitorizar todas las entradas físicas a áreas sensibles, como salas de servidores, gabinetes de comunicación, etc., registrando todas las entradas y salidas.",3,,
PR-AC-2,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),El acceso físico a los activos está gestionado y protegido,"Implementar mecanismos de protección para controlar el acceso a teléfonos móviles, como contraseñas o medidas biométricas.","La organización debe establecer los parámetros para controlar el acceso a dispositivos móviles, como una contraseña de cierta longitud y bloqueo automático.","Se puede realizar utilizando configuraciones de políticas automatizadas, aplicadas en el dispositivo cuando está conectado a una organización de red.",2,,
PR-AC-3,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),El acceso remoto está gestionado,Limitar el número de conexiones permitidas simultáneamente. usuario unico.,El propósito de esta monitorización es detectar la conexión desde dos lugares diferentes usando la misma identificación. Tal escenario podría ser una indicación de uso no autorizado de la cuenta de usuario.,Es posible limitar el número de conexiones simultáneas en la política de Inicio de sesión remoto en la Política de grupo.,2,,
PR-AC-3,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),El acceso remoto está gestionado,Escribir y implementar restricciones de uso y requisitos de configuración para la conexión remota.,"Se requiere una política para manejar conexiones remotas, que define los límites del uso de la conexión remota a los recursos de la organización. También se requiere el uso de sistemas que brinden acceso remoto seguro a los recursos de la organización.","Es posible implementar un acceso seguro a la organización a través de sistemas como VPN o SSH, que son consistentes con las políticas corporativas para la conexión remota a los recursos empresariales.",2,,
PR-AC-3,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),El acceso remoto está gestionado,Las conexiones remotas deben ser monitoreadas,"La monitorización automática de conexiones remotas permite a las organizaciones detectar ciberataques, además de permitir garantizar el cumplimiento de los procedimientos de acceso remoto mediante el control de las actividades realizadas durante la conexión remota.","Es posible interconectar los sistemas de acceso remoto con sistemas de monitoreo como SIEM, y verificar que los eventos de inicio de sesión estén realmente registrados. Se debe hacer especial hincapié en el inicio de sesión remoto por parte de proveedores externos a la organización para mantenimiento y soporte, y en monitorear sus actividades de manera efectiva (por ejemplo, a través de herramientas de monitoreo y grabación de pantalla)",3,,
PR-AC-3,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),El acceso remoto está gestionado,Enrutar todas las conexiones remotas a través de puntos de control de acceso a la red administrados por un número determinado,Reducir el número de los puntos de control de acceso reducen la superficie de ataque,Revisar mediante el mapeo de superficie de ataque de la organización y transfiera servicios corporativos sensibles al área de red ubicada detrás del firewall. Redireccione el tráfico hacia ella desde la red VPN a través del acceso desde el servidor VPN. Eliminación directa extraorganizacional para acceder a estos servicios,3,,
PR-AC-3,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),El acceso remoto está gestionado,Implementar protecciones adicionales al ejecutar comandos sensibles a través de una conexión remota.,"Los comandos sensibles son, por ejemplo, el arranque. servidor o cancelación de. transacción. Asegúrese de que sea imposible ejecutar dichos comandos en el marco de. sistema de inicio de sesión normal.","El acceso a servidores sensibles, así como a la gestión de sistemas, se llevará a cabo mediante una red de gestión fuera de banda, a la que se puede acceder a través de el servidor de gestión dedicado (que requiere identificación y autenticación).",3,,
PR-AC-3,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),El acceso remoto está gestionado,Prohibir el inicio de sesión remoto para administrar el sistema y limitar el acceso al sistema desde redes que no son administradas por la organización,"La organización no permitirá el acceso remoto directo a las interfaces de administración, a menos que sea de forma segura, y solo después de la verificación a la conexión a la red de gestión.",Se debe evitar el inicio de sesión del administrador cuando se conecta de forma remota a los sistemas (también se puede hacer en Linux eliminando PermitRootLogin),4,,
PR-AC-3,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),El acceso remoto está gestionado,Implementar Autenticación multifactor para conectarse de forma remota al sistema.,La organización implementará la identificación remota por varios medios de identificación (dos o más) para los sistemas de la organización.,Se puede realizar a través de mecanismos como tarjetas inteligentes o contraseña de un solo uso en el acceso remoto a sistemas como VPN.,2,,
PR-AC-3,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),El acceso remoto está gestionado,Identificar y validar dispositivos únicos que están en proceso de conexión,La organización reconocerá inequívocamente los dispositivos que se conectan a la red corporativa.,Se puede realizar mediante el uso de certificados digitales emitidos para punto final y computadoras portátiles.,2,,
PR-AC-3,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),El acceso remoto está gestionado,"Configurar e implementar mecanismos para el control de acceso, adecuados para las interfaces de acceso a los servicios en la nube, de acuerdo con las amenazas y exposiciones relevantes para cada interfaz","Los servicios en la nube suelen tener varios tipos de interfaces, como por ejemplo interfaces de gestión e interfaces de mantenimiento y aplicativas. En general, estas interfaces están expuestas a Internet y a las redes públicas y, por lo tanto, es imprescindible establecer mecanismos de control de acceso sólidos, adecuados a la naturaleza de las amenazas relevantes para cada interfaz, teniedo en cuents el nivel de exposición y al esquema de las amenazas.","Por ejemplo, una interfaz de administración de autenticación fuerte, que limita el acceso a interfaces sensibles a ciertas direcciones de Internet",2,,
PR-AC-4,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"Los permisos de acceso y autorizaciones están gestionados, incorporando los principios de menor privilegios y separación de funciones",Crear cuentas de usuario que soporten las funciones corporativas de la organización,"Como mínimo, separe la cuenta 'Administrador' de. 'cuenta de usuario. También es necesario configurar usuarios que administren las funciones de seguridad del sistema (como crear usuarios, administrar el acceso y los privilegios del sistema, administrar los sistemas de seguridad de la información, etc.).","Crear usuarios corportativos como usuarios estandars, asignar usuarios ""adminstradores"" únicamente por función defenida",1,,
PR-AC-4,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"Los permisos de acceso y autorizaciones están gestionados, incorporando los principios de menor privilegios y separación de funciones",Se limitan los privilegios del usuario al mínimo esencial para realizar sus tareas,"La organización lo definirá. nivel mínimo de privilegios para cada rol, así como. nivel de privilegio mínimo para. usuario básico (sin rol definido) requerido para acceder a los sistemas de la organización.","Los privilegios del usuario estarán de acuerdo con su rol. El perfil básico se definirá y se le dará al usuario, y se otorgarán privilegios adicionales de acuerdo con las necesidades y con la aprobación del supervisor directo; si hay un sistema IDM. El perfil básico y los perfiles aplicativos se pueden mapear. Después de la mejora del proceso, se otorgarán privilegios dependiendo del rol.",2,,
PR-AC-4,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"Los permisos de acceso y autorizaciones están gestionados, incorporando los principios de menor privilegios y separación de funciones",Definirresponsables que llevaran a cabo la separación de funciones y darle expresión mediante la concesión de privilegios del sistema.,"El propósito de la separación de deberes es reducir la posibilidad de abuso de privilegios. La separación incluye, por ejemplo, la separación de las funciones comerciales entre empleados o responsables, así como garantizar que el equipo de seguridad de la información que gestiona el control de acceso gestione las funciones de revisión de control de acceso al mismo tiempo.","Los privilegios del usuario estarán de acuerdo con su rol. El perfil básico se definirá y se le dará al usuario, y se otorgarán privilegios adicionales de acuerdo con las necesidades y con la aprobación del supervisor directo; si hay un sistema IDM. El perfil básico y los perfiles aplicativos se pueden mapear. Después de la mejora del proceso, se otorgarán privilegios dependiendo del rol.",3,,
