"NODE_ID","NODE_NAME","NODE_DESCRIPTION","FQDN","IP_ADDRESS","SW_VERSION","SERIAL_NUMBER","SECOND_SERIAL_NUMBER","DEFINED_AT","REGION_ID","REGION_NAME","TENANT_ID","TENANT_NAME","PRODUCT_TYPE","PRODUCT_TYPE_NAME","ADMIN_STATE","ADMIN_STATE_VALUE","MGMT_STATUS","MGMT_STATUS_VALUE","SEVERITY_STATE","SEVERITY","CONNECTION_STATE","CONNECTION_STATE_VALUE","CONNECTION_LOST_TIME","MISMATCH_STATE","MISMATCH_STATE_VALUE","RESET_NEEDED","RESET_NEEDED_VALUE","BURN_NEEDED","BURN_NEEDED_VALUE","NETWORK_STATE","NETWORK_STATE_VALUE","SBA_CONNECTION_STATE","SBA_CONNECTION_STATE_VALUE","VQM_CONNECTION_STATE","VQM_CONNECTION_STATE_VALUE","VQ_STATUS","VQ_STATUS_VALUE","VQ_CONTROL_STATUS","VQ_CONTROL_STATUS_VALUE","VQ_MEDIA_STATUS","VQ_MEDIA_STATUS_VALUE","SIP_MESSAGE_STATUS","SIP_MESSAGE_STATUS_VALUE","CALLS_COUNT","MANAGED_STATE","MANAGED_STATE_VALUE","MANAGED_STATE_SEM","MANAGED_STATE_SEM_VALUE","LICENSE_STATUS","LICENSE_STATUS_VALUE","LICENSE_POOL_STATUS","CLM_STATUS","SNMP_PORT","SNMP_VERSION","HTTPS_PROXY_ENABLED","HTTPS_ENABLED_VALUE","LAST_BACKUP_STATUS","LAST_BACKUP_STATUS_VALUE","LAST_PERFORMED_BACKUP_TIME","POLLING_ENABLED","POLLING_ENABLED_VALUE","LAST_POLLING_STATUS","LAST_POLLING_STATUS_VALUE","LAST_POLLING_FAIL_REASON","LAST_SUCCESFUL_POLLING","LAST_UNSUCCESFUL_POLLING","LAST_NUM_POLLING","NETWORK_X_LOCATION","NETWORK_Y_LOCATION","NETWORK_LATITUDE","NETWORK_LONGITUDE","REPORTED_NODE_ID","SQL_SERVRE_IP","SQL_SERVER_PORT","SQL_SERVER_INSTANCE_NAME"
39050869,"RTPTeamsGW","RTP Teams Gateway","","192.168.20.220","7.20A.258.119","11469917","null",04-AUG-19,5872112,"NorthCarolina",5716643,"USA",5,"Mediant 2000","2","Unlocked",0,"ERROR","5","critical",1,"Connected",,0,"No Mismatch",0,"No",0,"No",0,"Regular",1,"Connected",3,"connected",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",1,"SBC_IND_START_SENDING_SIPM",10,1,"Managed",1,"Managed",2,"OK",6,0,161,1,0,"Disable",1,"File uploaded",15-NOV-20,1,"Enable",1,"Success",6,15-NOV-20,15-NOV-20,203,-1356,362,"35.8352353","-78.8133842",,"",,""
82184799,"marina_10.10.10.2","","","10.10.10.2","null","","",20-OCT-20,2,"Israel",1,"AudioCodes",0,"UNKNOWN","","",3,"UNMONITORED","","",0,"Not Connected",,0,"No Mismatch",0,"No",0,"No",0,"Regular",1,"Connected",0,"Not defined",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",0,"UNDEFINED",0,1,"Managed",0,"Not Defined",3,"UNMONITORED",6,0,161,1,0,"Disable",0,"No backup info",,0,"Disable",,"",,,,0,253,36,"51.779438","-0.030929",,"",,""
25535422,"SmartTap2","","","172.17.127.160","4.3.0","1451351604","null",24-FEB-19,2,"Israel",1,"AudioCodes",266,"SmartTap","2","Unlocked",0,"ERROR","5","critical",0,"Not Connected",25-NOV-19,2,"Sw Version Unsupported ",0,"No",0,"No",0,"Regular",1,"Connected",0,"Not defined",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",0,"UNDEFINED",0,1,"Managed",0,"Not Defined",2,"OK",6,0,161,1,0,"Disable",0,"No backup info",,0,"Disable",,"",,,,0,609,484,"31.9489012","34.8884857",,"",,""
42154402,"HK_SBC","","","172.17.175.12","7.20A.260.095","7963301","null",11-SEP-19,30,"AutoDetection",1,"AudioCodes",78,"Mediant 800 MSBR","2","Unlocked",2,"OK","0","cleared",1,"Connected",,0,"No Mismatch",0,"No",1,"Yes",0,"Regular",1,"Connected",3,"connected",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",1,"SBC_IND_START_SENDING_SIPM",1,1,"Managed",1,"Managed",2,"OK",6,0,161,1,0,"Disable",2,"File not changed",15-NOV-20,0,"Disable",,"",,,,0,730,709,"51.424413","0.082935",,"",,""
41558484,"SmartTAP Demo","","","172.20.0.49","4.3.0","","null",03-SEP-19,3,"US",1,"AudioCodes",266,"SmartTap","","",0,"ERROR","5","critical",1,"Connected",,0,"No Mismatch",0,"No",0,"No",0,"Regular",1,"Connected",0,"Not defined",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",0,"UNDEFINED",0,0,"Not Defined",0,"Not Defined",3,"UNMONITORED",6,0,161,1,0,"Disable",0,"No backup info",,0,"Disable",,"",,,,0,-18.933273407912566,794.2665610497454,"51.577892","-0.08087",,"",,""
82968034,"172.17.118.183","","","172.17.118.183","7.30A.001.600","2125711056","null",27-OCT-20,2,"Israel",1,"AudioCodes",88,"SW SBC","2","Unlocked",0,"ERROR","4","major",0,"Not Connected",28-OCT-20,0,"No Mismatch",0,"No",0,"No",0,"Regular",1,"Connected",0,"Not defined",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",0,"UNDEFINED",0,1,"Managed",0,"Not Defined",0,"ERROR",5,0,161,1,0,"Disable",1,"File uploaded",28-OCT-20,0,"Disable",,"",,,,0,664,483,"51.339828","-0.195723",,"",,""
20942725,"UMP Temp","","","10.21.28.187","7.8.100.327","1610190663","null",21-JAN-19,30,"AutoDetection",1,"AudioCodes",260,"User Management Pack","2","Unlocked",0,"ERROR","0","cleared",0,"Not Connected",26-MAY-19,0,"No Mismatch",0,"No",0,"No",0,"Regular",1,"Connected",0,"Not defined",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",0,"UNDEFINED",0,1,"Managed",0,"Not Defined",2,"OK",6,0,161,1,0,"Disable",0,"No backup info",,0,"Disable",,"",,,,0,527.5,613.5,"51.221459","0.392829",,"",,""
162098,"SE CCE Demo","with 012 SIP Trunk","","10.255.255.1","7.4.000.05","261237003","null",13-AUG-17,2,"Israel",1,"AudioCodes",262,"Mediant 800 CCE Appliance","2","Unlocked",0,"ERROR","5","critical",0,"Not Connected",,0,"No Mismatch",0,"No",0,"No",1,"NAT",1,"Connected",0,"Not defined",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",0,"UNDEFINED",0,1,"Managed",0,"Not Defined",2,"OK",6,0,30300,1,0,"Disable",0,"No backup info",,0,"Disable",,"",,,,0,908.0667521065684,-336.8822816027455,"51.481382","0.460523",,"",,""
45743777,"MyDevice","","M800","10.15.17.1","7.20A.254.202","2352451","null",23-OCT-19,45743585,"WhateNiceRegion",45743505,"Whatever",82,"Mediant 800 E-SBC","2","Unlocked",0,"ERROR","4","major",0,"Not Connected",17-AUG-20,0,"No Mismatch",0,"No",0,"No",0,"Regular",1,"Connected",1,"Not defined not connected",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",0,"UNDEFINED",0,1,"Managed",0,"Not Defined",2,"OK",6,0,161,1,0,"Disable",2,"File not changed",17-AUG-20,1,"Enable",0,"Fail",6,17-AUG-20,15-NOV-20,73,759,936,"52.67946575","-7.81111735636686",,"",,""
49967584,"172.17.118.39","","","172.17.118.39","7.20A.202.323","1460541372","null",11-DEC-19,2,"Israel",1,"AudioCodes",88,"SW SBC","2","Unlocked",0,"ERROR","4","major",0,"Not Connected",11-MAR-20,0,"No Mismatch",0,"No",0,"No",0,"Regular",1,"Connected",0,"Not defined",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",0,"UNDEFINED",0,1,"Managed",0,"Not Defined",2,"OK",6,0,161,1,0,"Disable",2,"File not changed",11-MAR-20,0,"Disable",,"",,,,0,319,412,"51.736379","0.228998",,"",,""
