"LINK_ID","LINK_NAME","TENANT_ID","SRC_TENANT_NAME","SECOND_TENANT_ID","DEST_TENANT_NAME","REGION_ID","REGION_NAME","SRC_NODE_ID","SRC_NODE_NAME","SRC_N_NODE_NAME","DEST_NODE_ID","DEST_NODE_NAME","DEST_N_NODE_NAME","LINK_TYPE","LINK_TYPE_VALUE","TYPE_IP_GROUP","TYPE_TRUNK_GROUP","TYPE_IP_PREFIX","TYPE_PHONE_PREFIX","TYPE_MEDIA_REALM","TYPE_MEDIA_IP_PREFIX","TYPE_SRC_FQDN","TYPE_DEST_FQDN","SRC_PRODUCT_TYPE","SRC_PRODUCT_TYPE_NAME","DEST_PRODUCT_TYPE","DEST_PRODUCT_TYPE_NAME","LINK_DIRECTION","LINK_DIRECTION_VALUE","DEFINED_AT","VQ_STATUS","VQ_STATUS_VALUE","VQ_CONTROL_STATUS","VQ_CONTROL_STATUS_VALUE","VQ_MEDIA_STATUS","VQ_MEDIA_STATUS_VALUE","VQ_CALL_DURATION_STATUS","VQ_CALL_DURATION_STATUS_VALUE","VQ_MAX_CONCURRENT_CALLS_STATUS","VQ_MAX_CONC_CALLS_STATUS_V","VQ_BANDWIDTH_STATUS","VQ_BANDWIDTH_STATUS_VALUE","CALLS_COUNT"
39052616,"SIP.US",5716643,"USA",5716643,"USA",5872112,"NorthCarolina",39050869,"RTPTeamsGW","",39052615,"","SIP.US",1,"IP Group",2,,"","",,"","","",5,"Mediant 2000",200,"Generic Device",1,"BI DIRECTIONAL",04-AUG-19,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",10
39052614,"Teams",5716643,"USA",5716643,"USA",5872112,"NorthCarolina",39050869,"RTPTeamsGW","",39052613,"","Teams",1,"IP Group",1,,"","",,"","","",5,"Mediant 2000",200,"Generic Device",1,"BI DIRECTIONAL",04-AUG-19,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",10
46911329,"Trunk Group#12",1,"AudioCodes",1,"AudioCodes",30,"AutoDetection",42154402,"HK_SBC","",46911328,"","Trunk Group#12",2,"Trunk Group",,12,"","",,"","","",78,"Mediant 800 MSBR",200,"Generic Device",1,"BI DIRECTIONAL",06-NOV-19,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",0
46911327,"Trunk Group#11",1,"AudioCodes",1,"AudioCodes",30,"AutoDetection",42154402,"HK_SBC","",46911326,"","Trunk Group#11",2,"Trunk Group",,11,"","",,"","","",78,"Mediant 800 MSBR",200,"Generic Device",1,"BI DIRECTIONAL",06-NOV-19,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",2
46911325,"Trunk Group#1",1,"AudioCodes",1,"AudioCodes",30,"AutoDetection",42154402,"HK_SBC","",46911324,"","Trunk Group#1",2,"Trunk Group",,1,"","",,"","","",78,"Mediant 800 MSBR",200,"Generic Device",1,"BI DIRECTIONAL",06-NOV-19,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",0
64766828,"MyLink",45743505,"Whatever",45743505,"Whatever",45743585,"WhateNiceRegion",45743777,"MyDevice","",64766598,"MyDevie2","",1,"IP Group",0,,"","",,"","","",82,"Mediant 800 E-SBC",106,"Mediant 800B E-SBC",1,"BI DIRECTIONAL",18-MAY-20,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",0
16708850,"Test to Alon",1,"AudioCodes",1,"AudioCodes",2,"Israel",16708780,"TEST device","",16354238,"Alon MSBR","",1,"IP Group",0,0,"","",0,"","","",82,"Mediant 800 E-SBC",100,"Mediant 500L MSBR",1,"BI DIRECTIONAL",29-OCT-18,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",0
13931829,"NJ sfB",5716643,"USA",1,"AudioCodes",5872318,"NewJersey",12042896,"NJ SBC","",8,"","NJ S4B FE/Mediation",1,"IP Group",1,0,"","",0,"","","",84,"Mediant 1000 E-SBC",301,"Skype Mediation Server",1,"BI DIRECTIONAL",24-JUL-18,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",14
80979001,"RTPSBC to Teams",5716643,"USA",5716643,"USA",5872112,"NorthCarolina",62486735,"RTP SBC-MGW","",80978855,"","Teams-RTP",1,"IP Group",3,0,"","",0,"","","",84,"Mediant 1000 E-SBC",200,"Generic Device",1,"BI DIRECTIONAL",09-OCT-20,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",20
13930737,"Verizon",5716643,"USA",5716643,"USA",5872318,"NewJersey",12042896,"NJ SBC","",13930699,"","Verizon",2,"Trunk Group",0,1,"","",0,"","","",84,"Mediant 1000 E-SBC",200,"Generic Device",1,"BI DIRECTIONAL",24-JUL-18,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",13
