bulletinNumber,bulletinProductId,hwEoxId,replacementProductId,replacementProductEoSaleDate,wasUpdated,resolutionStatus,resolutionHops
EOL13404,N9K-SUP-A=,472527,N9K-SUP-A+=,,False,ok_null_eos,1
EOL14898,C1113-8PWB,542117,C1131X-8PWB,,False,ok_null_eos,1
EOL14898,C1111-8PWB,542086,C1131X-8PWB,,False,ok_null_eos,1
EOL14898,C1111-4PWB,542047,C1131X-8PWB,,False,ok_null_eos,1
EOL14635,SF110D-08HP-AU,533021,CBS110-8PP-D-AU,,False,ok_null_eos,1
EOL13837,SG110D-08HP-AU,497108,CBS110-8PP-D-AU,,False,ok_null_eos,1
EOL15261,CP-8845-K9,553067,CP-8865-K9,,False,ok_null_eos,1
EOL14636,SG220-26P-K9-EU,532965,CBS220-24P-4G-EU,,False,ok_null_eos,1
EOL14636,SF220-24P-K9-EU,532917,CBS220-24P-4G-EU,,False,ok_null_eos,1
EOL14637,SF250-24P-K9-EU,532861,CBS220-24P-4G-EU,,False,ok_null_eos,1
EOL15087,N3K-C34200YC-SM=,547964,N9K-C93180YC-FX3=,,False,ok_null_eos,1
EOL15110,N9K-C93180YC-FX=,547883,N9K-C93180YC-FX3=,,False,ok_null_eos,1
EOL12993,ASR-902U=,457246,ASR-902=,,False,ok_null_eos,1
EOL15321,A9K-16X100GE-TR=,553558,A9K-20HG-FLEX-TR=,,False,ok_null_eos,1
EOL14800,A99-12X100GE-CM=,539650,A9K-20HG-FLEX-TR=,,False,ok_null_eos,1
EOL13837,SG95-24-IN,497396,CBS110-8PP-D-AU,,False,ok_null_eos,1
EOL13837,SF95-24-IN,497044,CBS110-8PP-D-AU,,False,ok_null_eos,1
EOL13404,N9K-SUP-A,472523,N9K-SUP-A+=,,False,ok_null_eos,1
EOL13788,N7K-SUP2E=,493705,N9K-SUP-A+,,False,ok_null_eos,1
EOL13788,N7K-SUP2E,493701,N9K-SUP-A+,,False,ok_null_eos,1
EOL13788,N7K-SUP2=,493700,N9K-SUP-A+,,False,ok_null_eos,1
