action_id,name,class_desc,covering_action_name,parent_class_desc,covering_parent_action_name,configuration_level,containing_group_name
R,REVOKE,DATABASE,DATABASE_PERMISSION_CHANGE_GROUP,SERVER,DATABASE_PERMISSION_CHANGE_GROUP,NULL,DATABASE_PERMISSION_CHANGE_GROUP
D,DENY,DATABASE,DATABASE_PERMISSION_CHANGE_GROUP,SERVER,DATABASE_PERMISSION_CHANGE_GROUP,NULL,DATABASE_PERMISSION_CHANGE_GROUP
G,GRANT,DATABASE,DATABASE_PERMISSION_CHANGE_GROUP,SERVER,DATABASE_PERMISSION_CHANGE_GROUP,NULL,DATABASE_PERMISSION_CHANGE_GROUP
GWG,GRANT WITH GRANT,DATABASE,DATABASE_PERMISSION_CHANGE_GROUP,SERVER,DATABASE_PERMISSION_CHANGE_GROUP,NULL,DATABASE_PERMISSION_CHANGE_GROUP
RWG,REVOKE WITH GRANT,DATABASE,DATABASE_PERMISSION_CHANGE_GROUP,SERVER,DATABASE_PERMISSION_CHANGE_GROUP,NULL,DATABASE_PERMISSION_CHANGE_GROUP
RWC,REVOKE WITH CASCADE,DATABASE,DATABASE_PERMISSION_CHANGE_GROUP,SERVER,DATABASE_PERMISSION_CHANGE_GROUP,NULL,DATABASE_PERMISSION_CHANGE_GROUP
DWC,DENY WITH CASCADE,DATABASE,DATABASE_PERMISSION_CHANGE_GROUP,SERVER,DATABASE_PERMISSION_CHANGE_GROUP,NULL,DATABASE_PERMISSION_CHANGE_GROUP
R,REVOKE,OBJECT,NULL,DATABASE,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP,NULL,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP
D,DENY,OBJECT,NULL,DATABASE,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP,NULL,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP
G,GRANT,OBJECT,NULL,DATABASE,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP,NULL,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP
GWG,GRANT WITH GRANT,OBJECT,NULL,DATABASE,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP,NULL,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP
RWG,REVOKE WITH GRANT,OBJECT,NULL,DATABASE,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP,NULL,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP
RWC,REVOKE WITH CASCADE,OBJECT,NULL,DATABASE,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP,NULL,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP
DWC,DENY WITH CASCADE,OBJECT,NULL,DATABASE,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP,NULL,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP
R,REVOKE,TYPE,NULL,DATABASE,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP,NULL,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP
D,DENY,TYPE,NULL,DATABASE,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP,NULL,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP
G,GRANT,TYPE,NULL,DATABASE,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP,NULL,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP
GWG,GRANT WITH GRANT,TYPE,NULL,DATABASE,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP,NULL,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP
RWG,REVOKE WITH GRANT,TYPE,NULL,DATABASE,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP,NULL,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP
RWC,REVOKE WITH CASCADE,TYPE,NULL,DATABASE,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP,NULL,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP
DWC,DENY WITH CASCADE,TYPE,NULL,DATABASE,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP,NULL,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP
R,REVOKE,SCHEMA,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
D,DENY,SCHEMA,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
G,GRANT,SCHEMA,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
GWG,GRANT WITH GRANT,SCHEMA,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWG,REVOKE WITH GRANT,SCHEMA,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWC,REVOKE WITH CASCADE,SCHEMA,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
DWC,DENY WITH CASCADE,SCHEMA,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
R,REVOKE,XML SCHEMA COLLECTION,NULL,DATABASE,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP,NULL,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP
D,DENY,XML SCHEMA COLLECTION,NULL,DATABASE,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP,NULL,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP
G,GRANT,XML SCHEMA COLLECTION,NULL,DATABASE,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP,NULL,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP
GWG,GRANT WITH GRANT,XML SCHEMA COLLECTION,NULL,DATABASE,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP,NULL,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP
RWG,REVOKE WITH GRANT,XML SCHEMA COLLECTION,NULL,DATABASE,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP,NULL,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP
RWC,REVOKE WITH CASCADE,XML SCHEMA COLLECTION,NULL,DATABASE,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP,NULL,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP
DWC,DENY WITH CASCADE,XML SCHEMA COLLECTION,NULL,DATABASE,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP,NULL,SCHEMA_OBJECT_PERMISSION_CHANGE_GROUP
R,REVOKE,ASSEMBLY,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
D,DENY,ASSEMBLY,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
G,GRANT,ASSEMBLY,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
GWG,GRANT WITH GRANT,ASSEMBLY,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWG,REVOKE WITH GRANT,ASSEMBLY,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWC,REVOKE WITH CASCADE,ASSEMBLY,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
DWC,DENY WITH CASCADE,ASSEMBLY,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
R,REVOKE,USER,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
D,DENY,USER,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
G,GRANT,USER,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
GWG,GRANT WITH GRANT,USER,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWG,REVOKE WITH GRANT,USER,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWC,REVOKE WITH CASCADE,USER,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
DWC,DENY WITH CASCADE,USER,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
R,REVOKE,ROLE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
D,DENY,ROLE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
G,GRANT,ROLE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
GWG,GRANT WITH GRANT,ROLE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWG,REVOKE WITH GRANT,ROLE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWC,REVOKE WITH CASCADE,ROLE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
DWC,DENY WITH CASCADE,ROLE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
