audit_event,dataset_name,type
duplicate_record,alert,alert
app_client_access_denied,alert,alert
enable_user,change,modified
role_enforcement_changed,change,
change_share,change,
folder_remove_user,change,
added_identity,change,
record_type_updated,change,
record_type_created,change,
alias_added,change,
lock_user,change,
accept_invitation,alert,alert
added_folder,change,
audit_sync_setup,change_audit,
compliance_report_downloaded,alert,alert
compliance_report_run,alert,alert
copy_password,alert,alert
create_user,change,
delete_pending_user,change,
delete_user,change,
deleted_folder,change,
device_approved,alert,alert
ext_share_access,change,
ext_share_added,change,
ext_share_connected,alert,alert
fast_fill,alert,alert
folder_add_record,change,
folder_remove_record,change,
login,authentication,
login_console,authentication,
open_record,alert,alert
record_add,change,
record_password_change,change,
send_invitation,alert,alert
share,alert,alert
accept_transfer,alert,alert
added_shared_folder,change,
added_to_team,change,
audit_alert_paused,change_audit,
auto_invite_user,alert,alert
bw_record_high_risk,alert,alarm
bw_record_ignored,alert,alert
bw_record_resolved,alert,alert
deleted_shared_folder,change,
device_admin_approval_requested,alert,alert
device_approved_by_admin,alert,alert
enterprise_2fa_disabled_by_admin,change,
folder_add_team,change,
folder_add_user,change,
folder_remove_team,change,
pending_added_to_role,change,
removed_from_team,change,
reused_password,alert,alert
folder_change_record,change,
added_to_role,change,
empty_trash,change,
folder_change_team,change,
record_restored,change,
audit_alert_resumed,change_audit,
folder_change_user,change,
imported_records,change,
ext_share_removed,change,
