description,boolValue
tornado,bad
tropical storm,bad
hurricane,bad
severe thunderstorms,bad
thunderstorms,bad
mixed rain and snow,bad
mixed rain and sleet,bad
mixed snow and sleet,bad
freezing drizzle,bad
drizzle,bad
freezing rain,bad
showers,bad
showers,bad
snow flurries,bad
light snow showers,bad
blowing snow,bad
snow,bad
hail,bad
sleet,bad
dust,bad
foggy,good
haze,good
smoky,good
blustery,good
windy,good
cold,good
cloudy,good
mostly cloudy (night),good
mostly cloudy (day),good
partly cloudy (night),good
partly cloudy (day),good
clear (night),good
sunny,good
fair (night),good
fair (day),good
mixed rain and hail,bad
hot,good
isolated thunderstorms,bad
scattered thunderstorms,bad
scattered thunderstorms,bad
scattered showers,bad
heavy snow,bad
scattered snow showers,bad
heavy snow,bad
partly cloudy,good
thundershowers,bad
snow showers,bad
isolated thundershowers,bad
mostly cloudy,good
partly cloudy,good
clear,good
sunny,good
fair,good
mostly clear,good
rain and snow,bad
breezy,good
rain,bad
heavy rain,bad
mostly sunny,good
partly sunny,good
