COURSENAME,Class_Level,Class_Name,Training_Path_Admin,Training_Path_Architect,Training_Path_User,Training_Path_Developer,Training_Path_Cloud,Training_Path_Security,Training_Path_ITSI
<!--1-->Using Splunk 4.1,100,Using Splunk,,,,,,,
<!--1-->Using Splunk 4.2,100,Using Splunk,,,,,,,
<!--1-->Using Splunk 4.3,100,Using Splunk,,,,,,,
Administering Splunk Enterprise Security 4.5 - Virtual,,Administering Splunk Enterprise Security 4.5 ,,,,,,,
Administering the Splunk App for Enterprise Security 3.0 - Virtual,,Administering Splunk Enterprise Security 3.0,,,,,,,
Administering the Splunk App for Enterprise Security 3.3 - Onsite,,Administering Splunk Enterprise Security 3.3,,,,,,,
Administering the Splunk App for Enterprise Security 3.3 - Virtual,,Administering Splunk Enterprise Security 3.3,,,,,,,
Administering the Splunk App for Enterprise Security 4.1 - Classroom,,Splunk 4.1 Administration,,,,,,,
Administrating Splunk 4.1,200,Splunk Administration,Required,Required,,,,Required,Required
Administrating Splunk 4.1 Classroom,200,Splunk Administration,Required,Required,,,,Required,Required
Administrating Splunk 4.2,200,Splunk Administration,Required,Required,,,,Required,Required
Administrating Splunk 4.2 Classroom,200,Splunk Administration,Required,Required,,,,Required,Required
Advanced Dashboards and Visualizations with Splunk 6 - Onsite,210,Advanced Dashboards and Visualizations with Splunk,Recommended,Recommended,Recommended,Required,Recommended,Recommended,Recommended
Advanced Dashboards and Visualizations with Splunk 6 - Virtual,210,Advanced Dashboards and Visualizations with Splunk,Recommended,Recommended,Recommended,Required,Recommended,Recommended,Recommended
Advanced Dashboards and Visualizations with Splunk 6.4 - Classroom,210,Advanced Dashboards and Visualizations with Splunk,Recommended,Recommended,Recommended,Required,Recommended,Recommended,Recommended
Advanced Dashboards and Visualizations with Splunk 6.4 - Virtual,210,Advanced Dashboards and Visualizations with Splunk,Recommended,Recommended,Recommended,Required,Recommended,Recommended,Recommended
Advanced Enterprise Security,300,Advanced Enterprise Security,,,,,,Required,
Advanced Searching and Reporting with Splunk 5.0 - Onsite,210,Advanced Searching and Reporting with Splunk,Recommended,Recommended,Recommended,,Recommended,Recommended,Recommended
Advanced Searching and Reporting with Splunk 6 - Classroom,210,Advanced Searching and Reporting with Splunk,Recommended,Recommended,Recommended,,Recommended,Recommended,Recommended
Advanced Searching and Reporting with Splunk 6 - Dedicated Virtual,210,Advanced Searching and Reporting with Splunk,Recommended,Recommended,Recommended,,Recommended,Recommended,Recommended
Advanced Searching and Reporting with Splunk 6 - Onsite,210,Advanced Searching and Reporting with Splunk,Recommended,Recommended,Recommended,,Recommended,Recommended,Recommended
Advanced Searching and Reporting with Splunk 6 - Virtual,210,Advanced Searching and Reporting with Splunk,Recommended,Recommended,Recommended,,Recommended,Recommended,Recommended
Advanced Searching and Reporting with Splunk 6.4 - Classroom,210,Advanced Searching and Reporting with Splunk,Recommended,Recommended,Recommended,,Recommended,Recommended,Recommended
Advanced Searching and Reporting with Splunk 6.4 - Virtual,210,Advanced Searching and Reporting with Splunk,Recommended,Recommended,Recommended,,Recommended,Recommended,Recommended
Advanced Searching and Reporting with Splunk 6.5 - Virtual,210,Advanced Searching and Reporting with Splunk,Recommended,Recommended,Recommended,,Recommended,Recommended,Recommended
Advanced Splunk 4.3 Administration,,Advanced Splunk 4.3 Administration,,,,,,,
Advanced Splunk 5.0 Administration - Dedicated Virtual,200,Splunk Administration,Required,Required,,,,Required,Required
Advanced Splunk 5.0 Administration - Virtual,200,Splunk Administration,Required,Required,,,,Required,Required
Architecting and Deploying Splunk 4.3,,Architecting and Deploying Splunk 4.3,,,,,,,
Architecting and Deploying Splunk 5.0 - Virtual,250,Architecting and Deploying Splunk ,,Required,,,,Required,
Architecting and Deploying Splunk 6 - Virtual,250,Architecting and Deploying Splunk,,Required,,,,Required,
Architecting and Deploying Splunk 6.4 - Classroom,250,Architecting and Deploying Splunk,,Required,,,,Required,
Architecting and Deploying Splunk 6.4 - Virtual,250,Architecting and Deploying Splunk,,Required,,,,Required,
Building Apps with Splunk 6 - Onsite,300,Building Splunk Apps,,,,Required,,,
Building Apps with Splunk 6 - Virtual,300,Building Splunk Apps,,,,Required,,,
Building Apps with Splunk 6.4 - Classroom,300,Building Splunk Apps,,,,Required,,,
Building Apps with Splunk 6.5 - Virtual,300,Building Splunk Apps,,,,Required,,,
Building Splunk Apps,300,Building Splunk Apps,,,,Required,,,
Building Technology Add-ons (eLearning),300,Building Technology Add-ons ,,,,,,,
Creating Modular Inputs (eLearning),,Creating Modular Inputs ,,,,,,,
Creating Splunk 6 Knowledge Objects - Classroom,140,Creating Splunk Knowledge Objects,Required,Required,Required,Required,Required,Required,Required
Creating Splunk 6 Knowledge Objects - Dedicated Virtual,140,Creating Splunk Knowledge Objects,Required,Required,Required,Required,Required,Required,Required
Creating Splunk 6 Knowledge Objects - Virtual,140,Creating Splunk Knowledge Objects,Required,Required,Required,Required,Required,Required,Required
Creating Splunk 6 Knowledge Objects-Onsite,140,Creating Splunk Knowledge Objects,Required,Required,Required,Required,Required,Required,Required
Creating Splunk 6.3 Knowledge Objects - Classroom,140,Creating Splunk Knowledge Objects,Required,Required,Required,Required,Required,Required,Required
Creating Splunk 6.3 Knowledge Objects - Virtual,140,Creating Splunk Knowledge Objects,Required,Required,Required,Required,Required,Required,Required
Creating Splunk 6.3 Knowledge Objects-Onsite,140,Creating Splunk Knowledge Objects,Required,Required,Required,Required,Required,Required,Required
Creating Splunk 6.4 Knowledge Objects - Classroom,140,Creating Splunk Knowledge Objects,Required,Required,Required,Required,Required,Required,Required
Creating Splunk 6.4 Knowledge Objects - Dedicated Virtual,140,Creating Splunk Knowledge Objects,Required,Required,Required,Required,Required,Required,Required
Creating Splunk 6.4 Knowledge Objects - Virtual,140,Creating Splunk Knowledge Objects,Required,Required,Required,Required,Required,Required,Required
Creating Splunk 6.5 Knowledge Objects - Classroom,140,Creating Splunk Knowledge Objects,Required,Required,Required,Required,Required,Required,Required
Creating Splunk 6.5 Knowledge Objects - Onsite,140,Creating Splunk Knowledge Objects,Required,Required,Required,Required,Required,Required,Required
Creating Splunk 6.5 Knowledge Objects - Virtual,140,Creating Splunk Knowledge Objects,Required,Required,Required,Required,Required,Required,Required
Creating Splunk Knowledge Objects (eLearning),140,Creating Splunk Knowledge Objects,Required,Required,Required,Required,Required,Required,Required
Creating Splunk Knowledge Objects 6.4 (eLearning),140,Creating Splunk Knowledge Objects,Required,Required,Required,Required,Required,Required,Required
Creating Splunk Knowledge Objects 6.x (eLearning),140,Creating Splunk Knowledge Objects,Required,Required,Required,Required,Required,Required,Required
Deploying Splunk 4.1 Classroom,,Deploying Splunk 4.1,,,,,,,
Deployment Best Practices,,Deployment Best Practices,,,,,,,
Developing apps with Splunk 4.2 Classroom,,Developing apps with Splunk 4.2,,,,,,,
Developing apps with Splunk 4.3,,Developing apps with Splunk 4.3,,,,,,,
Developing apps with Splunk 5.0 - Dedicated Virtual,,Developing apps with Splunk 5.0 ,,,,,,,
Developing apps with Splunk 5.0 - Onsite,,Developing apps with Splunk 5.0,,,,,,,
Developing apps with Splunk 6 - Classroom,,Developing apps with Splunk 6 ,,,,,,,
Developing Apps with Splunk 6 - Virtual,,Developing Apps with Splunk 6 ,,,,,,,
Developing with Splunk 4.1,,Developing with Splunk 4.1,,,,,,,
Developing with Splunk 4.1 Classroom,,Developing with Splunk 4.1 ,,,,,,,
Developing with Splunk's Java and Python SDKs - Onsite,,Developing with Splunk's Java and Python SDKs ,,,,,,,
Developing with Splunk's Java and Python SDKs -Virtual,,Developing with Splunk's Java and Python SDKs ,,,,,,,
Implementing IT Service Intelligence,300,Implementing IT Service Intelligence,,,,,,,Required
Implementing Splunk IT Service Intelligence 2.2 - Virtual,,Implementing Splunk IT Service Intelligence 2.2 ,,,,,,,
Implementing Splunk IT Service Intelligence 2.4 - Virtual,,Implementing Splunk IT Service Intelligence 2.2,,,,,,,
Introduction to Data Inputs (eLearning),,Introduction to Data Inputs,,,,,,,
Introduction to Data Inputs (v.5),,Introduction to Data Inputs  Splunk 5.0,,,,,,,
Searching & Reporting with Splunk 4.2 <!-- -->,130,Searching And Reporting With Splunk,Required,Required,Required,Required,Required,Required,Required
Searching And Reporting With Splunk (eLearning),130,Searching And Reporting With Splunk,Required,Required,Required,Required,Required,Required,Required
Searching And Reporting With Splunk (eLearning),130,Searching And Reporting With Splunk,Required,Required,Required,Required,Required,Required,Required
Searching and Reporting with Splunk 4.1,130,Searching And Reporting With Splunk,Required,Required,Required,Required,Required,Required,Required
Searching and Reporting with Splunk 4.2,130,Searching And Reporting With Splunk,Required,Required,Required,Required,Required,Required,Required
Searching and Reporting with Splunk 4.3,130,Searching And Reporting With Splunk,Required,Required,Required,Required,Required,Required,Required
