externalId,classification
2002,Lateral movement
2003,Discovery
2004,Credential access
2006,"Credential access, Persistence"
2007,Discovery
2009,"Persistence, Privilege Escalation, Lateral movement"
2010,"Persistence, Lateral movement"
2012,Discovery
2013,Credential access
2014,"Credential access, Discovery"
2017,Lateral movement
2018,Lateral movement
2019,"Execution, Persistence, Privilege escalation, Defense evasion, Lateral movement"
2020,Credential access
2021,Discovery
2022,"Persistence, Privilege Escalation, Lateral movement"
2023,Credential access
2024,"Persistence, Credential access,"
2025,"Defense evasion, Persistence"
2026,"Execution, Persistence, Privilege Escalation, Defense evasion, Lateral movement"
2027,"Persistence, Privilege Escalation, Lateral movement"
2028,Defense evasion
2029,Defense evasion
2030,"Exfiltration, Lateral movement, Command and control"
2031,Exfiltration
2032,"Persistence, Privilege Escalation, Lateral movement"
2033,Lateral movement
2034,Lateral movement
2035,Lateral movement
2036,"Lateral movement, Privilege escalation"
2037,"Lateral movement, Privilege escalation"
2038,Credential access
2039,"Lateral movement, Privilege escalation"
2040,Persistence
2047,Lateral movement
2210,Discovery
2406,Lateral movement
2410,Credential access
2411,Privilege Escalation
2412,Credential access
2414,Lateral movement
2415,Lateral movement
2416,Lateral movement
2419,Credential access
