vendor_action,action
Add (Failed Attempt),failed
Added,added
Copied,copied
Failed Logon,failure
Logoff,logoff
Modified,modified
Modify (Failed Attempt),failed
Moved,moved
Read,read
Remove (Failed Attempt),failed
Removed,deleted
Renamed,rename
Successful Logon,success
